Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Premier League,England,Crystal Palace,2,Leeds,1,2022-10-09,https://www.goal.com/en/match/crystal-palace-vs-leeds-united/7i9e9jireeu02jnlqej2m6z9w,"[['Crystal Palace', 'Draw', 'Leeds'], ['1984', '1531', '874']]","{'Ball possession': ['54.5%', '45.5%'], 'Total shots': ['13', '10'], 'Corners': ['5', '3'], 'Fouls': ['13', '23']}"
Premier League,England,West Ham,3,Fulham,1,2022-10-09,https://www.goal.com/en/match/west-ham-united-vs-fulham/7ispiictf4dpdynjvuotzh444,"[['West Ham', 'Draw', 'Fulham'], ['2103', '1337', '746']]","{'Ball possession': ['50.3%', '49.7%'], 'Total shots': ['17', '8'], 'Corners': ['4', '2'], 'Fouls': ['9', '7']}"
Premier League,England,Arsenal,3,Liverpool,2,2022-10-09,https://www.goal.com/en/match/arsenal-vs-liverpool/7hxm007jjp2fwp977136lzims,"[['Arsenal', 'Draw', 'Liverpool'], ['8610', '3542', '6279']]","{'Ball possession': ['44%', '56%'], 'Total shots': ['11', '8'], 'Corners': ['4', '3'], 'Fouls': ['11', '11']}"
Premier League,England,Everton,1,Man Utd,2,2022-10-09,https://www.goal.com/en/match/everton-vs-manchester-united/7ideu1q0vca8cad8gmflk8utw,"[['Everton', 'Draw', 'Man Utd'], ['1797', '2141', '8110']]","{'Ball possession': ['39.7%', '60.3%'], 'Total shots': ['11', '12'], 'Corners': ['5', '4'], 'Fouls': ['7', '13']}"
La Liga,Spain,Valladolid,0,Betis,0,2022-10-09,https://www.goal.com/en/match/real-valladolid-vs-real-betis/9czs1lejt257ati4ly7ttqpsk,"[['Valladolid', 'Draw', 'Betis'], ['464', '1147', '1568']]","{'Ball possession': ['59.3%', '40.7%'], 'Total shots': ['12', '4'], 'Corners': ['3', '1'], 'Fouls': ['12', '16']}"
La Liga,Spain,Cádiz,2,Espanyol,2,2022-10-09,https://www.goal.com/en/match/cadiz-vs-espanyol/9cg8kkzdnm7trfmqd3uw10104,"[['Cádiz', 'Draw', 'Espanyol'], ['415', '959', '711']]","{'Ball possession': ['53%', '47%'], 'Total shots': ['8', '9'], 'Corners': ['8', '3'], 'Fouls': ['13', '12']}"
La Liga,Spain,Real Sociedad,1,Villarreal,0,2022-10-09,https://www.goal.com/en/match/real-sociedad-vs-villarreal/9co2ivllmckqm8o0jv0yhaluc,"[['Real Sociedad', 'Draw', 'Villarreal'], ['1326', '1384', '959']]","{'Ball possession': ['60.3%', '39.7%'], 'Total shots': ['17', '5'], 'Corners': ['9', '3'], 'Fouls': ['21', '18']}"
La Liga,Spain,Barcelona,1,Celta Vigo,0,2022-10-09,https://www.goal.com/en/match/barcelona-vs-celta-de-vigo/9c4t7l4vhg5vrgtvwbd2hh6vo,"[['Barcelona', 'Draw', 'Celta Vigo'], ['4787', '1302', '784']]","{'Ball possession': ['57.7%', '42.3%'], 'Total shots': ['13', '14'], 'Corners': ['6', '3'], 'Fouls': ['16', '9']}"
Serie A,Italy,Torino,1,Empoli,1,2022-10-09,https://www.goal.com/en/match/torino-vs-empoli/4t89c5uzvg0ja7ralv8d5xs7o,"[['Torino', 'Draw', 'Empoli'], ['784', '760', '327']]","{'Ball possession': ['66.5%', '33.5%'], 'Total shots': ['20', '6'], 'Corners': ['6', '1'], 'Fouls': ['15', '9']}"
Serie A,Italy,Monza,2,Spezia,0,2022-10-09,https://www.goal.com/en/match/monza-vs-spezia/4sttzlufd0c901ugpediuick4,"[['Monza', 'Draw', 'Spezia'], ['547', '773', '362']]","{'Ball possession': ['47.7%', '52.3%'], 'Total shots': ['7', '10'], 'Corners': ['3', '6'], 'Fouls': ['10', '20']}"
