Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Friendlies,World,Uruguay,2,Cuba,0,2023-06-21,https://www.goal.com/en/match/uruguay-vs-cuba/1avlyttlgm8di4pj20da07swk,"[['Uruguay', 'Draw', 'Cuba'], ['340', '149', '85']]","{'Ball possession': ['59.3%', '40.7%'], 'Total shots': ['20', '9'], 'Corners': ['9', '3'], 'Fouls': ['12', '15']}"
Friendlies,World,Bolivia,0,Chile,0,2023-06-21,https://www.goal.com/en/match/bolivia-vs-chile/bnifpsc649xyse713uixmii38,"[['Bolivia', 'Draw', 'Chile'], ['113', '290', '393']]","{'Ball possession': ['34.7%', '65.3%'], 'Total shots': ['10', '15'], 'Corners': ['2', '6'], 'Fouls': ['20', '22']}"
Friendlies,World,Ecuador,3,Costa Rica,1,2023-06-21,https://www.goal.com/en/match/ecuador-vs-costa-rica/es56q6xzs4mvim30edvu76z2s,"[['Ecuador', 'Draw', 'Costa Rica'], ['277', '173', '100']]","{'Ball possession': ['55.5%', '44.5%'], 'Total shots': ['20', '4'], 'Corners': ['7', '1'], 'Fouls': ['17', '7']}"
UEFA U21 Championship,Europe,Belgium,0,Netherlands,0,2023-06-21,https://www.goal.com/en/match/belgium-u21-vs-netherlands-u21/arz100cucycs9mur9fbtwyln8,"[['Belgium', 'Draw', 'Netherlands'], ['305', '409', '346']]","{'Ball possession': ['46.7%', '53.3%'], 'Total shots': ['19', '14'], 'Corners': ['11', '10'], 'Fouls': ['11', '10']}"
UEFA U21 Championship,Europe,Georgia,2,Portugal,0,2023-06-21,https://www.goal.com/en/match/georgia-u21-vs-portugal-u21/arvcymz76cktthp5yp9to60wk,"[['Georgia', 'Draw', 'Portugal'], ['89', '292', '413']]","{'Ball possession': ['30.9%', '69.1%'], 'Total shots': ['4', '17'], 'Corners': ['1', '6'], 'Fouls': ['15', '10']}"
UEFA U21 Championship,Europe,Ukraine,2,Croatia,0,2023-06-21,https://www.goal.com/en/match/ukraine-u21-vs-croatia-u21/72hw2113slxghlrqddzverms4,"[['Ukraine', 'Draw', 'Croatia'], ['163', '340', '335']]","{'Ball possession': ['41.8%', '58.2%'], 'Total shots': ['10', '22'], 'Corners': ['2', '8'], 'Fouls': ['15', '12']}"
UEFA U21 Championship,Europe,Romania,0,Spain,3,2023-06-21,https://www.goal.com/en/match/romania-u21-vs-spain-u21/72dxoz1mqhzwuz38f7toe5nv8,"[['Romania', 'Draw', 'Spain'], ['95', '280', '463']]","{'Ball possession': ['21.1%', '78.9%'], 'Total shots': ['7', '24'], 'Corners': ['1', '9'], 'Fouls': ['13', '9']}"
SAFF Championship,Asia,Kuwait,3,Nepal,1,2023-06-21,https://www.goal.com/en/match/kuwait-vs-nepal/8mepe0ub8y8nrmtkaa18pslqs,"[['Kuwait', 'Draw', 'Nepal'], ['115', '114', '77']]","{'Corners': ['6', '3'], 'Fouls': ['8', '17']}"
SAFF Championship,Asia,India,4,Pakistan,0,2023-06-21,https://www.goal.com/en/match/india-vs-pakistan/8mytb0ekcsibh81xplj7s4jys,"[['India', 'Draw', 'Pakistan'], ['463', '153', '121']]","{'Corners': ['9', '4'], 'Fouls': ['15', '8']}"
AFC U17 Asian Cup,Asia,Malaysia,2,Laos,1,2023-06-21,https://www.goal.com/en/match/malaysia-u17-vs-laos-u17/2l4nedilyo5lxavs5iacz6yac,[],{}
AFC U17 Asian Cup,Asia,Thailand,1,Yemen,0,2023-06-21,https://www.goal.com/en/match/thailand-u17-vs-yemen-u17/2kvavp1br7ktpp48r1uz692c4,[],{}
Serie C,Brazil,CSA,1,Aparecidense,1,2023-06-21,https://www.goal.com/en/match/csa-vs-aparecidense/1667vqrw23rwy3z4ffo8y9us4,"[['CSA', 'Draw', 'Aparecidense'], ['135', '120', '45']]","{'Corners': ['4', '4'], 'Fouls': ['16', '22']}"
Serie D,Brazil,Campinense,0,Iguatu,0,2023-06-21,https://www.goal.com/en/match/campinense-vs-iguatu/by0k0x1hqvv9kk1083twibsb8,"[['Campinense', 'Draw', 'Iguatu'], ['27', '39', '22']]","{'Corners': ['7', '1'], 'Fouls': ['18', '8']}"
Canadian Premier League,Canada,Vancouver FC,2,Forge,0,2023-06-21,https://www.goal.com/en/match/vancouver-fc-vs-forge/e6qqhft2x8ctt38c1gq0078d0,[],{}
Suomen Cup,Finland,Honka,5,Honka Akatemia,1,2023-06-21,https://www.goal.com/en/match/honka-vs-honka-akatemia/1fx3scqixgcrq92pwx30zzklw,"[['Honka', 'Draw', 'Honka Akatemia'], ['55', '92', '42']]",
Suomen Cup,Finland,KTP,3,EIF,0,2023-06-21,https://www.goal.com/en/match/ktp-vs-eif/1hah8da7ri2b8rc8g2f8ajk0k,"[['KTP', 'Draw', 'EIF'], ['84', '126', '64']]","{'Corners': ['4', '8'], 'Fouls': ['13', '9']}"
Suomen Cup,Finland,SalPa,0,Inter Turku,0,2023-06-21,https://www.goal.com/en/match/salpa-vs-inter-turku/1g9qmbwu3c4v26c6v0kov54pg,[],{}
Emperor Cup,Japan,Kumamoto,2,Ryūkyū,2,2023-06-21,https://www.goal.com/en/match/roasso-kumamoto-vs-ryukyu/cm63bnytv7595a6rvlmrtzz84,[],{}
