Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Serie A,Brazil,América MG,1,Internacional,2,2023-06-26,https://www.goal.com/en/match/america-mineiro-vs-internacional/c5ekn2pbzldssooomwwif2jh0,"[['América MG', 'Draw', 'Internacional'], ['154', '231', '196']]","{'Ball possession': ['39.5%', '60.5%'], 'Total shots': ['15', '8'], 'Corners': ['3', '2'], 'Fouls': ['25', '6']}"
Serie A,Brazil,RB Bragantino,2,Goiás,0,2023-06-26,https://www.goal.com/en/match/rb-bragantino-vs-goias/c43b5jydm71hgzsvyih06zqc4,"[['RB Bragantino', 'Draw', 'Goiás'], ['226', '201', '104']]","{'Ball possession': ['60.4%', '39.6%'], 'Total shots': ['20', '4'], 'Corners': ['10', '4'], 'Fouls': ['17', '23']}"
Serie A,Brazil,Santos,2,Flamengo,3,2023-06-26,https://www.goal.com/en/match/santos-vs-flamengo/c3u83gyiqrrjpvyj272s9oavo,"[['Santos', 'Draw', 'Flamengo'], ['118', '238', '309']]","{'Ball possession': ['32.8%', '67.2%'], 'Total shots': ['12', '10'], 'Corners': ['2', '7'], 'Fouls': ['14', '11']}"
Liga Profesional Argentina,Argentina,R. Central,1,Colón,1,2023-06-26,https://www.goal.com/en/match/rosario-central-vs-colon/2eku0zkrtas1otlwmji454hec,"[['R. Central', 'Draw', 'Colón'], ['289', '190', '101']]","{'Ball possession': ['56%', '44%'], 'Total shots': ['16', '11'], 'Corners': ['2', '6'], 'Fouls': ['15', '10']}"
Liga Profesional Argentina,Argentina,Sarmiento,4,Atl. Tucumán,1,2023-06-26,https://www.goal.com/en/match/sarmiento-vs-atletico-tucuman/2dn6sf62681l1238g5mi9z21g,"[['Sarmiento', 'Draw', 'Atl. Tucumán'], ['159', '178', '140']]","{'Ball possession': ['30.9%', '69.1%'], 'Total shots': ['20', '17'], 'Corners': ['7', '3'], 'Fouls': ['9', '7']}"
Concacaf Gold Cup,N/C America,Haiti,2,Qatar,1,2023-06-26,https://www.goal.com/en/match/haiti-vs-qatar/8fqglzdak8qd82x98k41ocgk,"[['Haiti', 'Draw', 'Qatar'], ['119', '132', '142']]","{'Ball possession': ['49.6%', '50.4%'], 'Total shots': ['15', '10'], 'Corners': ['4', '1'], 'Fouls': ['16', '17']}"
Concacaf Gold Cup,N/C America,Mexico,4,Honduras,0,2023-06-26,https://www.goal.com/en/match/mexico-vs-honduras/921hk340657817nj7wmz2p04,"[['Mexico', 'Draw', 'Honduras'], ['314', '134', '84']]","{'Ball possession': ['54.4%', '45.6%'], 'Total shots': ['17', '6'], 'Corners': ['4', '5'], 'Fouls': ['13', '13']}"
Super League,Malaysia,Kelantan Utd,0,Sabah,3,2023-06-26,https://www.goal.com/en/match/kelantan-united-vs-sabah/5k60xvr1b6h79pw3s1mt96wb8,[],{}
Super League,Malaysia,Negeri Seem.,1,Pulau Pinang,1,2023-06-26,https://www.goal.com/en/match/negeri-sembilan-vs-pulau-pinang/5kasilzvzqr4yq9qhesa3sf10,[],{}
Primera Nacional,Argentina,Rafaela,1,Atlanta,0,2023-06-26,https://www.goal.com/en/match/atletico-rafaela-vs-atlanta/eog7ab2sgsq9gbv71vgjmgvmc,[],{}
Primera Nacional,Argentina,Flandria,1,Gim Mendoza,1,2023-06-26,https://www.goal.com/en/match/flandria-vs-gimnasia-mendoza/2ekwf3j91gqb7woqoay15y80k,[],{}
AFC U17 Asian Cup,Asia,Japan,3,Australia,1,2023-06-26,https://www.goal.com/en/match/japan-u17-vs-australia-u17/duch5ebc906ow4b8qzmc0dzpw,[],{}
AFC U17 Asian Cup,Asia,Saudi Arabia,0,Uzbekistan,2,2023-06-26,https://www.goal.com/en/match/saudi-arabia-u17-vs-uzbekistan-u17/dupf112xackem6gwm46uignpw,[],{}
Victoria NPL Women,Australia,Bulleen,1,South Melb,1,2023-06-26,https://www.goal.com/en/match/bulleen-lions-vs-south-melbourne/cmhk3qydeuvdsruntkuue2mtw,"[['Bulleen', 'Draw', 'South Melb'], ['46', '40', '18']]","{'Corners': ['3', '1'], 'Fouls': ['5', '9']}"
Primera División,Bolivia,Bolívar,3,Santa Cruz,0,2023-06-26,https://www.goal.com/en/match/bolivar-vs-real-santa-cruz/4q5b4hc2gfc3rg9tds69deot0,"[['Bolívar', 'Draw', 'Santa Cruz'], ['44', '53', '25']]","{'Ball possession': ['61.8%', '38.2%'], 'Total shots': ['25', '10'], 'Corners': ['4', '5'], 'Fouls': ['15', '9']}"
Primera División,Bolivia,Wilstermann,3,O. Petrolero,2,2023-06-26,https://www.goal.com/en/match/jorge-wilstermann-vs-oriente-petrolero/4pour7ivhsfu6ssmeb06jbk7o,"[['Wilstermann', 'Draw', 'O. Petrolero'], ['40', '44', '32']]","{'Ball possession': ['70%', '30%'], 'Total shots': ['19', '7'], 'Corners': ['4', '2'], 'Fouls': ['9', '14']}"
Serie B,Brazil,Guarani,2,Vitória,0,2023-06-26,https://www.goal.com/en/match/guarani-vs-vitoria/bktvq2heok1k4lp2c19vuil90,"[['Guarani', 'Draw', 'Vitória'], ['75', '123', '98']]","{'Ball possession': ['36.5%', '63.5%'], 'Total shots': ['5', '8'], 'Corners': ['3', '3'], 'Fouls': ['12', '11']}"
Serie C,Brazil,São José RS,2,São Bernardo,2,2023-06-26,https://www.goal.com/en/match/sao-jose-rs-vs-sao-bernardo/17i6v56mbxtsq6ziwl388lbmc,"[['São José RS', 'Draw', 'São Bernardo'], ['31', '33', '21']]","{'Corners': ['4', '4'], 'Fouls': ['9', '16']}"
