Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
La Liga,Spain,Mallorca,1,Cádiz,0,2023-05-12,https://www.goal.com/en/match/mallorca-vs-cadiz/a50ry19uoiya5haszfnwmv95g,"[['Mallorca', 'Draw', 'Cádiz'], ['1116', '1024', '409']]","{'Ball possession': ['43.3%', '56.7%'], 'Total shots': ['8', '14'], 'Corners': ['3', '7'], 'Fouls': ['16', '14']}"
Serie A,Italy,Lazio,2,Lecce,2,2023-05-12,https://www.goal.com/en/match/lazio-vs-lecce/5j1ga65nm2h5quq2geibi13is,"[['Lazio', 'Draw', 'Lecce'], ['1667', '1069', '367']]","{'Ball possession': ['66.8%', '33.2%'], 'Total shots': ['20', '13'], 'Corners': ['2', '3'], 'Fouls': ['11', '13']}"
Bundesliga,Germany,Köln,5,Hertha BSC,2,2023-05-12,https://www.goal.com/en/match/koeln-vs-hertha-bsc/e41gl8o5cibwer2vykdliv5zo,"[['Köln', 'Draw', 'Hertha BSC'], ['1167', '958', '391']]","{'Ball possession': ['63.2%', '36.8%'], 'Total shots': ['31', '9'], 'Corners': ['13', '3'], 'Fouls': ['11', '13']}"
Ligue 1,France,Lens,2,Reims,1,2023-05-12,https://www.goal.com/en/match/lens-vs-reims/1hub2lk0b6nageodyf9trurkk,"[['Lens', 'Draw', 'Reims'], ['1277', '894', '334']]","{'Ball possession': ['39.6%', '60.4%'], 'Total shots': ['8', '17'], 'Corners': ['0', '14'], 'Fouls': ['6', '19']}"
Eredivisie,Netherlands,Twente,4,NEC,0,2023-05-12,https://www.goal.com/en/match/twente-vs-nec/3x0ocnykaogavf1pqabxrhic4,"[['Twente', 'Draw', 'NEC'], ['741', '609', '212']]","{'Ball possession': ['61.9%', '38.1%'], 'Total shots': ['30', '7'], 'Corners': ['7', '3'], 'Fouls': ['17', '8']}"
A-League Men,Australia,Sydney,1,Melbourne City,1,2023-05-12,https://www.goal.com/en/match/sydney-vs-melbourne-city/6ilvtg8nrswsupsys26vqq904,"[['Sydney', 'Draw', 'Melbourne City'], ['243', '361', '399']]","{'Ball possession': ['38.7%', '61.3%'], 'Total shots': ['13', '8'], 'Corners': ['0', '2'], 'Fouls': ['14', '18']}"
Liga MX,Mexico,Atlas,1,Chivas,0,2023-05-12,https://www.goal.com/en/match/atlas-vs-guadalajara/eeuf8hytyi8g85k8plozcgxlg,"[['Atlas', 'Draw', 'Chivas'], ['193', '219', '177']]","{'Ball possession': ['40%', '60%'], 'Total shots': ['20', '14'], 'Corners': ['4', '10'], 'Fouls': ['14', '13']}"
Liga MX,Mexico,Tigres,4,Toluca,1,2023-05-12,https://www.goal.com/en/match/tigres-uanl-vs-toluca/efm45mo2sa60gj5u8hpc5a0ic,"[['Tigres', 'Draw', 'Toluca'], ['242', '172', '126']]","{'Ball possession': ['48%', '52%'], 'Total shots': ['12', '7'], 'Corners': ['1', '5'], 'Fouls': ['15', '12']}"
Serie A,Brazil,Coritiba,1,Vasco,1,2023-05-12,https://www.goal.com/en/match/coritiba-vs-vasco-da-gama/bmx30ix0rsk1wtf15ovf8qyok,[],{}
Serie A,Brazil,Botafogo,3,Corinthians,0,2023-05-12,https://www.goal.com/en/match/botafogo-vs-corinthians/blf7no9kyg6z2jqpydgsse0ic,"[['Botafogo', 'Draw', 'Corinthians'], ['490', '453', '235']]","{'Ball possession': ['53.3%', '46.7%'], 'Total shots': ['16', '12'], 'Corners': ['3', '3'], 'Fouls': ['12', '5']}"
Serie A,Brazil,Fortaleza,0,São Paulo,0,2023-05-12,https://www.goal.com/en/match/fortaleza-vs-sao-paulo/bn7waazvmf23ej2ods8zzb0gk,"[['Fortaleza', 'Draw', 'São Paulo'], ['294', '310', '200']]","{'Ball possession': ['43.7%', '56.3%'], 'Total shots': ['16', '13'], 'Corners': ['4', '10'], 'Fouls': ['9', '17']}"
Primeira Liga,Portugal,Gil Vicente,3,Boavista,1,2023-05-12,https://www.goal.com/en/match/gil-vicente-vs-boavista/c58bt4fvu1elwwgumbwkluwpg,"[['Gil Vicente', 'Draw', 'Boavista'], ['289', '451', '237']]","{'Ball possession': ['48.2%', '51.8%'], 'Total shots': ['15', '17'], 'Corners': ['7', '6'], 'Fouls': ['18', '13']}"
J1 League,Japan,Tokyo,2,Kawasaki,1,2023-05-12,https://www.goal.com/en/match/tokyo-vs-kawasaki-frontale/1hephlm0na9djmb5paokpwn4k,"[['Tokyo', 'Draw', 'Kawasaki'], ['252', '421', '547']]","{'Ball possession': ['34.4%', '65.6%'], 'Total shots': ['10', '9'], 'Corners': ['4', '6'], 'Fouls': ['9', '18']}"
Superliga,Denmark,OB,1,AaB,1,2023-05-12,https://www.goal.com/en/match/ob-vs-aab/7cclo9z1x9j4bfwz6v91kr11w,"[['OB', 'Draw', 'AaB'], ['193', '287', '127']]","{'Ball possession': ['63.8%', '36.2%'], 'Total shots': ['11', '12'], 'Corners': ['8', '3'], 'Fouls': ['8', '9']}"
Primera A,Colombia,Medellín,2,Once Caldas,2,2023-05-12,https://www.goal.com/en/match/independiente-medellin-vs-once-caldas/allte4f7c4ob4oyld2mrqlf6c,"[['Medellín', 'Draw', 'Once Caldas'], ['166', '136', '54']]","{'Ball possession': ['52.6%', '47.4%'], 'Total shots': ['18', '13'], 'Corners': ['6', '8'], 'Fouls': ['11', '11']}"
Primera A,Colombia,Santa Fe,0,Atl. Nacional,2,2023-05-12,https://www.goal.com/en/match/independiente-santa-fe-vs-atletico-nacional/ak9rhufx3y4x3g92r4i6cr1uc,"[['Santa Fe', 'Draw', 'Atl. Nacional'], ['80', '138', '185']]","{'Ball possession': ['63.9%', '36.1%'], 'Total shots': ['19', '10'], 'Corners': ['6', '2'], 'Fouls': ['9', '13']}"
