Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Premier League,England,Nottm Forest,1,Newcastle,2,2023-03-17,https://www.goal.com/en/match/nottingham-forest-vs-newcastle-united/82fts0pgmtwq8550jncy6kob8,"[['Nottm Forest', 'Draw', 'Newcastle'], ['781', '1474', '2298']]","{'Ball possession': ['38.4%', '61.6%'], 'Total shots': ['5', '15'], 'Corners': ['3', '7'], 'Fouls': ['17', '9']}"
La Liga,Spain,Valladolid,1,Athletic Club,3,2023-03-17,https://www.goal.com/en/match/real-valladolid-vs-athletic-club/9wdnmsdsmenrg4bpsmlcbps7o,"[['Valladolid', 'Draw', 'Athletic Club'], ['554', '1124', '1239']]","{'Ball possession': ['48%', '52%'], 'Total shots': ['15', '16'], 'Corners': ['2', '9'], 'Fouls': ['9', '14']}"
Serie A,Italy,Sassuolo,1,Spezia,0,2023-03-17,https://www.goal.com/en/match/sassuolo-vs-spezia/5ay7qsnapvys4ezoo2v1spel0,"[['Sassuolo', 'Draw', 'Spezia'], ['1342', '1058', '396']]","{'Ball possession': ['45%', '55%'], 'Total shots': ['15', '11'], 'Corners': ['3', '3'], 'Fouls': ['10', '13']}"
Serie A,Italy,Atalanta,2,Empoli,1,2023-03-17,https://www.goal.com/en/match/atalanta-vs-empoli/5ajx1yce8e0vhihpck62naqz8,"[['Atalanta', 'Draw', 'Empoli'], ['1482', '1033', '384']]","{'Ball possession': ['69.6%', '30.4%'], 'Total shots': ['27', '5'], 'Corners': ['14', '2'], 'Fouls': ['11', '10']}"
Bundesliga,Germany,M'gladbach,2,Bremen,2,2023-03-17,https://www.goal.com/en/match/borussia-m-gladbach-vs-werder-bremen/dwk2mtxkdrteiggf6gumx02l0,"[[""M'gladbach"", 'Draw', 'Bremen'], ['1468', '1191', '509']]","{'Ball possession': ['58.5%', '41.5%'], 'Total shots': ['21', '8'], 'Corners': ['6', '5'], 'Fouls': ['9', '12']}"
Ligue 1,France,Lyon,1,Nantes,1,2023-03-17,https://www.goal.com/en/match/olympique-lyonnais-vs-nantes/19z220y5myr32cl5rmrr0r3f8,"[['Lyon', 'Draw', 'Nantes'], ['1584', '1018', '367']]","{'Ball possession': ['66.9%', '33.1%'], 'Total shots': ['11', '11'], 'Corners': ['5', '2'], 'Fouls': ['13', '7']}"
CONMEBOL Libertadores,South America,Cerro Porteño,2,Fortaleza,1,2023-03-17,https://www.goal.com/en/match/cerro-porteno-vs-fortaleza/cuzu95u80i4mlisr19itee2hg,"[['Cerro Porteño', 'Draw', 'Fortaleza'], ['176', '130', '85']]","{'Ball possession': ['56.2%', '43.8%'], 'Total shots': ['13', '16'], 'Corners': ['3', '4'], 'Fouls': ['16', '10']}"
CONMEBOL Libertadores,South America,Sp. Cristal,1,Huracán,0,2023-03-17,https://www.goal.com/en/match/sporting-cristal-vs-huracan/77nzdeymyw0x1qqy2vdojrxn8,"[['Sp. Cristal', 'Draw', 'Huracán'], ['184', '147', '140']]","{'Ball possession': ['60.3%', '39.7%'], 'Total shots': ['17', '13'], 'Corners': ['3', '6'], 'Fouls': ['7', '16']}"
Eredivisie,Netherlands,Volendam,2,Fortuna,1,2023-03-17,https://www.goal.com/en/match/volendam-vs-fortuna-sittard/3res28ip6d7vd3qg50mogxno4,"[['Volendam', 'Draw', 'Fortuna'], ['524', '619', '331']]","{'Ball possession': ['42.5%', '57.5%'], 'Total shots': ['9', '13'], 'Corners': ['1', '14'], 'Fouls': ['8', '11']}"
A-League Men,Australia,Adelaide Utd,5,Wellington,1,2023-03-17,https://www.goal.com/en/match/adelaide-united-vs-wellington-phoenix/2o6mik5dk22pug0sjfs3k3w9g,"[['Adelaide Utd', 'Draw', 'Wellington'], ['383', '315', '144']]","{'Ball possession': ['43.6%', '56.4%'], 'Total shots': ['14', '19'], 'Corners': ['3', '9'], 'Fouls': ['10', '5']}"
Süper Lig,Turkey,Konyaspor,2,Galatasaray,1,2023-03-17,https://www.goal.com/en/match/konyaspor-vs-galatasaray/114aj9p9ffegjvbj2j8363z10,"[['Konyaspor', 'Draw', 'Galatasaray'], ['226', '647', '1075']]","{'Ball possession': ['35.6%', '64.4%'], 'Total shots': ['15', '17'], 'Corners': ['4', '6'], 'Fouls': ['19', '19']}"
First Division A,Belgium,Cercle Brugge,1,Genk,1,2023-03-17,https://www.goal.com/en/match/cercle-brugge-vs-genk/dwgza3n6efhjdk52vymh8clxw,"[['Cercle Brugge', 'Draw', 'Genk'], ['216', '570', '655']]","{'Ball possession': ['41.1%', '58.9%'], 'Total shots': ['18', '11'], 'Corners': ['6', '9'], 'Fouls': ['5', '9']}"
Copa do Brasil,Brazil,CSA,1,Brusque,0,2023-03-17,https://www.goal.com/en/match/csa-vs-brusque/b35163gemnw0vwmkr5lejwpw4,"[['CSA', 'Draw', 'Brusque'], ['77', '81', '40']]","{'Corners': ['4', '4'], 'Fouls': ['15', '17']}"
