Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Liga MX,Mexico,Monterrey,1,Atlas,0,2023-07-10,https://www.goal.com/en/match/monterrey-vs-atlas/d9eq96oubdg4kuol8aev6njtg,"[['Monterrey', 'Draw', 'Atlas'], ['144', '121', '72']]","{'Ball possession': ['50.5%', '49.5%'], 'Total shots': ['9', '17'], 'Corners': ['0', '6'], 'Fouls': ['13', '14']}"
Serie A,Brazil,Fortaleza,1,Paranaense,0,2023-07-10,https://www.goal.com/en/match/fortaleza-vs-athletico-paranaense/caaboocjui9f2bp9kntzayexg,"[['Fortaleza', 'Draw', 'Paranaense'], ['178', '214', '132']]","{'Ball possession': ['52.6%', '47.4%'], 'Total shots': ['20', '10'], 'Corners': ['8', '2'], 'Fouls': ['9', '18']}"
Serie A,Brazil,Grêmio,0,Botafogo,2,2023-07-10,https://www.goal.com/en/match/gremio-vs-botafogo/c9rwt868avx1vrhtjrr6fqrro,"[['Grêmio', 'Draw', 'Botafogo'], ['274', '261', '186']]","{'Ball possession': ['51.2%', '48.8%'], 'Total shots': ['22', '15'], 'Corners': ['10', '2'], 'Fouls': ['8', '13']}"
Liga Profesional Argentina,Argentina,Vélez,1,Godoy Cruz,1,2023-07-10,https://www.goal.com/en/match/velez-sarsfield-vs-godoy-cruz/2icrt5hyx98b9cozlcokne1hw,"[['Vélez', 'Draw', 'Godoy Cruz'], ['161', '176', '114']]","{'Ball possession': ['50.2%', '49.8%'], 'Total shots': ['12', '4'], 'Corners': ['8', '1'], 'Fouls': ['8', '17']}"
Liga Profesional Argentina,Argentina,Banfield,0,Arsenal,0,2023-07-10,https://www.goal.com/en/match/banfield-vs-arsenal/2i5egmgnstbsiayovg7mmaej8,"[['Banfield', 'Draw', 'Arsenal'], ['203', '162', '63']]","{'Ball possession': ['49.7%', '50.3%'], 'Total shots': ['11', '8'], 'Corners': ['3', '3'], 'Fouls': ['8', '15']}"
Liga Profesional Argentina,Argentina,Def y Justicia,2,Lanús,2,2023-07-10,https://www.goal.com/en/match/defensa-y-justicia-vs-lanus/2i93p565cx3xkl4m5zos4bc44,"[['Def y Justicia', 'Draw', 'Lanús'], ['169', '158', '80']]","{'Ball possession': ['62.1%', '37.9%'], 'Total shots': ['20', '21'], 'Corners': ['3', '5'], 'Fouls': ['13', '15']}"
Liga Profesional Argentina,Argentina,Barracas C,0,Argentinos,0,2023-07-10,https://www.goal.com/en/match/barracas-central-vs-argentinos-juniors/2hyrvqxsa4a115p7r2yemtzbo,"[['Barracas C', 'Draw', 'Argentinos'], ['153', '204', '183']]","{'Ball possession': ['44.3%', '55.7%'], 'Total shots': ['11', '5'], 'Corners': ['2', '6'], 'Fouls': ['9', '16']}"
Liga Profesional Argentina,Argentina,Colón,0,Belgrano,0,2023-07-10,https://www.goal.com/en/match/colon-vs-belgrano/2hva85w191ovvlzakq4ilintg,"[['Colón', 'Draw', 'Belgrano'], ['173', '213', '169']]","{'Ball possession': ['58.7%', '41.3%'], 'Total shots': ['12', '10'], 'Corners': ['5', '5'], 'Fouls': ['12', '17']}"
Concacaf Gold Cup,N/C America,Guatemala,0,Jamaica,1,2023-07-10,https://www.goal.com/en/match/guatemala-vs-jamaica/e5a4zqab1x2lqlgfy61ya77ys,"[['Guatemala', 'Draw', 'Jamaica'], ['121', '141', '244']]","{'Ball possession': ['56.6%', '43.4%'], 'Total shots': ['11', '18'], 'Corners': ['1', '6'], 'Fouls': ['16', '15']}"
Concacaf Gold Cup,N/C America,United States,2,Canada,2,2023-07-10,https://www.goal.com/en/match/united-states-vs-canada/e5o0kr3gpx9rknzr49yf52b6c,"[['United States', 'Draw', 'Canada'], ['331', '144', '86']]","{'Ball possession': ['67.6%', '32.4%'], 'Total shots': ['21', '5'], 'Corners': ['13', '3'], 'Fouls': ['15', '18']}"
Primera División,Uruguay,Racing,2,Nacional,2,2023-07-10,https://www.goal.com/en/match/racing-vs-nacional/d7apm3tes5xesgtuvunu2pses,"[['Racing', 'Draw', 'Nacional'], ['17', '45', '54']]","{'Corners': ['4', '7'], 'Fouls': ['11', '15']}"
Primera División,Chile,O'Higgins,1,Magallanes,2,2023-07-10,https://www.goal.com/en/match/o-higgins-vs-magallanes/btzvb3qtcki0hpmgm92gupogk,"[[""O'Higgins"", 'Draw', 'Magallanes'], ['71', '70', '24']]","{'Ball possession': ['68.3%', '31.7%'], 'Total shots': ['18', '13'], 'Corners': ['6', '4'], 'Fouls': ['14', '9']}"
Allsvenskan,Sweden,IFK Göteborg,1,Varberg,2,2023-07-10,https://www.goal.com/en/match/ifk-goeteborg-vs-varberg/3oecxkv7c0di8bwak37k3mbdg,"[['IFK Göteborg', 'Draw', 'Varberg'], ['330', '302', '102']]","{'Ball possession': ['56.3%', '43.7%'], 'Total shots': ['9', '14'], 'Corners': ['6', '6'], 'Fouls': ['14', '15']}"
Allsvenskan,Sweden,Norrköping,1,Halmstad,2,2023-07-10,https://www.goal.com/en/match/norrkoeping-vs-halmstad/3ol1f7whmhoyhp4g7qy4g4y6s,"[['Norrköping', 'Draw', 'Halmstad'], ['274', '296', '154']]","{'Ball possession': ['45.4%', '54.6%'], 'Total shots': ['15', '16'], 'Corners': ['2', '5'], 'Fouls': ['12', '8']}"
Club Friendlies,World,Galatasaray,2,Kisvárda,0,2023-07-10,https://www.goal.com/en/match/galatasaray-vs-kisvarda/1g06xmmg77uvjdmcgpkyjltzo,"[['Galatasaray', 'Draw', 'Kisvárda'], ['233', '109', '51']]","{'Ball possession': ['68.4%', '31.6%'], 'Total shots': ['17', '9'], 'Corners': ['7', '7'], 'Fouls': ['10', '8']}"
COSAFA Cup,Africa,Angola,0,Mauritius,1,2023-07-10,https://www.goal.com/en/match/angola-vs-mauritius/32kxjuwevsowx1wkd3sv959uc,"[['Angola', 'Draw', 'Mauritius'], ['106', '121', '38']]","{'Corners': ['12', '0'], 'Fouls': ['14', '14']}"
COSAFA Cup,Africa,Mozambique,0,Lesotho,1,2023-07-10,https://www.goal.com/en/match/mozambique-vs-lesotho/32wkz4334kkq5waoq70ymvh1w,"[['Mozambique', 'Draw', 'Lesotho'], ['96', '108', '50']]","{'Corners': ['2', '1'], 'Fouls': ['10', '14']}"
Ligue 1,Algeria,Bayadh,3,CS Constantine,1,2023-07-10,https://www.goal.com/en/match/el-bayadh-vs-cs-constantine/190b13cxic49mi4yi0djc8ro4,[],{}
Ligue 1,Algeria,ES Sétif,1,MC Alger,1,2023-07-10,https://www.goal.com/en/match/es-setif-vs-mc-alger/1ajjr7svnh9vr0w9to17umz9w,"[['ES Sétif', 'Draw', 'MC Alger'], ['59', '104', '47']]","{'Corners': ['5', '3'], 'Fouls': ['10', '28']}"
Ligue 1,Algeria,HBCL,0,RC Arbaâ,3,2023-07-10,https://www.goal.com/en/match/hb-chelghoum-laid-vs-rc-arbaa/19rtsr3554whgq9rb8ebs4jys,"[['HBCL', 'Draw', 'RC Arbaâ'], ['20', '60', '25']]",
Ligue 1,Algeria,Kabylie,2,NC Magra,0,2023-07-10,https://www.goal.com/en/match/kabylie-vs-nc-magra/19infzso5pawyv14xwwfk991w,"[['Kabylie', 'Draw', 'NC Magra'], ['66', '110', '42']]","{'Corners': ['9', '3'], 'Fouls': ['13', '11']}"
Ligue 1,Algeria,Khenchela,4,Belouizdad,0,2023-07-10,https://www.goal.com/en/match/khenchela-vs-belouizdad/199gxj8shllgqo2mn6uenw9as,[],{}
Ligue 1,Algeria,MC Oran,1,Saoura,0,2023-07-10,https://www.goal.com/en/match/mc-oran-vs-saoura/1aa933gka8n3uq4entwaigkk4,"[['MC Oran', 'Draw', 'Saoura'], ['47', '102', '41']]","{'Corners': ['5', '1'], 'Fouls': ['17', '23']}"
Ligue 1,Algeria,Paradou,2,US Biskra,1,2023-07-10,https://www.goal.com/en/match/paradou-ac-vs-us-biskra/1a0zlo8b9g6n8zar6c8l7d89g,[],{}
Ligue 1,Algeria,USM Alger,1,ASO Chlef,3,2023-07-10,https://www.goal.com/en/match/usm-alger-vs-aso-chlef/18r268n25ryz90kw8qcpkxm38,[],{}
Primera Nacional,Argentina,Est Caseros,1,Ferro,2,2023-07-10,https://www.goal.com/en/match/estudiantes-caseros-vs-ferro-carril-oeste/esq0smqszb6yj5c3mhtjq5vro,[],{}
