Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
UEFA Champions League,Europe,København,0,Sparta,0,2023-08-08,https://www.goal.com/en/match/kobenhavn-vs-sparta-praha/afd5f22rw1954mmoazoh1i9lg,"[['København', 'Draw', 'Sparta'], ['847', '662', '262']]","{'Ball possession': ['54.4%', '45.6%'], 'Total shots': ['16', '6'], 'Corners': ['5', '5'], 'Fouls': ['13', '14']}"
UEFA Champions League,Europe,Raków,2,Aris Limassol,1,2023-08-08,https://www.goal.com/en/match/rakow-czestochowa-vs-aris-limassol/zijq4mciotswatxufho7a39w,"[['Raków', 'Draw', 'Aris Limassol'], ['449', '511', '271']]","{'Ball possession': ['37.6%', '62.4%'], 'Total shots': ['6', '8'], 'Corners': ['6', '2'], 'Fouls': ['17', '14']}"
UEFA Champions League,Europe,PSV,4,Sturm,1,2023-08-08,https://www.goal.com/en/match/psv-vs-sturm-graz/2pphz4dn1ls43vtxxwap5s2s4,"[['PSV', 'Draw', 'Sturm'], ['980', '554', '220']]","{'Ball possession': ['70.6%', '29.4%'], 'Total shots': ['21', '9'], 'Corners': ['5', '4'], 'Fouls': ['10', '10']}"
UEFA Champions League,Europe,KÍ,2,Molde,1,2023-08-08,https://www.goal.com/en/match/ki-vs-molde/ciuwj3q24dj01dsivce16bx1w,"[['KÍ', 'Draw', 'Molde'], ['190', '443', '547']]","{'Ball possession': ['37.6%', '62.4%'], 'Total shots': ['9', '15'], 'Corners': ['3', '3'], 'Fouls': ['7', '9']}"
UEFA Champions League,Europe,Braga,3,TSC,0,2023-08-08,https://www.goal.com/en/match/sporting-braga-vs-tsc/e89b471dzn1c71q3v2npxbbx0,"[['Braga', 'Draw', 'TSC'], ['690', '492', '177']]","{'Ball possession': ['100%', '0%'], 'Total shots': ['3', '0'], 'Corners': ['9', '0'], 'Fouls': ['9', '13']}"
UEFA Champions League,Europe,Olimpija,0,Galatasaray,3,2023-08-08,https://www.goal.com/en/match/olimpija-vs-galatasaray/6zbf1k5qegwt5yjrx82lp6a6s,"[['Olimpija', 'Draw', 'Galatasaray'], ['259', '594', '881']]","{'Ball possession': ['49.5%', '50.5%'], 'Total shots': ['14', '16'], 'Corners': ['5', '6'], 'Fouls': ['17', '13']}"
FIFA Women's World Cup,World,Colombia,1,Jamaica,0,2023-08-08,https://www.goal.com/en/match/colombia-vs-jamaica/14rwev0il8arig2foquwstwk4,"[['Colombia', 'Draw', 'Jamaica'], ['572', '421', '295']]","{'Ball possession': ['50.5%', '49.5%'], 'Total shots': ['11', '6'], 'Corners': ['7', '3'], 'Fouls': ['6', '8']}"
FIFA Women's World Cup,World,France,4,Morocco,0,2023-08-08,https://www.goal.com/en/match/france-vs-morocco/14ogdibidweqqiaf0my8tm68k,"[['France', 'Draw', 'Morocco'], ['594', '408', '384']]","{'Ball possession': ['74.9%', '25.1%'], 'Total shots': ['15', '1'], 'Corners': ['0', '2'], 'Fouls': ['9', '12']}"
UEFA Europa League,Europe,Astana,2,Ludogorets,1,2023-08-08,https://www.goal.com/en/match/astana-vs-ludogorets/9ljb7xdsmtv09i8hhmq5cqjo4,"[['Astana', 'Draw', 'Ludogorets'], ['176', '401', '408']]","{'Ball possession': ['66.7%', '33.3%'], 'Total shots': ['2', '1'], 'Corners': ['5', '7'], 'Fouls': ['12', '13']}"
League Cup,England,Huddersfield,2,Middlesbrough,3,2023-08-08,https://www.goal.com/en/match/huddersfield-town-vs-middlesbrough/2ckxsqwdipaiomousf29c991w,"[['Huddersfield', 'Draw', 'Middlesbrough'], ['209', '354', '236']]","{'Ball possession': ['23.9%', '76.1%'], 'Total shots': ['9', '15'], 'Corners': ['3', '13'], 'Fouls': ['6', '12']}"
League Cup,England,Mansfield Town,2,Grimsby,0,2023-08-08,https://www.goal.com/en/match/mansfield-town-vs-grimsby-town/291nd7ok0bc9l1ksy94j1lqfo,"[['Mansfield Town', 'Draw', 'Grimsby'], ['123', '199', '81']]","{'Ball possession': ['61.7%', '38.3%'], 'Total shots': ['17', '9'], 'Corners': ['12', '4'], 'Fouls': ['8', '11']}"
League Cup,England,Newport,3,Charlton,1,2023-08-08,https://www.goal.com/en/match/newport-county-vs-charlton-athletic/5lokcw319eg0vdhqzid3f2yhg,"[['Newport', 'Draw', 'Charlton'], ['87', '219', '183']]","{'Ball possession': ['27.4%', '72.6%'], 'Total shots': ['13', '18'], 'Corners': ['7', '5'], 'Fouls': ['11', '3']}"
League Cup,England,Peterborough,1,Swindon,1,2023-08-08,https://www.goal.com/en/match/peterborough-united-vs-swindon-town/5o5g2un57s30jdzfqe3ye94pg,"[['Peterborough', 'Draw', 'Swindon'], ['233', '232', '79']]","{'Ball possession': ['52.4%', '47.6%'], 'Total shots': ['12', '24'], 'Corners': ['4', '9'], 'Fouls': ['13', '10']}"
League Cup,England,Swansea,3,Northampton,0,2023-08-08,https://www.goal.com/en/match/swansea-city-vs-northampton-town/5kxxdvbcjeeze6ut9nblj1b84,"[['Swansea', 'Draw', 'Northampton'], ['277', '248', '84']]","{'Ball possession': ['63.6%', '36.4%'], 'Total shots': ['22', '4'], 'Corners': ['12', '0'], 'Fouls': ['8', '6']}"
League Cup,England,Accrington,1,Bradford,1,2023-08-08,https://www.goal.com/en/match/accrington-stanley-vs-bradford-city/2b83wmy9o0yuqei2dszg21ij8,"[['Accrington', 'Draw', 'Bradford'], ['97', '174', '78']]","{'Ball possession': ['49.9%', '50.1%'], 'Total shots': ['11', '11'], 'Corners': ['7', '6'], 'Fouls': ['12', '13']}"
League Cup,England,Barnsley,2,Tranmere,2,2023-08-08,https://www.goal.com/en/match/barnsley-vs-tranmere-rovers/2c1bovad0ddtrllm6btt65f6c,"[['Barnsley', 'Draw', 'Tranmere'], ['277', '220', '83']]","{'Ball possession': ['65.6%', '34.4%'], 'Total shots': ['15', '14'], 'Corners': ['9', '7'], 'Fouls': ['7', '12']}"
League Cup,England,Blackburn,4,Walsall,3,2023-08-08,https://www.goal.com/en/match/blackburn-rovers-vs-walsall/2cb7pe44wphthlfnaovvsfytw,"[['Blackburn', 'Draw', 'Walsall'], ['252', '217', '71']]","{'Ball possession': ['74.1%', '25.9%'], 'Total shots': ['13', '13'], 'Corners': ['5', '2'], 'Fouls': ['11', '7']}"
League Cup,England,Bolton,1,Barrow,0,2023-08-08,https://www.goal.com/en/match/bolton-wanderers-vs-barrow/28exm0wx5b7y9u6xv5yxoo3ys,"[['Bolton', 'Draw', 'Barrow'], ['211', '190', '63']]","{'Ball possession': ['78.1%', '21.9%'], 'Total shots': ['16', '7'], 'Corners': ['6', '2'], 'Fouls': ['9', '7']}"
League Cup,England,Cheltenham,0,Birmingham,2,2023-08-08,https://www.goal.com/en/match/cheltenham-town-vs-birmingham-city/5m6c452evmdh0pekcfj8oud5g,"[['Cheltenham', 'Draw', 'Birmingham'], ['58', '154', '106']]","{'Ball possession': ['39.1%', '60.9%'], 'Total shots': ['2', '22'], 'Corners': ['2', '6'], 'Fouls': ['10', '11']}"
League Cup,England,Derby,0,Blackpool,2,2023-08-08,https://www.goal.com/en/match/derby-county-vs-blackpool/2bhtxjm4r1pt8umuxmay9bj10,"[['Derby', 'Draw', 'Blackpool'], ['191', '233', '99']]","{'Ball possession': ['59.6%', '40.4%'], 'Total shots': ['9', '10'], 'Corners': ['4', '6'], 'Fouls': ['8', '8']}"
League Cup,England,Exeter,2,Crawley,1,2023-08-08,https://www.goal.com/en/match/exeter-city-vs-crawley-town/5l6qhv69savcv4i5cbs3dpj4k,"[['Exeter', 'Draw', 'Crawley'], ['100', '114', '46']]","{'Ball possession': ['40.3%', '59.7%'], 'Total shots': ['20', '7'], 'Corners': ['12', '2'], 'Fouls': ['10', '13']}"
League Cup,England,Forest Green,1,Portsmouth,3,2023-08-08,https://www.goal.com/en/match/forest-green-rovers-vs-portsmouth/5koye8gnw586vu0hdsrenymms,"[['Forest Green', 'Draw', 'Portsmouth'], ['49', '140', '111']]","{'Ball possession': ['46.7%', '53.3%'], 'Total shots': ['8', '10'], 'Corners': ['5', '4'], 'Fouls': ['16', '9']}"
League Cup,England,Gillingham,3,Southampton,1,2023-08-08,https://www.goal.com/en/match/gillingham-vs-southampton/5nnoj0sr0z505ygpb2cust2j8,"[['Gillingham', 'Draw', 'Southampton'], ['67', '177', '273']]","{'Ball possession': ['27.4%', '72.6%'], 'Total shots': ['9', '20'], 'Corners': ['6', '2'], 'Fouls': ['15', '10']}"
League Cup,England,Harrogate,1,Carlisle,0,2023-08-08,https://www.goal.com/en/match/harrogate-town-vs-carlisle-united/2aoolblmdhl1yvopz33gdg104,"[['Harrogate', 'Draw', 'Carlisle'], ['55', '102', '50']]","{'Ball possession': ['49.6%', '50.4%'], 'Total shots': ['13', '15'], 'Corners': ['5', '4'], 'Fouls': ['7', '6']}"
League Cup,England,Hull,1,Doncaster,2,2023-08-08,https://www.goal.com/en/match/hull-city-vs-doncaster-rovers/28rty3zdyc2mzx52nd2qnd15g,"[['Hull', 'Draw', 'Doncaster'], ['166', '172', '56']]","{'Ball possession': ['61.3%', '38.7%'], 'Total shots': ['11', '17'], 'Corners': ['4', '8'], 'Fouls': ['14', '12']}"
League Cup,England,Millwall,0,Reading,4,2023-08-08,https://www.goal.com/en/match/millwall-vs-reading/5mx13ynh1zbwmhwwzbcd53xn8,"[['Millwall', 'Draw', 'Reading'], ['146', '165', '78']]","{'Ball possession': ['59.3%', '40.7%'], 'Total shots': ['20', '11'], 'Corners': ['12', '0'], 'Fouls': ['15', '8']}"
League Cup,England,MK Dons,0,Wycombe,2,2023-08-08,https://www.goal.com/en/match/milton-keynes-dons-vs-wycombe-wanderers/5mo522it9eo3wpn8w6zl5iy38,"[['MK Dons', 'Draw', 'Wycombe'], ['68', '139', '61']]","{'Ball possession': ['56.5%', '43.5%'], 'Total shots': ['19', '14'], 'Corners': ['8', '5'], 'Fouls': ['5', '7']}"
League Cup,England,Notts,0,Lincoln,2,2023-08-08,https://www.goal.com/en/match/notts-county-vs-lincoln-city/680mv5p7njdf37llfzv7tacd0,"[['Notts', 'Draw', 'Lincoln'], ['103', '141', '57']]","{'Ball possession': ['69.9%', '30.1%'], 'Total shots': ['7', '20'], 'Corners': ['3', '3'], 'Fouls': ['11', '12']}"
League Cup,England,Plymouth,2,L Orient,0,2023-08-08,https://www.goal.com/en/match/plymouth-argyle-vs-leyton-orient/5kcrxhm74fjsm23ihybp1fdas,"[['Plymouth', 'Draw', 'L Orient'], ['217', '172', '75']]","{'Ball possession': ['51.1%', '48.9%'], 'Total shots': ['13', '14'], 'Corners': ['5', '5'], 'Fouls': ['6', '16']}"
