Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
UEFA Champions League,Europe,Real Madrid,5,Celtic,1,2022-11-02,https://www.goal.com/en/match/real-madrid-vs-celtic/bui3vmcrieunlx80qu4vxyadw,"[['Real Madrid', 'Draw', 'Celtic'], ['5846', '1976', '871']]","{'Ball possession': ['64.7%', '35.3%'], 'Total shots': ['25', '14'], 'Corners': ['5', '4'], 'Fouls': ['6', '8']}"
UEFA Champions League,Europe,Shakhtar D,0,Leipzig,4,2022-11-02,https://www.goal.com/en/match/shakhtar-donetsk-vs-rb-leipzig/bulk5lpql8qpphlpewq6km39w,"[['Shakhtar D', 'Draw', 'Leipzig'], ['1528', '2239', '2762']]","{'Ball possession': ['48.6%', '51.4%'], 'Total shots': ['5', '12'], 'Corners': ['2', '3'], 'Fouls': ['15', '10']}"
UEFA Champions League,Europe,Chelsea,2,Dinamo Zagreb,1,2022-11-02,https://www.goal.com/en/match/chelsea-vs-dinamo-zagreb/48ujwpshuoykdbenqvila4fmc,"[['Chelsea', 'Draw', 'Dinamo Zagreb'], ['5121', '1949', '763']]","{'Ball possession': ['58.5%', '41.5%'], 'Total shots': ['22', '7'], 'Corners': ['9', '3'], 'Fouls': ['17', '16']}"
UEFA Champions League,Europe,Juventus,1,PSG,2,2022-11-02,https://www.goal.com/en/match/juventus-vs-psg/b3mfqd4d9cqysuj5lxu4d9pg4,"[['Juventus', 'Draw', 'PSG'], ['1577', '2132', '5279']]","{'Ball possession': ['47.4%', '52.6%'], 'Total shots': ['15', '7'], 'Corners': ['0', '2'], 'Fouls': ['14', '13']}"
UEFA Champions League,Europe,København,1,Dortmund,1,2022-11-02,https://www.goal.com/en/match/kobenhavn-vs-borussia-dortmund/cbu85he831se3fzkpx80hvdas,"[['København', 'Draw', 'Dortmund'], ['568', '1772', '3259']]","{'Ball possession': ['42.7%', '57.3%'], 'Total shots': ['22', '13'], 'Corners': ['3', '6'], 'Fouls': ['9', '7']}"
UEFA Champions League,Europe,M Haifa,1,Benfica,6,2022-11-02,https://www.goal.com/en/match/maccabi-haifa-vs-benfica/b3p9yb69tx36cr9zai91rtmhg,"[['M Haifa', 'Draw', 'Benfica'], ['586', '1607', '2980']]","{'Ball possession': ['42.7%', '57.3%'], 'Total shots': ['10', '17'], 'Corners': ['3', '2'], 'Fouls': ['10', '6']}"
UEFA Champions League,Europe,Man City,3,Sevilla,1,2022-11-02,https://www.goal.com/en/match/manchester-city-vs-sevilla/cbr68lg0xom0vjl9cm78tpy50,"[['Man City', 'Draw', 'Sevilla'], ['4406', '1632', '752']]","{'Ball possession': ['61.6%', '38.4%'], 'Total shots': ['21', '7'], 'Corners': ['8', '1'], 'Fouls': ['9', '7']}"
UEFA Champions League,Europe,Milan,4,Salzburg,0,2022-11-02,https://www.goal.com/en/match/milan-vs-salzburg/48y13c6dgtp2qwxp1289z9tsk,"[['Milan', 'Draw', 'Salzburg'], ['4006', '2019', '910']]","{'Ball possession': ['48.7%', '51.3%'], 'Total shots': ['15', '16'], 'Corners': ['3', '2'], 'Fouls': ['6', '9']}"
Championship,England,Birmingham,0,Millwall,0,2022-11-02,https://www.goal.com/en/match/birmingham-city-vs-millwall/5xl1vrh4u2blk2cygijgjdvys,"[['Birmingham', 'Draw', 'Millwall'], ['716', '1002', '506']]","{'Ball possession': ['47.3%', '52.7%'], 'Total shots': ['5', '9'], 'Corners': ['2', '5'], 'Fouls': ['10', '11']}"
Championship,England,Burnley,3,Rotherham,2,2022-11-02,https://www.goal.com/en/match/burnley-vs-rotherham-united/5xomewatu6bh2irfglik403kk,"[['Burnley', 'Draw', 'Rotherham'], ['1249', '860', '269']]","{'Ball possession': ['71%', '29%'], 'Total shots': ['24', '8'], 'Corners': ['7', '3'], 'Fouls': ['7', '4']}"
