Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
CONMEBOL Libertadores,South America,Internacional,3,Medellín,1,2023-06-29,https://www.goal.com/en/match/internacional-vs-independiente-medellin/3sb97ov45czdyx3s0fzzsf6dw,"[['Internacional', 'Draw', 'Medellín'], ['352', '214', '112']]","{'Ball possession': ['41.1%', '58.9%'], 'Total shots': ['12', '5'], 'Corners': ['7', '3'], 'Fouls': ['11', '18']}"
CONMEBOL Libertadores,South America,Nacional,1,Metropolitanos,0,2023-06-29,https://www.goal.com/en/match/nacional-vs-metropolitanos/m3v7ujlqrtbyabrr069rhrtg,"[['Nacional', 'Draw', 'Metropolitanos'], ['262', '152', '70']]","{'Ball possession': ['47%', '53%'], 'Total shots': ['22', '5'], 'Corners': ['6', '4'], 'Fouls': ['9', '13']}"
CONMEBOL Libertadores,South America,Corinthians,3,Liverpool,0,2023-06-29,https://www.goal.com/en/match/corinthians-vs-liverpool/b0ehset4t1nfzdvnldbv5b02c,"[['Corinthians', 'Draw', 'Liverpool'], ['328', '189', '127']]","{'Ball possession': ['62.2%', '37.8%'], 'Total shots': ['14', '21'], 'Corners': ['7', '5'], 'Fouls': ['12', '10']}"
CONMEBOL Libertadores,South America,Flamengo,4,Aucas,0,2023-06-29,https://www.goal.com/en/match/flamengo-vs-aucas/8hvtwvi6q967612tn3lwg1m38,"[['Flamengo', 'Draw', 'Aucas'], ['395', '181', '85']]","{'Ball possession': ['67.1%', '32.9%'], 'Total shots': ['22', '9'], 'Corners': ['8', '6'], 'Fouls': ['16', '11']}"
CONMEBOL Libertadores,South America,Ind. del Valle,3,Argentinos,2,2023-06-29,https://www.goal.com/en/match/independiente-valle-vs-argentinos-juniors/cpg3cfig0304nf1yiiav59c0k,"[['Ind. del Valle', 'Draw', 'Argentinos'], ['193', '189', '197']]","{'Ball possession': ['52.8%', '47.2%'], 'Total shots': ['15', '7'], 'Corners': ['3', '4'], 'Fouls': ['6', '8']}"
CONMEBOL Libertadores,South America,Racing Club,4,Ñublense,0,2023-06-29,https://www.goal.com/en/match/racing-club-vs-nublense/67bjhgo3eg7aicy2p26gipqtw,"[['Racing Club', 'Draw', 'Ñublense'], ['395', '181', '87']]","{'Ball possession': ['55.3%', '44.7%'], 'Total shots': ['16', '10'], 'Corners': ['5', '3'], 'Fouls': ['7', '15']}"
CONMEBOL Sudamericana,South America,Estudiantes,4,O. Petrolero,0,2023-06-29,https://www.goal.com/en/match/estudiantes-vs-oriente-petrolero/8yp9e97nxyu9d09qh1m5gmb6c,"[['Estudiantes', 'Draw', 'O. Petrolero'], ['192', '107', '57']]","{'Ball possession': ['68.4%', '31.6%'], 'Total shots': ['28', '2'], 'Corners': ['9', '4'], 'Fouls': ['11', '13']}"
CONMEBOL Sudamericana,South America,RB Bragantino,7,Tacuary,1,2023-06-29,https://www.goal.com/en/match/rb-bragantino-vs-tacuary/awqb84k8seva3vgafb031sr9w,"[['RB Bragantino', 'Draw', 'Tacuary'], ['173', '105', '58']]","{'Ball possession': ['78.9%', '21.1%'], 'Total shots': ['25', '5'], 'Corners': ['3', '2'], 'Fouls': ['6', '11']}"
CONMEBOL Sudamericana,South America,Guaraní,2,Huracán,0,2023-06-29,https://www.goal.com/en/match/club-guarani-vs-huracan/ew8oln7tmxw9jjx4azx19q7mc,"[['Guaraní', 'Draw', 'Huracán'], ['158', '179', '146']]","{'Ball possession': ['46.6%', '53.4%'], 'Total shots': ['12', '10'], 'Corners': ['3', '9'], 'Fouls': ['14', '15']}"
CONMEBOL Sudamericana,South America,Emelec,2,Danubio,1,2023-06-29,https://www.goal.com/en/match/emelec-vs-danubio/d620t6dzaz8iarg3chdsj3ytw,"[['Emelec', 'Draw', 'Danubio'], ['151', '115', '70']]","{'Ball possession': ['58.6%', '41.4%'], 'Total shots': ['14', '18'], 'Corners': ['4', '2'], 'Fouls': ['9', '14']}"
CONMEBOL Sudamericana,South America,Santa Fe,1,Goiás,2,2023-06-29,https://www.goal.com/en/match/independiente-santa-fe-vs-goias/1z9rhw1fqbxi5wwpwo1amepec,"[['Santa Fe', 'Draw', 'Goiás'], ['176', '141', '113']]","{'Ball possession': ['57.3%', '42.7%'], 'Total shots': ['22', '7'], 'Corners': ['10', '2'], 'Fouls': ['12', '9']}"
CONMEBOL Sudamericana,South America,Universitario,1,Gimn La Plata,0,2023-06-29,https://www.goal.com/en/match/universitario-vs-gimnasia-la-plata/4hqp9wwdoix2ipb7yropoyal0,"[['Universitario', 'Draw', 'Gimn La Plata'], ['172', '118', '126']]","{'Ball possession': ['53.2%', '46.8%'], 'Total shots': ['17', '8'], 'Corners': ['6', '1'], 'Fouls': ['17', '22']}"
Concacaf Gold Cup,N/C America,Jamaica,4,Trinidad,1,2023-06-29,https://www.goal.com/en/match/jamaica-vs-trinidad-and-tobago/6b045mz7682stniuipakpwtg4,"[['Jamaica', 'Draw', 'Trinidad'], ['183', '135', '86']]","{'Ball possession': ['53.4%', '46.6%'], 'Total shots': ['13', '3'], 'Corners': ['2', '0'], 'Fouls': ['17', '15']}"
Concacaf Gold Cup,N/C America,St. Kitts,0,United States,6,2023-06-29,https://www.goal.com/en/match/st-kitts-and-nevis-vs-united-states/arsxfiaa9ju1kknrybgf0vhg4,"[['St. Kitts', 'Draw', 'United States'], ['47', '109', '220']]","{'Ball possession': ['33.8%', '66.2%'], 'Total shots': ['2', '34'], 'Corners': ['1', '8'], 'Fouls': ['9', '16']}"
Primera División,Chile,U. de Chile,3,Univ Católica,0,2023-06-29,https://www.goal.com/en/match/universidad-de-chile-vs-universidad-catolica/bq0mfszka9geim1gvih9uoowk,"[['U. de Chile', 'Draw', 'Univ Católica'], ['41', '39', '23']]","{'Ball possession': ['30.3%', '69.7%'], 'Total shots': ['13', '7'], 'Corners': ['5', '3'], 'Fouls': ['15', '7']}"
Torneo Federal A,Argentina,Villa Mitre,0,Sansinena,0,2023-06-29,https://www.goal.com/en/match/villa-mitre-vs-sansinena/3vqkag3fmlqaj16vgwz6tajh0,[],{}
Torneo Federal A,Argentina,Cipolletti,1,Olimpo,0,2023-06-29,https://www.goal.com/en/match/cipolletti-vs-olimpo/3w9o35em5p9jn3gl89qgsuyhg,[],{}
Torneo Federal A,Argentina,Douglas Haig,3,Linqueño,1,2023-06-29,https://www.goal.com/en/match/douglas-haig-vs-el-linqueno/elhue7k2266zt86f18ywb5xxw,"[['Douglas Haig', 'Draw', 'Linqueño'], ['25', '24', '11']]","{'Corners': ['6', '8'], 'Fouls': ['12', '12']}"
Torneo Federal A,Argentina,Unión Sun,1,De. Pro.,0,2023-06-29,https://www.goal.com/en/match/union-sunchales-vs-def-de-pronunciamiento/elqutfsfmmp17xvtvzmaf85qs,"[['Unión Sun', 'Draw', 'De. Pro.'], ['14', '13', '5']]","{'Corners': ['3', '4'], 'Fouls': ['10', '15']}"
Torneo Federal A,Argentina,Gim Concepción,0,Las Parejas,2,2023-06-29,https://www.goal.com/en/match/gimnasia-concepcion-vs-sportivo-las-parejas/el8sq73sqx94zkcrg6y7ut7o4,"[['Gim Concepción', 'Draw', 'Las Parejas'], ['8', '14', '8']]","{'Corners': ['5', '6'], 'Fouls': ['13', '12']}"
Torneo Federal A,Argentina,Juv Antoniana,0,S Resistencia,0,2023-06-29,https://www.goal.com/en/match/juventud-antoniana-vs-sarmiento-resistencia/4irp4ytyf602o8pear5pvlclw,[],{}
AFC U17 Asian Cup,Asia,Iran,0,Japan,3,2023-06-29,https://www.goal.com/en/match/ir-iran-u17-vs-japan-u17/5rcuhvuxyefhhd09s67jtoh78,[],{}
AFC U17 Asian Cup,Asia,Korea Republic,1,Uzbekistan,0,2023-06-29,https://www.goal.com/en/match/korea-republic-u17-vs-uzbekistan-u17/5qz9o3r0r1bjzc5cqr4mvv5sk,[],{}
Serie B,Brazil,ABC,1,Atlético GO,1,2023-06-29,https://www.goal.com/en/match/abc-vs-atletico-goianiense/bpnm8z6ts9hphs1j3fndjob9w,"[['ABC', 'Draw', 'Atlético GO'], ['122', '217', '130']]","{'Ball possession': ['46%', '54%'], 'Total shots': ['12', '13'], 'Corners': ['5', '4'], 'Fouls': ['16', '16']}"
