Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Friendlies,World,Japan,4,Peru,1,2023-06-20,https://www.goal.com/en/match/japan-vs-peru/cqly1qmqq7r7pt7hyvwdbgjkk,"[['Japan', 'Draw', 'Peru'], ['944', '422', '230']]","{'Ball possession': ['43.4%', '56.6%'], 'Total shots': ['10', '9'], 'Corners': ['4', '4'], 'Fouls': ['11', '8']}"
Friendlies,World,Korea Rep,1,El Salvador,1,2023-06-20,https://www.goal.com/en/match/korea-republic-vs-el-salvador/2e7omgvh3066v5lsw3bm7rv9w,"[['Korea Rep', 'Draw', 'El Salvador'], ['394', '238', '107']]","{'Ball possession': ['73.1%', '26.9%'], 'Total shots': ['16', '8'], 'Corners': ['8', '4'], 'Fouls': ['16', '14']}"
Friendlies,World,China PR,2,Palestine,0,2023-06-20,https://www.goal.com/en/match/china-pr-vs-palestine/2eby76kt5tqlct714pcpszbpw,"[['China PR', 'Draw', 'Palestine'], ['182', '186', '134']]","{'Ball possession': ['58.4%', '41.6%'], 'Total shots': ['13', '15'], 'Corners': ['7', '5'], 'Fouls': ['16', '15']}"
Friendlies,World,Montenegro,1,Czechia,4,2023-06-20,https://www.goal.com/en/match/montenegro-vs-czechia/99yrnucqpsibndxyv3efo91xw,"[['Montenegro', 'Draw', 'Czechia'], ['98', '318', '359']]","{'Ball possession': ['25%', '75%'], 'Total shots': ['1', '4'], 'Corners': ['4', '4'], 'Fouls': ['6', '18']}"
Friendlies,World,Germany,0,Colombia,2,2023-06-20,https://www.goal.com/en/match/germany-vs-colombia/6aytd59upbub1d04i7tpmzmdw,"[['Germany', 'Draw', 'Colombia'], ['603', '376', '292']]","{'Ball possession': ['62%', '38%'], 'Total shots': ['4', '10'], 'Corners': ['4', '2'], 'Fouls': ['15', '17']}"
Friendlies,World,Algeria,1,Tunisia,1,2023-06-20,https://www.goal.com/en/match/algeria-vs-tunisia/4xsjuqghrra5upjsd0luubris,"[['Algeria', 'Draw', 'Tunisia'], ['392', '257', '122']]","{'Ball possession': ['0%', '100%'], 'Total shots': ['1', '1'], 'Corners': ['1', '7'], 'Fouls': ['18', '12']}"
Friendlies,World,Brazil,2,Senegal,4,2023-06-20,https://www.goal.com/en/match/brazil-vs-senegal/q7890jilfgxysoaohlp9q1as,"[['Brazil', 'Draw', 'Senegal'], ['867', '354', '219']]","{'Ball possession': ['62.2%', '37.8%'], 'Total shots': ['11', '7'], 'Corners': ['3', '3'], 'Fouls': ['13', '18']}"
Africa Cup of Nations Qualification,Africa,Burundi,3,Namibia,2,2023-06-20,https://www.goal.com/en/match/burundi-vs-namibia/4zlvlff17gt8gw4c3rdem1z4k,[],{}
Africa Cup of Nations Qualification,Africa,Ethiopia,0,Malawi,0,2023-06-20,https://www.goal.com/en/match/ethiopia-vs-malawi/xior74lbkuurf1ziu9un5no4,[],{}
Africa Cup of Nations Qualification,Africa,Sudan,0,Mauritania,3,2023-06-20,https://www.goal.com/en/match/sudan-vs-mauritania/9963wcel5fxpuojmz7s4jgis4,"[['Sudan', 'Draw', 'Mauritania'], ['189', '304', '140']]","{'Corners': ['4', '4'], 'Fouls': ['13', '25']}"
Primera Nacional,Argentina,Racing Córdoba,1,Brown Adrogué,2,2023-06-20,https://www.goal.com/en/match/racing-cordoba-vs-brown-de-adrogue/emfiksjr4c7hyoj1vh7j8gowk,[],{}
AFC U17 Asian Cup,Asia,Vietnam,0,Japan,4,2023-06-20,https://www.goal.com/en/match/vietnam-u17-vs-japan-u17/34l8w1nnhs252cffflbh9eg44,[],{}
AFC U17 Asian Cup,Asia,Uzbekistan,1,India,0,2023-06-20,https://www.goal.com/en/match/uzbekistan-u17-vs-india-u17/34bzwvlspgwu11kj6byc6d990,[],{}
Victoria NPL,Australia,South Melb,4,St. Albans,0,2023-06-20,https://www.goal.com/en/match/south-melbourne-vs-st-albans-saints/xv3xm9lwkug5s5hv6ph7yas4,"[['South Melb', 'Draw', 'St. Albans'], ['78', '60', '23']]","{'Corners': ['8', '5'], 'Fouls': ['12', '10']}"
Serie C,Brazil,Botafogo,1,Náutico,1,2023-06-20,https://www.goal.com/en/match/botafogo-pb-vs-nautico/16fviqfo3n3vccnzd2baikvf8,[],{}
Serie C,Brazil,São Bernardo,0,Volta Redonda,3,2023-06-20,https://www.goal.com/en/match/sao-bernardo-vs-volta-redonda/15civpc52s9gmmdyd6a8q1n9w,"[['São Bernardo', 'Draw', 'Volta Redonda'], ['73', '82', '45']]","{'Corners': ['10', '5'], 'Fouls': ['12', '8']}"
Serie D,Brazil,Caxias,0,Hercílio,1,2023-06-20,https://www.goal.com/en/match/caxias-vs-hercilio-luz/c3wmtgn7rckytlbt6tjhne0pg,"[['Caxias', 'Draw', 'Hercílio'], ['33', '42', '16']]","{'Corners': ['8', '1'], 'Fouls': ['20', '18']}"
