Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
UEFA Champions League,Europe,Braga,2,Panathinaikos,1,2023-08-23,https://www.goal.com/en/match/sporting-braga-vs-panathinaikos/2divj1d8nezuj5vx1szp8x2c4,"[['Braga', 'Draw', 'Panathinaikos'], ['1549', '1049', '438']]","{'Ball possession': ['53.5%', '46.5%'], 'Total shots': ['17', '8'], 'Corners': ['5', '1'], 'Fouls': ['18', '11']}"
UEFA Champions League,Europe,M Haifa,0,Young Boys,0,2023-08-23,https://www.goal.com/en/match/maccabi-haifa-vs-young-boys/5seobco57zptn51h4bi9dnthw,"[['M Haifa', 'Draw', 'Young Boys'], ['947', '1212', '1137']]","{'Ball possession': ['59.7%', '40.3%'], 'Total shots': ['8', '8'], 'Corners': ['6', '2'], 'Fouls': ['12', '14']}"
UEFA Champions League,Europe,Molde,2,Galatasaray,3,2023-08-23,https://www.goal.com/en/match/molde-vs-galatasaray/93lvr6fr89a33810pi04ui1hw,"[['Molde', 'Draw', 'Galatasaray'], ['494', '1152', '1916']]","{'Ball possession': ['49.3%', '50.7%'], 'Total shots': ['22', '6'], 'Corners': ['7', '3'], 'Fouls': ['16', '7']}"
UEFA Europa Conference League,Europe,Spartak,1,Dnipro-1,1,2023-08-23,https://www.goal.com/en/match/spartak-trnava-vs-dnipro-1/2y0jpbrf5qkdaiovz6nje2m1g,"[['Spartak', 'Draw', 'Dnipro-1'], ['679', '629', '349']]","{'Corners': ['7', '1'], 'Fouls': ['13', '12']}"
UEFA Europa Conference League,Europe,Hibernian,0,Aston Villa,5,2023-08-23,https://www.goal.com/en/match/hibernian-vs-aston-villa/6dv8sevrnagpqmb1lgvv0xogk,"[['Hibernian', 'Draw', 'Aston Villa'], ['266', '712', '1358']]","{'Corners': ['3', '8'], 'Fouls': ['10', '8']}"
CONMEBOL Libertadores,South America,Bolívar,0,Internacional,1,2023-08-23,https://www.goal.com/en/match/bolivar-vs-internacional/3y3l1x9b24gmk64mr8oqweql0,"[['Bolívar', 'Draw', 'Internacional'], ['378', '300', '244']]","{'Ball possession': ['62.5%', '37.5%'], 'Total shots': ['23', '6'], 'Corners': ['15', '2'], 'Fouls': ['8', '6']}"
CONMEBOL Sudamericana,South America,Corinthians,1,Estudiantes,0,2023-08-23,https://www.goal.com/en/match/corinthians-vs-estudiantes/c8svzaetb27vm6hujnynqm7mc,"[['Corinthians', 'Draw', 'Estudiantes'], ['391', '335', '301']]","{'Ball possession': ['44.5%', '55.5%'], 'Total shots': ['10', '7'], 'Corners': ['4', '3'], 'Fouls': ['13', '11']}"
Liga MX,Mexico,Chivas,1,Tijuana,0,2023-08-23,https://www.goal.com/en/match/guadalajara-vs-tijuana/dhb2go36f1hsoxh2fxg40z28k,"[['Chivas', 'Draw', 'Tijuana'], ['225', '168', '65']]","{'Ball possession': ['59.1%', '40.9%'], 'Total shots': ['24', '7'], 'Corners': ['11', '2'], 'Fouls': ['13', '10']}"
Liga MX,Mexico,Mazatlán,1,Puebla,0,2023-08-23,https://www.goal.com/en/match/mazatlan-vs-puebla/dhkazc4avdtrb4a3g5rnk3jmc,"[['Mazatlán', 'Draw', 'Puebla'], ['100', '171', '88']]","{'Ball possession': ['43.1%', '56.9%'], 'Total shots': ['12', '13'], 'Corners': ['3', '6'], 'Fouls': ['9', '12']}"
Liga MX,Mexico,Juárez,4,Pumas,1,2023-08-23,https://www.goal.com/en/match/juarez-vs-pumas-unam/dg0b3x796s9edzxxkb9eci6ms,"[['Juárez', 'Draw', 'Pumas'], ['109', '169', '114']]","{'Ball possession': ['36%', '64%'], 'Total shots': ['12', '19'], 'Corners': ['4', '5'], 'Fouls': ['15', '14']}"
Primera A,Colombia,Jaguares,0,Magdalena,1,2023-08-23,https://www.goal.com/en/match/jaguares-de-cordoba-vs-union-magdalena/5fyd7kgkrkssd5hs0iigfahhw,"[['Jaguares', 'Draw', 'Magdalena'], ['94', '123', '44']]","{'Ball possession': ['48.2%', '51.8%'], 'Total shots': ['10', '12'], 'Corners': ['3', '10'], 'Fouls': ['11', '21']}"
Copa Argentina,Argentina,Villa Mitre,0,Chaco,0,2023-08-23,https://www.goal.com/en/match/villa-mitre-vs-chaco-for-ever/560mh3g0js66z79uebwt4p6ok,"[['Villa Mitre', 'Draw', 'Chaco'], ['58', '76', '48']]","{'Ball possession': ['44.8%', '55.2%'], 'Total shots': ['11', '5'], 'Corners': ['6', '2'], 'Fouls': ['10', '14']}"
Premier League,Armenia,Ararat-Armenia,1,Pyunik,2,2023-08-23,https://www.goal.com/en/match/ararat-armenia-vs-pyunik/e6qj3em48fl97le23ck77ndas,[],{}
AFC Cup,Asia,PSM,4,Yangon,0,2023-08-23,https://www.goal.com/en/match/psm-vs-yangon-united/5oaubkxx95gd67ms7cqpre9ec,[],{}
AFC Cup,Asia,Monte Carlo,1,Futuro,2,2023-08-23,https://www.goal.com/en/match/monte-carlo-vs-taichung-futuro/5oo9od2w0banlbplsecfjl0r8,"[['Monte Carlo', 'Draw', 'Futuro'], ['51', '70', '49']]","{'Corners': ['6', '4'], 'Fouls': ['13', '11']}"
AFC Cup,Asia,Tampines,2,Crown,3,2023-08-23,https://www.goal.com/en/match/tampines-rovers-vs-phnom-penh-crown/5nxi69nznzp8l4ocei2568o44,"[['Tampines', 'Draw', 'Crown'], ['72', '66', '66']]","{'Corners': ['5', '1'], 'Fouls': ['14', '15']}"
New South Wales NPL,Australia,Sydney Olympic,3,Sydney Utd,3,2023-08-23,https://www.goal.com/en/match/sydney-olympic-vs-sydney-united/a7qckbh2hlr6zhsaf4qdflm38,"[['Sydney Olympic', 'Draw', 'Sydney Utd'], ['64', '63', '35']]","{'Corners': ['4', '11'], 'Fouls': ['8', '6']}"
New South Wales NPL Women,Australia,NSW Institute,1,Ravens,1,2023-08-23,https://www.goal.com/en/match/football-nsw-institute-vs-gladesville-ravens/3k5y5vavabd55w1ylergnkw0k,[],{}
Primera División,Bolivia,Always Ready,N/A,Independiente,N/A,2023-08-23,https://www.goal.com/en/match/always-ready-vs-independiente/4w8j57bflf98vn05yao443sb8,[],{}
Primera División,Bolivia,Wilstermann,0,Universitario,0,2023-08-23,https://www.goal.com/en/match/jorge-wilstermann-vs-universitario-de-vinto/4w52owxk3vr09vsstmvwbdxjo,"[['Wilstermann', 'Draw', 'Universitario'], ['46', '84', '42']]","{'Ball possession': ['50.5%', '49.5%'], 'Total shots': ['6', '11'], 'Corners': ['5', '3'], 'Fouls': ['24', '13']}"
Serie B,Brazil,Mirassol,0,Juventude,1,2023-08-23,https://www.goal.com/en/match/mirassol-vs-juventude/cgft7qinhtxd0pemj9oe2t7o4,"[['Mirassol', 'Draw', 'Juventude'], ['91', '172', '97']]","{'Ball possession': ['62.9%', '37.1%'], 'Total shots': ['9', '5'], 'Corners': ['5', '5'], 'Fouls': ['20', '15']}"
Serie B,Brazil,Criciúma,1,Vila Nova,0,2023-08-23,https://www.goal.com/en/match/criciuma-vs-vila-nova/cfxsnhh3c3bv5gavxwcysnd3o,"[['Criciúma', 'Draw', 'Vila Nova'], ['94', '159', '88']]","{'Ball possession': ['39.4%', '60.6%'], 'Total shots': ['8', '13'], 'Corners': ['5', '2'], 'Fouls': ['27', '17']}"
Copa Paulista,Brazil,XV Piracicaba,0,Oeste,0,2023-08-23,https://www.goal.com/en/match/xv-de-piracicaba-vs-oeste/o0pw1tgqmwu2jn8l9ae1a978,"[['XV Piracicaba', 'Draw', 'Oeste'], ['14', '40', '10']]","{'Corners': ['8', '5'], 'Fouls': ['7', '18']}"
China U21 League,China PR,Shenzhen,0,Tianjin JMT,0,2023-08-23,https://www.goal.com/en/match/shenzhen-u21-vs-tianjin-jinmen-tiger-u21/d7y0sqzf2ualg4hhl6c23hct0,[],{}
China U21 League,China PR,Cangzhou,2,Guoan,1,2023-08-23,https://www.goal.com/en/match/cangzhou-mightylions-u21-vs-beijing-guoan-u21/d86l1xhom3k0vjmituqwh21p0,[],{}
China U21 League,China PR,Changchun,1,Henan,0,2023-08-23,https://www.goal.com/en/match/changchun-yatai-u21-vs-henan-u21/d8f80a6te5dhy651hnbxv807o,[],{}
Primera B,Colombia,Cortuluá,1,Barranquilla,1,2023-08-23,https://www.goal.com/en/match/cortulua-vs-barranquilla/254vp2puwha1at7hvj0x1a6tw,[],{}
Primera B,Colombia,Quindío,1,Real Santander,1,2023-08-23,https://www.goal.com/en/match/deportes-quindio-vs-real-santander/24mtnffhpc1t8v071dulljndg,[],{}
1. Division,Denmark,Helsingør,1,Hillerød,6,2023-08-23,https://www.goal.com/en/match/helsingor-vs-hillerod/9j8k5y15jcd27sh74oyinkkyc,[],{}
1. Division,Denmark,SønderjyskE,4,HB Køge,0,2023-08-23,https://www.goal.com/en/match/sonderjyske-vs-hb-koge/9jhbj9q1gkges5jdalsb99xck,"[['SønderjyskE', 'Draw', 'HB Køge'], ['155', '180', '57']]","{'Ball possession': ['61.5%', '38.5%'], 'Total shots': ['19', '10'], 'Corners': ['5', '2'], 'Fouls': ['14', '12']}"
