Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Primera A,Colombia,Millonarios,1,Envigado,1,2023-05-05,https://www.goal.com/en/match/millonarios-vs-envigado/aleg6gk8mtuq5orvptjv0ai38,"[['Millonarios', 'Draw', 'Envigado'], ['147', '91', '51']]","{'Ball possession': ['68.3%', '31.7%'], 'Total shots': ['17', '13'], 'Corners': ['7', '4'], 'Fouls': ['9', '14']}"
Primera A,Colombia,Atl. Nacional,2,América,1,2023-05-05,https://www.goal.com/en/match/atletico-nacional-vs-america-de-cali/al70tagy9zay8xragg2hyfz84,"[['Atl. Nacional', 'Draw', 'América'], ['200', '181', '121']]","{'Ball possession': ['46%', '54%'], 'Total shots': ['11', '12'], 'Corners': ['7', '9'], 'Fouls': ['9', '7']}"
Bundesliga,Austria,WAC,0,Altach,0,2023-05-05,https://www.goal.com/en/match/wolfsberger-ac-vs-rheindorf-altach/exqwh5m7b2sy4okkztoay8r9w,"[['WAC', 'Draw', 'Altach'], ['227', '217', '83']]","{'Ball possession': ['60.1%', '39.9%'], 'Total shots': ['10', '8'], 'Corners': ['7', '3'], 'Fouls': ['18', '16']}"
2. Bundesliga,Germany,Bielefeld,1,Greuther Fürth,1,2023-05-05,https://www.goal.com/en/match/arminia-bielefeld-vs-greuther-fuerth/4lfakaaf73hwnyjo3z884xjpw,"[['Bielefeld', 'Draw', 'Greuther Fürth'], ['256', '323', '162']]","{'Ball possession': ['48.1%', '51.9%'], 'Total shots': ['16', '10'], 'Corners': ['8', '5'], 'Fouls': ['14', '17']}"
2. Bundesliga,Germany,Hamburg,2,Paderborn,2,2023-05-05,https://www.goal.com/en/match/hamburger-sv-vs-paderborn/4liqeop9ky1hjgm2ngusi5444,"[['Hamburg', 'Draw', 'Paderborn'], ['466', '368', '148']]","{'Ball possession': ['45.8%', '54.2%'], 'Total shots': ['11', '11'], 'Corners': ['3', '4'], 'Fouls': ['18', '8']}"
Ekstraklasa,Poland,Jagiellonia,1,Śląsk,1,2023-05-05,https://www.goal.com/en/match/jagiellonia-bialystok-vs-slask-wroclaw/dypn7tk46ph1r8740o5te74t0,"[['Jagiellonia', 'Draw', 'Śląsk'], ['128', '120', '43']]","{'Corners': ['2', '9'], 'Fouls': ['12', '13']}"
Ekstraklasa,Poland,Górnik,2,Warta Poznań,0,2023-05-05,https://www.goal.com/en/match/gornik-zabrze-vs-warta-poznan/dzbav3i7axbws9psm4omey8lw,"[['Górnik', 'Draw', 'Warta Poznań'], ['115', '141', '56']]","{'Corners': ['4', '2'], 'Fouls': ['12', '18']}"
Serie B,Italy,Perugia,0,Cagliari,5,2023-05-05,https://www.goal.com/en/match/perugia-vs-cagliari/djth9wfnp9otah7l026f3bx0,"[['Perugia', 'Draw', 'Cagliari'], ['143', '269', '266']]","{'Corners': ['8', '3'], 'Fouls': ['16', '13']}"
Championship,Scotland,Arbroath,0,Hamilton,0,2023-05-05,https://www.goal.com/en/match/arbroath-vs-hamilton-academical/b95du9v1qaad1v30vqvvcmdjo,"[['Arbroath', 'Draw', 'Hamilton'], ['80', '113', '50']]","{'Ball possession': ['54%', '46%'], 'Total shots': ['17', '8'], 'Corners': ['8', '4'], 'Fouls': ['7', '15']}"
Championship,Scotland,Cove Rangers,1,Morton,2,2023-05-05,https://www.goal.com/en/match/cove-rangers-vs-greenock-morton/b997kuavsfb94u6lsuct0i6ms,"[['Cove Rangers', 'Draw', 'Morton'], ['56', '102', '104']]","{'Ball possession': ['46%', '54%'], 'Total shots': ['9', '6'], 'Corners': ['5', '3'], 'Fouls': ['7', '11']}"
