Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
UEFA Champions League,Europe,AEK,2,Dinamo Zagreb,2,2023-08-19,https://www.goal.com/en/match/aek-athens-vs-dinamo-zagreb/58pk185bsywbhqw6xscjue0wk,"[['AEK', 'Draw', 'Dinamo Zagreb'], ['584', '549', '370']]","{'Ball possession': ['0%', '100%'], 'Total shots': ['3', '2'], 'Corners': ['4', '0'], 'Fouls': ['14', '16']}"
FIFA Women's World Cup,World,Sweden,2,Australia,0,2023-08-19,https://www.goal.com/en/match/sweden-vs-australia/4hrnupwu9dtvzq5rnl862b4lw,"[['Sweden', 'Draw', 'Australia'], ['380', '367', '344']]","{'Ball possession': ['54%', '46%'], 'Total shots': ['11', '11'], 'Corners': ['0', '3'], 'Fouls': ['18', '8']}"
Premier League,England,Luton,N/A,Burnley,N/A,2023-08-19,https://www.goal.com/en/match/luton-town-vs-burnley/c7pc94sj6wpc5r9b0o0d9kro4,[],{}
Premier League,England,Fulham,0,Brentford,3,2023-08-19,https://www.goal.com/en/match/fulham-vs-brentford/c75puzetwtr9lnx1ia2t2wqvo,"[['Fulham', 'Draw', 'Brentford'], ['1087', '1232', '789']]","{'Ball possession': ['54.6%', '45.4%'], 'Total shots': ['10', '17'], 'Corners': ['5', '5'], 'Fouls': ['13', '12']}"
Premier League,England,Liverpool,3,Bournemouth,1,2023-08-19,https://www.goal.com/en/match/liverpool-vs-afc-bournemouth/c7eds1ln1mvkiu4lcnha0lul0,"[['Liverpool', 'Draw', 'Bournemouth'], ['4264', '1082', '468']]","{'Ball possession': ['64.7%', '35.3%'], 'Total shots': ['26', '13'], 'Corners': ['10', '2'], 'Fouls': ['11', '13']}"
Premier League,England,Wolves,1,Brighton,4,2023-08-19,https://www.goal.com/en/match/wolverhampton-wanderers-vs-brighton-and-hove-albion/c8xopw2pttah39rowruzaybro,"[['Wolves', 'Draw', 'Brighton'], ['522', '840', '1461']]","{'Ball possession': ['46.4%', '53.6%'], 'Total shots': ['16', '16'], 'Corners': ['5', '3'], 'Fouls': ['14', '11']}"
Premier League,England,Tottenham,2,Man Utd,0,2023-08-19,https://www.goal.com/en/match/tottenham-hotspur-vs-manchester-united/c8g2bpt9zhfficzrpd48ap34k,"[['Tottenham', 'Draw', 'Man Utd'], ['1619', '2083', '5846']]","{'Ball possession': ['55.7%', '44.3%'], 'Total shots': ['17', '22'], 'Corners': ['5', '6'], 'Fouls': ['9', '8']}"
Premier League,England,Man City,1,Newcastle,0,2023-08-19,https://www.goal.com/en/match/manchester-city-vs-newcastle-united/c7y6yrge2gy8r2a788tmyu6fo,"[['Man City', 'Draw', 'Newcastle'], ['2978', '1407', '1166']]","{'Ball possession': ['58.7%', '41.3%'], 'Total shots': ['14', '7'], 'Corners': ['3', '0'], 'Fouls': ['13', '11']}"
La Liga,Spain,Real Sociedad,1,Celta Vigo,1,2023-08-19,https://www.goal.com/en/match/real-sociedad-vs-celta-de-vigo/er9f09rqrf7jdiu1xg5xajpjo,"[['Real Sociedad', 'Draw', 'Celta Vigo'], ['686', '552', '214']]","{'Ball possession': ['52.3%', '47.7%'], 'Total shots': ['11', '17'], 'Corners': ['9', '7'], 'Fouls': ['12', '12']}"
La Liga,Spain,Almería,1,Real Madrid,3,2023-08-19,https://www.goal.com/en/match/almeria-vs-real-madrid/epgo1bnb9hqsmdxdnc9cve32s,"[['Almería', 'Draw', 'Real Madrid'], ['225', '691', '2298']]","{'Ball possession': ['43.4%', '56.6%'], 'Total shots': ['20', '25'], 'Corners': ['4', '5'], 'Fouls': ['10', '13']}"
