Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
UEFA Champions League,Europe,Milan,1,Napoli,0,2023-04-12,https://www.goal.com/en/match/milan-vs-napoli/3od3obegcxnny3ajmgp1r6g44,"[['Milan', 'Draw', 'Napoli'], ['2906', '2277', '4235']]","{'Ball possession': ['46.8%', '53.2%'], 'Total shots': ['12', '16'], 'Corners': ['3', '10'], 'Fouls': ['16', '13']}"
UEFA Champions League,Europe,Real Madrid,2,Chelsea,0,2023-04-12,https://www.goal.com/en/match/real-madrid-vs-chelsea/e9sidneaezw2liumzvk8yr28k,"[['Real Madrid', 'Draw', 'Chelsea'], ['8174', '2167', '4143']]","{'Ball possession': ['56.9%', '43.1%'], 'Total shots': ['18', '7'], 'Corners': ['3', '3'], 'Fouls': ['10', '10']}"
Copa do Brasil,Brazil,Botafogo SP,0,Santos,2,2023-04-12,https://www.goal.com/en/match/botafogo-sp-vs-santos/22qgqubv0eehuicp0z9elshsk,"[['Botafogo SP', 'Draw', 'Santos'], ['102', '221', '254']]","{'Ball possession': ['65.7%', '34.3%'], 'Total shots': ['15', '7'], 'Corners': ['6', '2'], 'Fouls': ['14', '20']}"
Copa do Brasil,Brazil,Internacional,2,CSA,1,2023-04-12,https://www.goal.com/en/match/internacional-vs-csa/261cmc6h4ewvhvensbm5fgvf8,"[['Internacional', 'Draw', 'CSA'], ['177', '153', '49']]","{'Ball possession': ['57.8%', '42.2%'], 'Total shots': ['25', '11'], 'Corners': ['3', '7'], 'Fouls': ['18', '18']}"
Copa do Brasil,Brazil,Fortaleza,6,Águia Marabá,1,2023-04-12,https://www.goal.com/en/match/fortaleza-vs-aguia-de-maraba/26ba9m4y72sd4kq3ofbgonv9w,"[['Fortaleza', 'Draw', 'Águia Marabá'], ['152', '130', '47']]","{'Corners': ['4', '3'], 'Fouls': ['19', '4']}"
Copa do Brasil,Brazil,São Paulo,0,Ituano,0,2023-04-12,https://www.goal.com/en/match/sao-paulo-vs-ituano/257uehk66bxnqg23pth43b95g,"[['São Paulo', 'Draw', 'Ituano'], ['238', '139', '50']]","{'Ball possession': ['70.6%', '29.4%'], 'Total shots': ['20', '12'], 'Corners': ['11', '7'], 'Fouls': ['8', '13']}"
Copa do Brasil,Brazil,Nova Iguaçu,1,América MG,2,2023-04-12,https://www.goal.com/en/match/nova-iguacu-vs-america-mineiro/230ihp6mwtjijjuww27w9nf9w,"[['Nova Iguaçu', 'Draw', 'América MG'], ['73', '189', '214']]","{'Corners': ['0', '10'], 'Fouls': ['13', '19']}"
Liga Profesional Argentina,Argentina,Argentinos,5,Unión,1,2023-04-12,https://www.goal.com/en/match/argentinos-juniors-vs-union/1zlq0qx3vmouoh03bszwmsg0k,"[['Argentinos', 'Draw', 'Unión'], ['343', '210', '73']]","{'Ball possession': ['65.5%', '34.5%'], 'Total shots': ['17', '15'], 'Corners': ['5', '6'], 'Fouls': ['11', '11']}"
Liga Profesional Argentina,Argentina,Banfield,0,Def y Justicia,3,2023-04-12,https://www.goal.com/en/match/banfield-vs-defensa-y-justicia/20le73i7945fisnwcszwrl7v8,"[['Banfield', 'Draw', 'Def y Justicia'], ['210', '229', '166']]","{'Ball possession': ['47.6%', '52.4%'], 'Total shots': ['14', '10'], 'Corners': ['6', '2'], 'Fouls': ['9', '16']}"
Liga Profesional Argentina,Argentina,Córdoba SdE,1,Lanús,1,2023-04-12,https://www.goal.com/en/match/central-cordoba-sde-vs-lanus/1zbvtyzyntwre0588nbk7s9hw,"[['Córdoba SdE', 'Draw', 'Lanús'], ['155', '180', '175']]","{'Ball possession': ['46.8%', '53.2%'], 'Total shots': ['9', '21'], 'Corners': ['7', '5'], 'Fouls': ['16', '11']}"
Liga Profesional Argentina,Argentina,Instituto,1,Vélez,0,2023-04-12,https://www.goal.com/en/match/instituto-vs-velez-sarsfield/20i87mi5rh0m5qu88tn9lxvdg,"[['Instituto', 'Draw', 'Vélez'], ['103', '173', '216']]","{'Ball possession': ['45.2%', '54.8%'], 'Total shots': ['10', '5'], 'Corners': ['4', '2'], 'Fouls': ['14', '12']}"
Liga Profesional Argentina,Argentina,San Lorenzo,1,Boca Juniors,0,2023-04-12,https://www.goal.com/en/match/san-lorenzo-vs-boca-juniors/206h912tdf6vqr7hfr8tlvxuc,"[['San Lorenzo', 'Draw', 'Boca Juniors'], ['489', '479', '595']]","{'Ball possession': ['42.8%', '57.2%'], 'Total shots': ['9', '12'], 'Corners': ['1', '3'], 'Fouls': ['20', '16']}"
Concacaf Champions Cup,N/C America,Violette,2,León,1,2023-04-12,https://www.goal.com/en/match/violette-ac-vs-leon/a4120b7y7jjm1esb3umpdt34k,"[['Violette', 'Draw', 'León'], ['36', '70', '94']]","{'Ball possession': ['33.1%', '66.9%'], 'Total shots': ['13', '15'], 'Corners': ['7', '2'], 'Fouls': ['15', '17']}"
Concacaf Champions Cup,N/C America,Los Angeles,3,Whitecaps,0,2023-04-12,https://www.goal.com/en/match/los-angeles-vs-vancouver-whitecaps/a4m6enauqllwohotfs7535yqc,"[['Los Angeles', 'Draw', 'Whitecaps'], ['116', '89', '41']]","{'Ball possession': ['54.7%', '45.3%'], 'Total shots': ['11', '14'], 'Corners': ['2', '3'], 'Fouls': ['11', '11']}"
Primera A,Colombia,Equidad,4,Once Caldas,1,2023-04-12,https://www.goal.com/en/match/la-equidad-vs-once-caldas/ajpuqs2oefltqn0ivkxhax1xw,"[['Equidad', 'Draw', 'Once Caldas'], ['70', '124', '38']]","{'Ball possession': ['46.2%', '53.8%'], 'Total shots': ['15', '14'], 'Corners': ['5', '5'], 'Fouls': ['17', '9']}"
