Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Premier League,England,Nottm Forest,1,Leeds,0,2023-02-05,https://www.goal.com/en/match/nottingham-forest-vs-leeds-united/7vuziaiqxnymp0q83ytrz78k4,"[['Nottm Forest', 'Draw', 'Leeds'], ['1213', '1411', '1197']]","{'Ball possession': ['30.1%', '69.9%'], 'Total shots': ['6', '10'], 'Corners': ['0', '2'], 'Fouls': ['15', '14']}"
Premier League,England,Tottenham,1,Man City,0,2023-02-05,https://www.goal.com/en/match/tottenham-hotspur-vs-manchester-city/7vywu4rcufiim96sbao9b75ec,"[['Tottenham', 'Draw', 'Man City'], ['2029', '1934', '4771']]","{'Ball possession': ['35.2%', '64.8%'], 'Total shots': ['12', '15'], 'Corners': ['4', '6'], 'Fouls': ['19', '14']}"
La Liga,Spain,Mallorca,1,Real Madrid,0,2023-02-05,https://www.goal.com/en/match/mallorca-vs-real-madrid/9prf2ngftef4w4av0c82j8hlg,"[['Mallorca', 'Draw', 'Real Madrid'], ['473', '1167', '2992']]","{'Ball possession': ['26.3%', '73.7%'], 'Total shots': ['4', '20'], 'Corners': ['1', '12'], 'Fouls': ['29', '14']}"
La Liga,Spain,Girona,1,Valencia,0,2023-02-05,https://www.goal.com/en/match/girona-vs-valencia/9q3d9sdxemiqcmpv0bajzwlxw,"[['Girona', 'Draw', 'Valencia'], ['482', '896', '781']]","{'Ball possession': ['51.7%', '48.3%'], 'Total shots': ['20', '8'], 'Corners': ['8', '4'], 'Fouls': ['11', '10']}"
La Liga,Spain,Real Sociedad,0,Valladolid,1,2023-02-05,https://www.goal.com/en/match/real-sociedad-vs-real-valladolid/9pziyxdbxcquptt33p5q16x3o,"[['Real Sociedad', 'Draw', 'Valladolid'], ['1406', '883', '277']]","{'Ball possession': ['54.8%', '45.2%'], 'Total shots': ['15', '7'], 'Corners': ['0', '4'], 'Fouls': ['17', '14']}"
La Liga,Spain,Barcelona,3,Sevilla,0,2023-02-05,https://www.goal.com/en/match/barcelona-vs-sevilla/9pgbhjcy5zcbquzsp2kfi2xw4,"[['Barcelona', 'Draw', 'Sevilla'], ['3866', '1107', '695']]","{'Ball possession': ['65.2%', '34.8%'], 'Total shots': ['16', '3'], 'Corners': ['8', '3'], 'Fouls': ['8', '10']}"
Serie A,Italy,Spezia,0,Napoli,3,2023-02-05,https://www.goal.com/en/match/spezia-vs-napoli/558zinr80kqnle145v8207d3o,"[['Spezia', 'Draw', 'Napoli'], ['265', '874', '1786']]","{'Ball possession': ['30.9%', '69.1%'], 'Total shots': ['9', '12'], 'Corners': ['3', '6'], 'Fouls': ['19', '18']}"
Serie A,Italy,Torino,1,Udinese,0,2023-02-05,https://www.goal.com/en/match/torino-vs-udinese/55coiuw635vm8lopvvebdmdck,"[['Torino', 'Draw', 'Udinese'], ['744', '1032', '475']]","{'Ball possession': ['56%', '44%'], 'Total shots': ['11', '11'], 'Corners': ['6', '5'], 'Fouls': ['13', '8']}"
Serie A,Italy,Fiorentina,1,Bologna,2,2023-02-05,https://www.goal.com/en/match/fiorentina-vs-bologna/54iuw6sfgszhyfjuwhqv3cutw,"[['Fiorentina', 'Draw', 'Bologna'], ['933', '855', '336']]","{'Ball possession': ['61.6%', '38.4%'], 'Total shots': ['17', '11'], 'Corners': ['5', '3'], 'Fouls': ['10', '25']}"
Serie A,Italy,Inter,1,Milan,0,2023-02-05,https://www.goal.com/en/match/internazionale-vs-milan/54rdx9ehaujwya5tw27ayuyvo,"[['Inter', 'Draw', 'Milan'], ['2488', '1357', '1099']]","{'Ball possession': ['64.3%', '35.7%'], 'Total shots': ['15', '4'], 'Corners': ['8', '0'], 'Fouls': ['13', '14']}"
Bundesliga,Germany,Stuttgart,0,Bremen,2,2023-02-05,https://www.goal.com/en/match/stuttgart-vs-werder-bremen/dqpu956nattgkjguexnlosums,"[['Stuttgart', 'Draw', 'Bremen'], ['784', '915', '535']]","{'Ball possession': ['57.8%', '42.2%'], 'Total shots': ['17', '9'], 'Corners': ['8', '4'], 'Fouls': ['8', '18']}"
Bundesliga,Germany,Wolfsburg,2,Bayern München,4,2023-02-05,https://www.goal.com/en/match/wolfsburg-vs-bayern-muenchen/dqce5sxsejtypsjaimnge3wno,"[['Wolfsburg', 'Draw', 'Bayern München'], ['434', '1073', '2171']]","{'Ball possession': ['52.3%', '47.7%'], 'Total shots': ['22', '9'], 'Corners': ['7', '4'], 'Fouls': ['10', '9']}"
Ligue 1,France,Clermont,0,Monaco,2,2023-02-05,https://www.goal.com/en/match/clermont-vs-monaco/139pmeezmu4o44q4tuqmm582c,"[['Clermont', 'Draw', 'Monaco'], ['182', '742', '1106']]","{'Ball possession': ['54.1%', '45.9%'], 'Total shots': ['8', '14'], 'Corners': ['2', '4'], 'Fouls': ['9', '21']}"
Ligue 1,France,Ajaccio,0,Nantes,2,2023-02-05,https://www.goal.com/en/match/ajaccio-vs-nantes/131zwhix4fhfeth9wji0spous,"[['Ajaccio', 'Draw', 'Nantes'], ['337', '731', '509']]","{'Ball possession': ['43%', '57%'], 'Total shots': ['8', '7'], 'Corners': ['2', '2'], 'Fouls': ['16', '16']}"
Ligue 1,France,Auxerre,0,Reims,0,2023-02-05,https://www.goal.com/en/match/auxerre-vs-reims/135y4rj9ntdo0spx7l9apcems,"[['Auxerre', 'Draw', 'Reims'], ['210', '565', '689']]","{'Ball possession': ['39.1%', '60.9%'], 'Total shots': ['13', '8'], 'Corners': ['4', '5'], 'Fouls': ['13', '10']}"
