Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,Everton,1,Tottenham,1,2023-04-03
La Liga,Spain,Valencia,1,Vallecano,1,2023-04-03
Serie A,Italy,Empoli,1,Lecce,0,2023-04-03
Serie A,Italy,Sassuolo,1,Torino,1,2023-04-03
Süper Lig,Turkey,İstanbulspor,0,Fatih,1,2023-04-03
Liga MX,Mexico,San Luis,2,Mazatlán,1,2023-04-03
Liga MX,Mexico,Querétaro,1,Pumas,0,2023-04-03
Liga Profesional Argentina,Argentina,Colón,0,Atl. Tucumán,0,2023-04-03
Liga Profesional Argentina,Argentina,Banfield,0,Platense,2,2023-04-03
Primeira Liga,Portugal,Famalicão,0,Arouca,1,2023-04-03
Superliga,Denmark,AGF,1,Randers,1,2023-04-03
Primera A,Colombia,América,0,Jaguares,0,2023-04-03
Primera A,Colombia,Magdalena,3,Águilas D,1,2023-04-03
Primera A,Colombia,Huila,1,Cali,0,2023-04-03
Primera División,Uruguay,Racing,0,Def. Sporting,1,2023-04-03
Ekstraklasa,Poland,Stal Mielec,1,Jagiellonia,1,2023-04-03
Allsvenskan,Sweden,Mjällby,2,Varberg,2,2023-04-03
Allsvenskan,Sweden,Elfsborg,0,Häcken,2,2023-04-03
National League,England,York,1,Barnet,0,2023-04-03
Ligue 2,France,Guingamp,0,Bordeaux,1,2023-04-03
Primera Nacional,Argentina,Racing Córdoba,2,Chaco,0,2023-04-03
Primera Nacional,Argentina,Ferro,0,Maipú,1,2023-04-03
Primera Nacional,Argentina,Brown Adrogué,1,Rafaela,1,2023-04-03
Primera Nacional,Argentina,Atlanta,0,Mitre SdE,1,2023-04-03
Prim B Metro,Argentina,Fénix,1,Dock Sud,0,2023-04-03
Prim B Metro,Argentina,Sacachispas,1,Urquiza,0,2023-04-03
Carioca Série A,Brazil,Audax Angra,1,Botafogo,2,2023-04-03
Cup,Bulgaria,Lokomotiv Sf,2,Slavia Sofia,1,2023-04-03
Primera B,Chile,Cobreloa,1,Antofagasta,4,2023-04-03
Primera B,Colombia,Llaneros,2,Boca,1,2023-04-03
Liga Femenina,Colombia,Llaneros,2,Millonarios,1,2023-04-03
Liga Femenina,Colombia,Atlético Huila,1,Boyacá Chicó,1,2023-04-03
Primera División,Costa Rica,Alajuelense,0,Saprissa,2,2023-04-03
Primera División,Costa Rica,San Carlos,2,Cartaginés,4,2023-04-03
Primera División,Costa Rica,Grecia,2,Guápiles,1,2023-04-03
1. Division,Cyprus,AEK,2,APOEL,2,2023-04-03
1. Division,Cyprus,Enosis,1,Doxa,2,2023-04-03
Liga Pro,Ecuador,Cumbayá,2,El Nacional,0,2023-04-03
Liga Pro,Ecuador,Orense,3,Guayaquil City,2,2023-04-03
Premier League,Egypt,Haras,0,ENPPI,1,2023-04-03
Premier League,Egypt,Ismaily,1,Ceramica Cleo,1,2023-04-03
Primera Division,El Salvador,Marte,1,Alianza,0,2023-04-03
Primera Division,El Salvador,Dragón,0,Águila,2,2023-04-03
Primera Division,El Salvador,Firpo,0,Chalatenango,1,2023-04-03
Premier League 2,England,Liverpool,2,Brighton,2,2023-04-03
Premier League 2,England,Chelsea,1,Crystal Palace,2,2023-04-03
Premier League 2,England,Spurs,1,Man City,2,2023-04-03
Premier League 2 Division Two,England,Derby,1,WBA,5,2023-04-03
Premier League 2 Division Two,England,Newcastle,0,Middlesbrough,0,2023-04-03
Premier League 2 Division Two,England,Sunderland,3,Nottingham,1,2023-04-03
National 1,France,Versailles,0,Châteauroux,1,2023-04-03
National 1,France,Concarneau,0,Sedan,1,2023-04-03
3. Liga,Germany,Ingolstadt,1,1860 München,3,2023-04-03
Super League 2,Greece,Anagennisi K,4,Diagoras,1,2023-04-03
Super League 2,Greece,Egaleo,0,Kifisia,3,2023-04-03
Liga Nacional,Honduras,Real Sociedad,1,Vida,0,2023-04-03
Liga Nacional,Honduras,Real España,3,Honduras,0,2023-04-03
