Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,Chelsea,0,Man City,1,2023-01-05
Süper Lig,Turkey,Gaziantep,1,Başakşehir,1,2023-01-05
Süper Lig,Turkey,Demirspor,6,İstanbulspor,0,2023-01-05
Süper Lig,Turkey,Trabzonspor,3,Giresun,0,2023-01-05
Primeira Liga,Portugal,Santa Clara,0,Braga,4,2023-01-05
Copa del Rey,Spain,Ibiza Pitiusas,1,Betis,4,2023-01-05
Copa del Rey,Spain,Tarragona,1,Osasuna,2,2023-01-05
Copa del Rey,Spain,Eldense,1,Athletic Club,6,2023-01-05
FA Cup,China PR,Port,4,Rongcheng,0,2023-01-05
FA Cup,China PR,Zhejiang,3,Xingzhou,0,2023-01-05
1. Division,Cyprus,Karmiotissa,0,Aris Limassol,0,2023-01-05
Premier League,Egypt,ENPPI,0,Ahly,2,2023-01-05
Premier League,Egypt,Zamalek,1,El Dakhleya,1,2023-01-05
Premier League Cup,England,Charlton,3,Hull,2,2023-01-05
Premier League Cup,England,Sunderland,1,Wolves,4,2023-01-05
Premier League Cup,England,WBA,0,Middlesbrough,1,2023-01-05
Super League 2,Greece,Veria,1,Makedonikos N.,2,2023-01-05
Indian Super League,India,Goa,1,Hyderabad,3,2023-01-05
I-League,India,TRAU,2,Sudeva,0,2023-01-05
Persian Gulf Pro League,Iran,Rafsanjan,2,Paykan,0,2023-01-05
Persian Gulf Pro League,Iran,Sepahan,2,Mes Kerman,0,2023-01-05
Persian Gulf Pro League,Iran,Persepolis,5,Nassaji,1,2023-01-05
Persian Gulf Pro League,Iran,Malavan,1,Naft MIS,0,2023-01-05
Persian Gulf Pro League,Iran,Sanat Naft,0,Gol Gohar,1,2023-01-05
State Cup,Israel,Hapoel Afula,3,H Kfar Saba,0,2023-01-05
Liga de Expansión MX,Mexico,Celaya,2,Cancún,0,2023-01-05
Liga de Expansión MX,Mexico,La Paz,2,Mineros,0,2023-01-05
Liga de Expansión MX,Mexico,Venados FC,1,Tepa,0,2023-01-05
Segunda Liga,Portugal,Leixões,0,Moreirense,1,2023-01-05
Stars League,Qatar,Rayyan,2,Sailiya,0,2023-01-05
Stars League,Qatar,Ahli,1,Arabi,2,2023-01-05
Saudi League,Saudi Arabia,Damak,1,Raed,2,2023-01-05
Saudi League,Saudi Arabia,Ittihad,0,Hilal,1,2023-01-05
Saudi League,Saudi Arabia,Wehda,2,Shabab,1,2023-01-05
