Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
FA Cup,England,Gillingham,3,Dag & Red,2,2022-12-08
Primera A,Colombia,Pereira,0,Medellín,0,2022-12-08
Serie B,Italy,Parma,0,Benevento,1,2022-12-08
Serie B,Italy,Cittadella,0,Bari,3,2022-12-08
Serie B,Italy,Cosenza,1,Brescia,1,2022-12-08
Serie B,Italy,Genoa,2,Südtirol,0,2022-12-08
Serie B,Italy,Modena,2,Venezia,2,2022-12-08
Serie B,Italy,Perugia,0,SPAL,0,2022-12-08
Serie B,Italy,Reggina,0,Frosinone,3,2022-12-08
Serie B,Italy,Pisa,2,Ascoli,0,2022-12-08
Serie B,Italy,Palermo,0,Como,0,2022-12-08
Club Friendlies,World,Demirspor,N/A,Livingston,N/A,2022-12-08
Club Friendlies,World,Demirspor,5,Liepāja,0,2022-12-08
Club Friendlies,World,Sivasspor,2,Saarbrücken,1,2022-12-08
Club Friendlies,World,Fatih,2,Hatay,0,2022-12-08
Club Friendlies,World,Arsenal,3,Lyon,0,2022-12-08
Club Friendlies,World,Beşiktaş,2,Charleroi,1,2022-12-08
Premier League,Armenia,Shirak,2,Noah,0,2022-12-08
Premier League,Armenia,Ararat,0,BKMA,0,2022-12-08
China League One,China PR,Jiading,2,Nantong,1,2022-12-08
China League One,China PR,Jiuniu,0,Dongwu,1,2022-12-08
China League One,China PR,Liaoning,1,West Coast,2,2022-12-08
China League One,China PR,Zibo Cuju,0,Kunshan,1,2022-12-08
Premier League,Egypt,ENPPI,0,Haras,0,2022-12-08
Premier League,Egypt,Smouha,1,Aswan,2,2022-12-08
Premier League,Egypt,Future,1,Ittihad,0,2022-12-08
Premier League,Egypt,Ceramica Cleo,1,Ismaily,1,2022-12-08
UEFA Women's Champions League,Europe,Vllaznia,0,PSG,4,2022-12-08
UEFA Women's Champions League,Europe,Wolfsburg,4,Roma,2,2022-12-08
UEFA Women's Champions League,Europe,Real Madrid,1,Chelsea,1,2022-12-08
UEFA Women's Champions League,Europe,St. Pölten,1,Slavia,1,2022-12-08
Liga Nacional,Guatemala,Comunicaciones,0,Cobán,1,2022-12-08
Indian Super League,India,Mohun Bagan,1,Jamshedpur,0,2022-12-08
I-League,India,Aizawl,1,NEROCA,0,2022-12-08
I-League,India,TRAU,2,Punjab FC,0,2022-12-08
Liga 1,Indonesia,PSM,3,Persita,1,2022-12-08
Liga 1,Indonesia,PSS,0,Madura Utd,1,2022-12-08
Liga 1,Indonesia,Bali United,3,Bhayangkara,0,2022-12-08
Toto Cup Ligat Al,Israel,Ashdod,0,Bnei Raina,1,2022-12-08
Toto Cup Ligat Al,Israel,H Be'er Sheva,3,Hapoel TA,3,2022-12-08
Toto Cup Ligat Al,Israel,M Haifa,4,Sakhnin,1,2022-12-08
Super Cup,Malta,Hibernians,0,Floriana,0,2022-12-08
Eredivisie Women,Netherlands,ADO,0,Feyenoord,2,2022-12-08
Taça da Liga,Portugal,Feirense,4,Santa Clara,3,2022-12-08
Taça da Liga,Portugal,Chaves,0,Porto,2,2022-12-08
Cupa României,Romania,Botoșani,0,FCSB,2,2022-12-08
Cupa României,Romania,Mioveni,0,Arad,3,2022-12-08
Cupa României,Romania,Oţelul,0,Buzău,2,2022-12-08
Challenge Cup,Scotland,Falkirk,0,Dundee,3,2022-12-08
1. SNL,Slovenia,Olimpija,0,Mura,0,2022-12-08
Segunda División,Spain,Burgos,1,Eibar,2,2022-12-08
Segunda División,Spain,Lugo,0,Gijón,1,2022-12-08
Segunda División,Spain,Ibiza,1,Santander,0,2022-12-08
Segunda División,Spain,Levante,0,Ponferradina,0,2022-12-08
Segunda División,Spain,Málaga,1,Granada,1,2022-12-08
