Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
FIFA World Cup,World,Argentina,3,Croatia,0,2022-12-13
National League,England,Dorking W,3,Maidstone Utd,2,2022-12-13
National League,England,Notts,2,Gateshead,0,2022-12-13
Club Friendlies,World,Kayseri,2,Liepāja,1,2022-12-13
Club Friendlies,World,Ankaragücü,0,Konyaspor,1,2022-12-13
Club Friendlies,World,Başakşehir,2,Toulouse,2,2022-12-13
Club Friendlies,World,Arsenal,2,Milan,1,2022-12-13
Club Friendlies,World,Galatasaray,1,Lazio,2,2022-12-13
Club Friendlies,World,Strasbourg,0,Feyenoord,1,2022-12-13
EFL Trophy,England,Burton Albion,2,Accrington,4,2022-12-13
EFL Trophy,England,Cheltenham,4,Chelsea,0,2022-12-13
EFL Trophy,England,Lincoln,4,Everton,2,2022-12-13
EFL Trophy,England,Portsmouth,3,Stevenage,0,2022-12-13
EFL Trophy,England,Bristol Rovers,4,MK Dons,1,2022-12-13
EFL Trophy,England,Bolton,4,Man Utd,0,2022-12-13
I-League,India,Mohammedan,2,Kenkre,2,2022-12-13
Liga 1,Indonesia,Persebaya,1,Persik,1,2022-12-13
Liga 1,Indonesia,Persita,4,RANS,1,2022-12-13
Liga 1,Indonesia,PSIS,2,Persija,0,2022-12-13
Eredivisie Women,Netherlands,Ajax,2,Zwolle,0,2022-12-13
Taça da Liga,Portugal,Rio Ave,2,Farense,1,2022-12-13
Taça da Liga,Portugal,Sporting,5,Marítimo,0,2022-12-13
