Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
FIFA World Cup,World,Croatia,1,Brazil,1,2022-12-09
FIFA World Cup,World,Netherlands,2,Argentina,2,2022-12-09
A-League Men,Australia,Brisbane,1,Adelaide Utd,1,2022-12-09
League Two,England,Crawley,0,Hartlepool,2,2022-12-09
Club Friendlies,World,Kayseri,5,Giresun,3,2022-12-09
Club Friendlies,World,Tottenham,4,Motherwell,0,2022-12-09
Premier League,Armenia,Ararat-Armenia,1,L. Artsakh,0,2022-12-09
Premier League,Armenia,Pyunik,0,Urartu,3,2022-12-09
Premier League,Bangladesh,Abahani Dhaka,1,Fortis,1,2022-12-09
Premier League,Bangladesh,Kings,3,Uttara,0,2022-12-09
Premier League,Bangladesh,Jamal,2,Rahmatgonj,2,2022-12-09
Challenger Pro League,Belgium,Genk II,1,Club Brugge II,2,2022-12-09
Challenger Pro League,Belgium,SK Beveren,4,Anderlecht II,1,2022-12-09
CSL,China PR,Cangzhou,1,Wuhan Yangtze,0,2022-12-09
CSL,China PR,Shenhua,1,Dalian,2,2022-12-09
CSL,China PR,Three Towns,1,Shandong,1,2022-12-09
1. Division,Cyprus,Doxa,0,AEK,1,2022-12-09
1. Division,Cyprus,Pafos,1,APOEL,2,2022-12-09
Premier League Cup,England,Brighton,0,QPR,0,2022-12-09
Premier League Cup,England,Fulham,3,Nottingham,0,2022-12-09
Premier League Cup,England,Huddersfield,2,Watford,2,2022-12-09
Premier League Cup,England,Stoke,2,Swansea,0,2022-12-09
FA Youth Cup,England,Aston Villa,5,Brentford,0,2022-12-09
National 1,France,Avranches,1,Nancy,0,2022-12-09
National 1,France,Bourg,1,Orléans,1,2022-12-09
National 1,France,Le Puy F. 43,0,Dunkerque,1,2022-12-09
National 1,France,Red Star,0,Versailles,0,2022-12-09
National 1,France,Sedan,2,Cholet,1,2022-12-09
National 1,France,Stade Briochin,1,Le Mans,1,2022-12-09
National 1,France,Villefranche,1,Châteauroux,1,2022-12-09
National 1,France,Paris 13,4,Bastia-Borgo,0,2022-12-09
Feminine Division 1,France,Fleury 91,2,Bordeaux,0,2022-12-09
Regionalliga,Germany,Chemnitz,1,Hertha II,1,2022-12-09
Regionalliga,Germany,Astoria,0,Hoffenheim II,1,2022-12-09
Frauen Bundesliga,Germany,Eintracht,3,Turbine,0,2022-12-09
Super League 2,Greece,Iraklis 1908,1,Veria,1,2022-12-09
Liga Nacional,Guatemala,Municipal,0,Antigua,1,2022-12-09
Indian Super League,India,Hyderabad,2,East Bengal,0,2022-12-09
Liga 1,Indonesia,RANS,1,Persikabo 1973,1,2022-12-09
Liga 1,Indonesia,PSIS,2,Borneo,4,2022-12-09
Eredivisie Women,Netherlands,Telstar,2,PSV,0,2022-12-09
Eredivisie Women,Netherlands,Zwolle,0,Alkmaar,1,2022-12-09
Premiership,Northern Ireland,Coleraine,2,Crusaders,0,2022-12-09
Taça da Liga,Portugal,Famalicão,0,Tondela,0,2022-12-09
Liga I,Romania,Sepsi,1,Voluntari,1,2022-12-09
Challenge Cup,Scotland,Alloa Athletic,2,Queen South,4,2022-12-09
Challenge Cup,Scotland,Arbroath,1,Dunfermline,5,2022-12-09
Thai League 2,Thailand,Kasetsart,0,Suphanburi,1,2022-12-09
1. Lig,Turkey,Samsunspor,1,Yeni Malatya,1,2022-12-09
