Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Friendlies,World,Qatar,N/A,Bolivia,N/A,2022-09-20
Serie A,Brazil,Atlético GO,1,Internacional,2,2022-09-20
Liga Profesional Argentina,Argentina,Boca Juniors,0,Huracán,0,2022-09-20
Liga Profesional Argentina,Argentina,Unión,0,Independiente,1,2022-09-20
Liga Profesional Argentina,Argentina,Argentinos,1,Atl. Tucumán,2,2022-09-20
Liga Profesional Argentina,Argentina,Estudiantes,1,Def y Justicia,2,2022-09-20
Primera A,Colombia,Pereira,2,Águilas D,2,2022-09-20
Primera División,Uruguay,City Torque,0,Liverpool,2,2022-09-20
Primera División,Uruguay,Fénix,0,Def. Sporting,0,2022-09-20
League Two,Scotland,East Fife,1,Stenhousemuir,2,2022-09-20
League Two,Scotland,Stranraer,3,Dumbarton,2,2022-09-20
Primera Nacional,Argentina,Belgrano,3,Defensores Bel,0,2022-09-20
Torneo Federal A,Argentina,S Resistencia,2,Douglas Haig,1,2022-09-20
Serie C,Brazil,Botafogo SP,1,Mirassol,1,2022-09-20
CSL,China PR,Changchun,1,Three Towns,2,2022-09-20
CSL,China PR,Shenhua,1,Meizhou,0,2022-09-20
CSL,China PR,Dalian,2,Hebei FC,1,2022-09-20
CSL,China PR,Henan,1,Port,2,2022-09-20
CSL,China PR,Wuhan Yangtze,0,Shenzhen,3,2022-09-20
China League One,China PR,Kunshan,5,Pingguo Haliao,1,2022-09-20
China League One,China PR,Nanjing City,1,Dongwu,2,2022-09-20
China League One,China PR,Nantong,1,BIT,0,2022-09-20
China League One,China PR,Heilongjiang,0,West Coast,0,2022-09-20
Primera B,Colombia,Cartagena,3,Quindío,1,2022-09-20
Primera B,Colombia,Atlético,3,Barranquilla,2,2022-09-20
Liga Pro,Ecuador,Guayaquil City,4,Mushuc Runa,1,2022-09-20
EFL Trophy,England,Barnsley,2,Newcastle,0,2022-09-20
EFL Trophy,England,Carlisle,1,Fleetwood,1,2022-09-20
EFL Trophy,England,Cheltenham,2,Walsall,1,2022-09-20
EFL Trophy,England,L Orient,3,Sutton Utd,1,2022-09-20
EFL Trophy,England,Lincoln,1,Doncaster,2,2022-09-20
EFL Trophy,England,Morecambe,0,Hartlepool,0,2022-09-20
EFL Trophy,England,Northampton,0,Cambridge Utd,2,2022-09-20
EFL Trophy,England,Rochdale,1,Liverpool,0,2022-09-20
EFL Trophy,England,Sheff Wed,2,Burton Albion,3,2022-09-20
EFL Trophy,England,Shrewsbury,0,Port Vale,4,2022-09-20
EFL Trophy,England,Stevenage,3,Wycombe,0,2022-09-20
EFL Trophy,England,Swindon,1,Plymouth,3,2022-09-20
EFL Trophy,England,Tranmere,2,Bolton,2,2022-09-20
EFL Trophy,England,Grimsby,2,Mansfield Town,0,2022-09-20
EFL Trophy,England,Peterborough,3,Spurs,0,2022-09-20
EFL Trophy,England,Salford,0,Accrington,0,2022-09-20
EFL Trophy,England,Stockport,1,Wolves,2,2022-09-20
EFL Trophy,England,Ipswich,2,Arsenal,0,2022-09-20
EFL Trophy,England,Newport,1,Forest Green,2,2022-09-20
EFL Trophy,England,Wimbledon,3,Crawley,2,2022-09-20
UEFA Women's Champions League,Europe,Køge,1,Juventus,1,2022-09-20
UEFA Women's Champions League,Europe,Sociedad,0,Bayern,1,2022-09-20
UEFA Women's Champions League,Europe,Arsenal,2,Ajax,2,2022-09-20
UEFA Women's Champions League,Europe,Rangers,2,SL Benfica,3,2022-09-20
Regionalliga,Germany,Rain / Lech,1,Augsburg II,0,2022-09-20
Regionalliga,Germany,Türkgücü,0,Fürth II,1,2022-09-20
J2 League,Japan,Kumamoto,1,Grulla Morioka,0,2022-09-20
Division Profesional,Paraguay,Guaraní,2,Olimpia,1,2022-09-20
Division Profesional,Paraguay,Sol de América,0,Resistencia,1,2022-09-20
Hybrid Friendlies,World,Qatar,0,Croatia,3,2022-09-20
