Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,West Ham,3,Leeds,1,2023-05-21
Premier League,England,Brighton,3,Southampton,1,2023-05-21
Premier League,England,Man City,1,Chelsea,0,2023-05-21
La Liga,Spain,Vallecano,1,Espanyol,2,2023-05-21
La Liga,Spain,Atlético,3,Osasuna,0,2023-05-21
La Liga,Spain,Valencia,1,Real Madrid,0,2023-05-21
La Liga,Spain,Sevilla,0,Betis,0,2023-05-21
Serie A,Italy,Lecce,0,Spezia,0,2023-05-21
Serie A,Italy,Torino,1,Fiorentina,1,2023-05-21
Serie A,Italy,Napoli,3,Inter,1,2023-05-21
Serie A,Italy,Udinese,0,Lazio,1,2023-05-21
Bundesliga,Germany,Mainz 05,1,Stuttgart,4,2023-05-21
Bundesliga,Germany,Augsburg,0,Dortmund,3,2023-05-21
Bundesliga,Germany,Leverkusen,2,M'gladbach,2,2023-05-21
Ligue 1,France,Ajaccio,0,Rennes,5,2023-05-21
Ligue 1,France,Brest,2,Clermont,1,2023-05-21
Ligue 1,France,Nice,0,Toulouse,0,2023-05-21
Ligue 1,France,Reims,2,Angers,2,2023-05-21
Ligue 1,France,Troyes,1,Strasbourg,1,2023-05-21
Ligue 1,France,Lorient,1,Lens,3,2023-05-21
Ligue 1,France,Auxerre,1,PSG,2,2023-05-21
MLS,USA,Charlotte,1,Nashville,2,2023-05-21
MLS,USA,Cincinnati,3,Columbus,2,2023-05-21
MLS,USA,DC United,3,Galaxy,0,2023-05-21
MLS,USA,Inter Miami,1,Orlando,3,2023-05-21
MLS,USA,New York,2,Montréal,1,2023-05-21
MLS,USA,Philadelphia,3,New England,0,2023-05-21
MLS,USA,Austin,1,Toronto,0,2023-05-21
MLS,USA,Chicago,3,Atlanta United,3,2023-05-21
MLS,USA,Dallas,1,Houston,1,2023-05-21
MLS,USA,Colorado,2,Salt Lake,3,2023-05-21
MLS,USA,St. Louis,4,Sporting KC,0,2023-05-21
MLS,USA,Los Angeles,2,Earthquakes,1,2023-05-21
MLS,USA,Portland,0,Minnesota,1,2023-05-21
MLS,USA,Whitecaps,2,Sounders,0,2023-05-21
Eredivisie,Netherlands,Ajax,3,Utrecht,1,2023-05-21
Eredivisie,Netherlands,Emmen,1,Feyenoord,3,2023-05-21
Eredivisie,Netherlands,Excelsior,3,Fortuna,0,2023-05-21
Eredivisie,Netherlands,Go Ahead,3,Volendam,0,2023-05-21
Eredivisie,Netherlands,NEC,0,AZ,3,2023-05-21
Eredivisie,Netherlands,PSV,3,Heerenveen,3,2023-05-21
Eredivisie,Netherlands,Sparta,4,Cambuur,1,2023-05-21
Eredivisie,Netherlands,Vitesse,6,Groningen,0,2023-05-21
Eredivisie,Netherlands,Waalwijk,0,Twente,5,2023-05-21
Süper Lig,Turkey,Ümraniye,1,Ankaragücü,2,2023-05-21
Süper Lig,Turkey,Antalyaspor,0,Başakşehir,0,2023-05-21
Süper Lig,Turkey,Demirspor,1,Beşiktaş,4,2023-05-21
Süper Lig,Turkey,Gaziantep,0,Giresun,3,2023-05-21
Süper Lig,Turkey,Hatay,0,Fenerbahçe,3,2023-05-21
Premiership,Scotland,Hibernian,1,Rangers,3,2023-05-21
Liga MX,Mexico,Monterrey,0,Tigres,1,2023-05-21
First Division A,Belgium,Club Brugge,2,Antwerp,0,2023-05-21
First Division A,Belgium,Genk,1,R. Union SG,1,2023-05-21
Serie A,Brazil,América MG,2,Fortaleza,1,2023-05-21
Serie A,Brazil,Botafogo,1,Fluminense,0,2023-05-21
Serie A,Brazil,Coritiba,1,Atl. Mineiro,2,2023-05-21
Serie A,Brazil,RB Bragantino,2,Paranaense,0,2023-05-21
Serie A,Brazil,São Paulo,4,Vasco,2,2023-05-21
Serie A,Brazil,Santos,0,Palmeiras,0,2023-05-21
Serie A,Brazil,Flamengo,1,Corinthians,0,2023-05-21
Liga Profesional Argentina,Argentina,Lanús,1,NOB,0,2023-05-21
Liga Profesional Argentina,Argentina,Tigre,0,Atl. Tucumán,0,2023-05-21
Liga Profesional Argentina,Argentina,Belgrano,1,Talleres,1,2023-05-21
Primeira Liga,Portugal,Guimarães,1,Gil Vicente,0,2023-05-21
Primeira Liga,Portugal,Casa Pia,2,Estoril,2,2023-05-21
Primeira Liga,Portugal,Paços Ferreira,3,Rio Ave,1,2023-05-21
Primeira Liga,Portugal,Sporting,2,Benfica,2,2023-05-21
Superliga,Denmark,AaB,0,Midtjylland,2,2023-05-21
Superliga,Denmark,Lyngby,0,OB,4,2023-05-21
Superliga,Denmark,Viborg,1,Brøndby,1,2023-05-21
Superliga,Denmark,København,4,AGF,3,2023-05-21
Primera A,Colombia,Pasto,1,Atl. Nacional,1,2023-05-21
Primera A,Colombia,Medellín,2,Millonarios,2,2023-05-21
Primera División,Chile,Everton,2,Copiapó,1,2023-05-21
Primera División,Chile,Univ Católica,1,U. La Calera,1,2023-05-21
Bundesliga,Austria,Aus Klagenfurt,1,Austria,1,2023-05-21
Bundesliga,Austria,Rapid,1,LASK,1,2023-05-21
Bundesliga,Austria,Salzburg,2,Sturm,1,2023-05-21
Premier League,Ukraine,Metalist 1925,2,FK Metalist,0,2023-05-21
Premier League,Ukraine,Rukh Vynnyky,2,Lviv,0,2023-05-21
2. Bundesliga,Germany,Düsseldorf,3,Hannover,3,2023-05-21
2. Bundesliga,Germany,Karlsruhe,2,Kaiserslautern,0,2023-05-21
2. Bundesliga,Germany,Nürnberg,0,Rostock,0,2023-05-21
Ekstraklasa,Poland,Śląsk,4,Miedź,2,2023-05-21
Ekstraklasa,Poland,Radomiak,3,Widzew,1,2023-05-21
Ekstraklasa,Poland,Wisła Płock,1,Raków,2,2023-05-21
Allsvenskan,Sweden,Brommapojkarna,2,Varberg,1,2023-05-21
Allsvenskan,Sweden,Djurgården,2,Mjällby,0,2023-05-21
Allsvenskan,Sweden,Malmö,2,Häcken,2,2023-05-21
Allsvenskan,Sweden,IFK Göteborg,1,Hammarby,1,2023-05-21
Allsvenskan,Sweden,Sirius,1,Halmstad,2,2023-05-21
Super League,Switzerland,Sion,0,Young Boys,2,2023-05-21
Super League,Switzerland,Basel,1,Lugano,1,2023-05-21
Super League,Switzerland,Zürich,2,GC Zürich,1,2023-05-21
Superliga,Albania,Bylis,1,Kukësi,1,2023-05-21
Superliga,Albania,Egnatia,3,Erzeni,2,2023-05-21
Superliga,Albania,Laçi,1,Tirana,3,2023-05-21
Superliga,Albania,Partizani,2,Vllaznia,1,2023-05-21
Superliga,Albania,Teuta,1,Kastrioti,0,2023-05-21
Ligue 1,Algeria,Paradou,2,USM Alger,1,2023-05-21
Coupe Nationale,Algeria,Belouizdad,3,AS Khroub,0,2023-05-21
Primera Nacional,Argentina,Chaco,0,Rafaela,1,2023-05-21
Primera Nacional,Argentina,Independiente,1,Dep Madryn,0,2023-05-21
Primera Nacional,Argentina,Tristán Suárez,0,Quilmes,0,2023-05-21
Primera Nacional,Argentina,Chacarita,0,Brown Adrogué,0,2023-05-21
Primera Nacional,Argentina,Guillermo Br,3,Flandria,1,2023-05-21
Primera Nacional,Argentina,Maipú,2,Villa Dálmine,1,2023-05-21
Primera Nacional,Argentina,Mitre SdE,3,Est Caseros,0,2023-05-21
Primera Nacional,Argentina,SM Tucumán,2,Morón,0,2023-05-21
Torneo Federal A,Argentina,Circulo Dep.,1,Sol de Mayo,0,2023-05-21
Torneo Federal A,Argentina,Sansinena,3,Ger Rawson,0,2023-05-21
Torneo Federal A,Argentina,Villa Mitre,2,Santamarina,0,2023-05-21
Torneo Federal A,Argentina,Gim Concepción,0,Douglas Haig,0,2023-05-21
Torneo Federal A,Argentina,Ind Chivilcoy,2,Unión Sun,0,2023-05-21
Torneo Federal A,Argentina,Linqueño,0,Def Belgrano,1,2023-05-21
Torneo Federal A,Argentina,Juventud UU,0,Estudiantes SL,0,2023-05-21
Torneo Federal A,Argentina,Liniers BB,1,Cipolletti,2,2023-05-21
Torneo Federal A,Argentina,Las Heras,3,Atenas,2,2023-05-21
Torneo Federal A,Argentina,Peñarol,1,Argentino MM,3,2023-05-21
Torneo Federal A,Argentina,Crucero,2,Juv Antoniana,0,2023-05-21
Torneo Federal A,Argentina,Gimnasia Tiro,1,Boca Unidos,0,2023-05-21
Torneo Federal A,Argentina,Las Parejas,0,Belgrano,2,2023-05-21
Torneo Federal A,Argentina,SM Formosa,2,Sol de América,0,2023-05-21
Prim B Metro,Argentina,Los Andes,1,Fénix,1,2023-05-21
Prim B Metro,Argentina,Cañuelas,2,Urquiza,0,2023-05-21
