Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
La Liga,Spain,Mallorca,0,Osasuna,0,2023-03-31
Bundesliga,Germany,Frankfurt,1,Bochum,1,2023-03-31
Ligue 1,France,Marseille,1,Montpellier,1,2023-03-31
Championship,England,Burnley,0,Sunderland,0,2023-03-31
A-League Men,Australia,Wanderers,2,Adelaide Utd,3,2023-03-31
First Division A,Belgium,ZW,0,Antwerp,2,2023-03-31
Liga Profesional Argentina,Argentina,Def y Justicia,0,Vélez,0,2023-03-31
Liga Profesional Argentina,Argentina,Argentinos,3,Godoy Cruz,0,2023-03-31
Primeira Liga,Portugal,Estoril,1,Gil Vicente,0,2023-03-31
J1 League,Japan,Kashiwa,0,Urawa,3,2023-03-31
Superliga,Denmark,OB,1,Midtjylland,3,2023-03-31
Primera División,Uruguay,River Plate,2,Danubio,1,2023-03-31
Bundesliga,Austria,Hartberg,0,A Lustenau,1,2023-03-31
2. Bundesliga,Germany,Düsseldorf,2,Hamburg,2,2023-03-31
2. Bundesliga,Germany,Nürnberg,0,Darmstadt 98,1,2023-03-31
Ekstraklasa,Poland,Zagłębie,0,Warta Poznań,0,2023-03-31
Ekstraklasa,Poland,Piast,1,Górnik,0,2023-03-31
League Two,England,Stockport,1,Salford,1,2023-03-31
League Two,England,Tranmere,1,Harrogate,1,2023-03-31
Serie B,Italy,Genoa,1,Reggina,0,2023-03-31
Super League,Malaysia,Darul Ta'zim,4,Sabah,0,2023-03-31
Super League,Malaysia,Kuala Lumpur,1,Selangor,3,2023-03-31
Super League,Malaysia,Pulau Pinang,3,Perak,1,2023-03-31
Super League,Malaysia,Terengganu,2,Kelantan Utd,1,2023-03-31
Championship,Scotland,Arbroath,2,Ayr Utd,0,2023-03-31
CAF Champions League,Africa,Horoya,2,Vipers,0,2023-03-31
CAF Champions League,Africa,Zamalek,4,Merreikh,3,2023-03-31
Ligue 1,Algeria,ASO Chlef,0,MC Alger,0,2023-03-31
Ligue 1,Algeria,Bayadh,3,RC Arbaâ,1,2023-03-31
Ligue 1,Algeria,CS Constantine,2,ES Sétif,0,2023-03-31
Ligue 1,Algeria,NC Magra,2,US Biskra,1,2023-03-31
Primera Nacional,Argentina,All Boys,1,San Martín SJ,1,2023-03-31
Premier League,Armenia,Ararat,2,L. Artsakh,0,2023-03-31
Queensland NPL Women,Australia,Souths Utd NPL,0,Olympic,3,2023-03-31
Victoria NPL,Australia,Bentleigh,4,St. Albans,1,2023-03-31
Victoria NPL,Australia,Heidelberg,2,Port Melbourne,2,2023-03-31
Victoria NPL Women,Australia,Preston Lions,1,Calder Utd,0,2023-03-31
2. Liga,Austria,Amstetten,0,Rapid II,0,2023-03-31
2. Liga,Austria,Austria II,2,BW Linz,1,2023-03-31
2. Liga,Austria,Sturm II,2,GAK,3,2023-03-31
2. Liga,Austria,Vorwärts,1,FAC,0,2023-03-31
2. Liga,Austria,Lafnitz,2,St. Pölten,2,2023-03-31
Challenger Pro League,Belgium,Anderlecht II,0,SK Beveren,4,2023-03-31
Challenger Pro League,Belgium,Dender,1,Genk II,0,2023-03-31
Primera División,Bolivia,Blooming,2,Real Tomayapo,2,2023-03-31
Potiguar 1,Brazil,América RN,1,Potiguar M,1,2023-03-31
Copa do Nordeste,Brazil,Sport,1,ABC,0,2023-03-31
Copa Colombia,Colombia,Jaguares,1,Llaneros,0,2023-03-31
Copa Colombia,Colombia,Magdalena,4,Fortaleza,2,2023-03-31
Liga Femenina,Colombia,La Equidad,2,Junior,3,2023-03-31
Primera División,Costa Rica,Cartaginés,3,Guadalupe,2,2023-03-31
Primera División,Costa Rica,San Carlos,3,Grecia,0,2023-03-31
HNL,Croatia,Slaven,2,Istra,0,2023-03-31
1. Division,Cyprus,Anorthosis,4,Nea Salamis,4,2023-03-31
FNL,Czech Republic,Příbram,1,Varnsdorf,2,2023-03-31
FNL,Czech Republic,Vysočina,2,Sparta II,1,2023-03-31
1. Division,Denmark,Fredericia,2,Nykøbing,0,2023-03-31
1. Division,Denmark,Helsingør,0,Vendsyssel,0,2023-03-31
Premier League,Egypt,Ghazl,2,Ittihad,0,2023-03-31
Premier League,Egypt,Pharco,0,Aswan,0,2023-03-31
Premier League 2,England,Everton,3,Wolves,0,2023-03-31
Premier League 2,England,Fulham,2,Leicester,2,2023-03-31
Premier League 2,England,Man Utd,1,Arsenal,1,2023-03-31
Premier League 2 Division Two,England,Derby,1,Southampton,3,2023-03-31
Premier League 2 Division Two,England,Norwich,1,Aston Villa,3,2023-03-31
Premier League International Cup,Europe,Liverpool,0,Crystal Palace,1,2023-03-31
National 1,France,Bastia-Borgo,2,Stade Briochin,3,2023-03-31
National 1,France,Bourg,2,Avranches,1,2023-03-31
National 1,France,Le Mans,2,Cholet,0,2023-03-31
National 1,France,Le Puy F. 43,2,Martigues,2,2023-03-31
Feminine Division 1,France,Rodez,1,Stade Reims,2,2023-03-31
