Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
FIFA World Cup,World,Japan,1,Croatia,1,2022-12-05
FIFA World Cup,World,Brazil,4,Korea Rep,1,2022-12-05
Primera A,Colombia,Medellín,1,Pereira,1,2022-12-05
Club Friendlies,World,Demirspor,1,Fortuna,2,2022-12-05
Club Friendlies,World,Kayseri,2,Saarbrücken,1,2022-12-05
Club Friendlies,World,Gaziantep,3,Al Batin,1,2022-12-05
Club Friendlies,World,Gzira Utd,1,Inter,6,2022-12-05
Premier League,Armenia,Ararat-Armenia,1,Pyunik,1,2022-12-05
CSL,China PR,Guoan,1,Dalian,3,2022-12-05
CSL,China PR,Hebei FC,0,Meizhou,4,2022-12-05
CSL,China PR,Tianjin JMT,0,Guangzhou,0,2022-12-05
CSL,China PR,Henan,0,Rongcheng,1,2022-12-05
CSL,China PR,Shenhua,0,Zhejiang,2,2022-12-05
1. Division,Cyprus,Omonia,4,Karmiotissa,0,2022-12-05
Premier League Cup,England,Crystal Palace,2,Bristol,5,2022-12-05
Premier League Cup,England,Hull,1,Charlton,2,2022-12-05
Premier League Cup,England,Newcastle,0,Sheffield Utd,1,2022-12-05
Premier League International Cup,Europe,Brighton,2,PSV,2,2022-12-05
National 1,France,Versailles,2,Sedan,0,2022-12-05
Super League 2,Greece,Apollon Pontou,0,Apollon,1,2022-12-05
Super League 2,Greece,Kallithea,3,AEK II,0,2022-12-05
Liga Nacional,Guatemala,Antigua,2,Achuapa,0,2022-12-05
Liga Nacional,Honduras,Olimpia,1,Marathón,3,2022-12-05
Liga 1,Indonesia,Bhayangkara,3,PSS,1,2022-12-05
Liga 1,Indonesia,Madura Utd,0,PSIS,3,2022-12-05
Liga 1,Indonesia,PSM,2,Persikabo 1973,0,2022-12-05
Liga 1,Indonesia,Persita,2,Bali United,3,2022-12-05
Serie C,Italy,Pescara,0,Taranto,2,2022-12-05
Taça da Liga,Portugal,Mafra,1,Vizela,1,2022-12-05
Liga I,Romania,FCSB,5,Mioveni,1,2022-12-05
Segunda División,Spain,Ponferradina,1,Burgos,2,2022-12-05
1. Lig,Turkey,Rize,1,Pendik,1,2022-12-05
