Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,Leicester,0,Man City,1,2022-10-29
Premier League,England,Bournemouth,2,Tottenham,3,2022-10-29
Premier League,England,Brentford,1,Wolves,1,2022-10-29
Premier League,England,Brighton,4,Chelsea,1,2022-10-29
Premier League,England,Crystal Palace,1,Southampton,0,2022-10-29
Premier League,England,Newcastle,4,Aston Villa,0,2022-10-29
Premier League,England,Fulham,0,Everton,0,2022-10-29
Premier League,England,Liverpool,1,Leeds,2,2022-10-29
La Liga,Spain,Almería,3,Celta Vigo,1,2022-10-29
La Liga,Spain,Cádiz,3,Atlético,2,2022-10-29
La Liga,Spain,Sevilla,0,Vallecano,1,2022-10-29
La Liga,Spain,Valencia,0,Barcelona,1,2022-10-29
Serie A,Italy,Napoli,4,Sassuolo,0,2022-10-29
Serie A,Italy,Lecce,0,Juventus,1,2022-10-29
Serie A,Italy,Inter,3,Sampdoria,0,2022-10-29
Bundesliga,Germany,Bayern München,6,Mainz 05,2,2022-10-29
Bundesliga,Germany,Leipzig,2,Leverkusen,0,2022-10-29
Bundesliga,Germany,Stuttgart,2,Augsburg,1,2022-10-29
Bundesliga,Germany,Wolfsburg,4,Bochum,0,2022-10-29
Bundesliga,Germany,Frankfurt,1,Dortmund,2,2022-10-29
Ligue 1,France,PSG,4,Troyes,3,2022-10-29
Ligue 1,France,Strasbourg,2,Marseille,2,2022-10-29
Championship,England,Bristol City,1,Swansea,1,2022-10-29
Championship,England,West Bromwich,0,Sheff Utd,2,2022-10-29
Championship,England,Burnley,2,Reading,1,2022-10-29
Championship,England,Cardiff,1,Rotherham,0,2022-10-29
Championship,England,Coventry,1,Blackpool,2,2022-10-29
Championship,England,Huddersfield,1,Millwall,0,2022-10-29
Championship,England,Hull,0,Blackburn,1,2022-10-29
Championship,England,Luton,1,Sunderland,1,2022-10-29
Championship,England,Norwich,3,Stoke,1,2022-10-29
Championship,England,Preston,2,Middlesbrough,1,2022-10-29
Championship,England,Wigan,0,Watford,1,2022-10-29
CONMEBOL Libertadores,South America,Flamengo,1,Paranaense,0,2022-10-29
Eredivisie,Netherlands,Heerenveen,1,Utrecht,2,2022-10-29
Eredivisie,Netherlands,Sparta,3,Fortuna,1,2022-10-29
Eredivisie,Netherlands,Go Ahead,3,Excelsior,1,2022-10-29
A-League Men,Australia,Brisbane,0,Mel Victory,0,2022-10-29
A-League Men,Australia,Central Coast,4,Western United,2,2022-10-29
A-League Men,Australia,Macarthur,2,Sydney,3,2022-10-29
Süper Lig,Turkey,Konyaspor,1,Kasımpaşa,1,2022-10-29
Süper Lig,Turkey,Alanyaspor,2,Gaziantep,0,2022-10-29
Premiership,Scotland,Dundee Utd,0,Motherwell,1,2022-10-29
Premiership,Scotland,Hibernian,3,St. Mirren,0,2022-10-29
Premiership,Scotland,Rangers,4,Aberdeen,1,2022-10-29
Premiership,Scotland,St. Johnstone,1,Kilmarnock,0,2022-10-29
First Division A,Belgium,ZW,0,Standard,3,2022-10-29
First Division A,Belgium,Kortrijk,1,Cercle Brugge,1,2022-10-29
First Division A,Belgium,Westerlo,2,Sint-Truiden,3,2022-10-29
First Division A,Belgium,Club Brugge,4,Oostende,2,2022-10-29
Primeira Liga,Portugal,Santa Clara,1,Porto,1,2022-10-29
Primeira Liga,Portugal,Benfica,5,Chaves,0,2022-10-29
Primeira Liga,Portugal,Arouca,1,Sporting,0,2022-10-29
Coupe de France,France,Saint-Étienne,0,Rodez,0,2022-10-29
J1 League,Japan,Avispa,2,Kashiwa,1,2022-10-29
J1 League,Japan,F Marinos,4,Urawa,1,2022-10-29
J1 League,Japan,Gamba,2,Júbilo,0,2022-10-29
J1 League,Japan,Kawasaki,2,Vissel Kobe,1,2022-10-29
J1 League,Japan,Kyoto,0,Cerezo,0,2022-10-29
J1 League,Japan,Nagoya,2,Tokyo,1,2022-10-29
J1 League,Japan,Sanfrecce,1,Consadole,2,2022-10-29
J1 League,Japan,Shimizu,0,Kashima,1,2022-10-29
J1 League,Japan,Shonan,3,Sagan,0,2022-10-29
Superliga,Denmark,Randers,0,København,2,2022-10-29
Bundesliga,Austria,A Lustenau,3,Rapid,3,2022-10-29
Bundesliga,Austria,Aus Klagenfurt,2,WSG Tirol,3,2022-10-29
Bundesliga,Austria,Salzburg,1,Hartberg,0,2022-10-29
Premier League,Ukraine,Vorskla,2,Minai,0,2022-10-29
Premier League,Ukraine,Shakhtar D,2,Oleksandria,2,2022-10-29
2. Bundesliga,Germany,Holstein,1,Düsseldorf,2,2022-10-29
2. Bundesliga,Germany,Kaiserslautern,0,Nürnberg,0,2022-10-29
2. Bundesliga,Germany,Regensburg,0,Rostock,3,2022-10-29
2. Bundesliga,Germany,St. Pauli,1,Darmstadt 98,1,2022-10-29
Ekstraklasa,Poland,Kielce,1,Piast,1,2022-10-29
Ekstraklasa,Poland,Jagiellonia,2,Legia,5,2022-10-29
Ekstraklasa,Poland,Wisła Płock,1,Śląsk,2,2022-10-29
Eliteserien,Norway,Strømsgodset,1,Haugesund,2,2022-10-29
Eliteserien,Norway,Vålerenga,3,Sarpsborg,3,2022-10-29
Allsvenskan,Sweden,Degerfors,0,Värnamo,0,2022-10-29
Super League,Switzerland,GC Zürich,1,Luzern,3,2022-10-29
Super League,Switzerland,Servette,2,Lugano,2,2022-10-29
Super League 1,Greece,Ionikos,1,Panaitolikos,1,2022-10-29
Super League 1,Greece,Volos,1,Panathinaikos,5,2022-10-29
League One,England,Barnsley,2,Forest Green,0,2022-10-29
League One,England,Bolton,1,Oxford,3,2022-10-29
League One,England,Charlton,4,Ipswich,4,2022-10-29
League One,England,Cheltenham,0,MK Dons,0,2022-10-29
League One,England,Derby,4,Bristol Rovers,2,2022-10-29
League One,England,Fleetwood,3,Accrington,0,2022-10-29
League One,England,Peterborough,1,Cambridge Utd,0,2022-10-29
League One,England,Port Vale,1,Lincoln,0,2022-10-29
League One,England,Portsmouth,1,Shrewsbury,1,2022-10-29
League One,England,Sheff Wed,4,Burton Albion,2,2022-10-29
League One,England,Wycombe,1,Morecambe,1,2022-10-29
League Two,England,Northampton,1,Newport,1,2022-10-29
League Two,England,Barrow,3,Crewe,0,2022-10-29
League Two,England,Bradford,1,Crawley,1,2022-10-29
League Two,England,Colchester,1,Stevenage,1,2022-10-29
League Two,England,Doncaster,1,Gillingham,0,2022-10-29
League Two,England,Hartlepool,2,Grimsby,1,2022-10-29
League Two,England,L Orient,1,Salford,0,2022-10-29
League Two,England,Mansfield Town,2,Swindon,5,2022-10-29
League Two,England,Stockport,3,Sutton Utd,0,2022-10-29
