Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
UEFA Europa League,Europe,AEK,3,Dnipro-1,0,2022-08-25
UEFA Europa League,Europe,Žalgiris,3,Ludogorets,3,2022-08-25
UEFA Europa League,Europe,Silkeborg,1,HJK,1,2022-08-25
UEFA Europa League,Europe,Fenerbahçe,4,Austria,1,2022-08-25
UEFA Europa League,Europe,Omonia,2,Gent,0,2022-08-25
UEFA Europa League,Europe,Sheriff,0,Pyunik,0,2022-08-25
UEFA Europa League,Europe,Sivasspor,0,Malmö,2,2022-08-25
UEFA Europa League,Europe,Hearts,0,Zürich,1,2022-08-25
UEFA Europa League,Europe,Olympiakos,1,Apollon,1,2022-08-25
UEFA Europa League,Europe,Shamrock,1,Ferencváros,0,2022-08-25
UEFA Europa Conference League,Europe,AIK,0,Slovácko,1,2022-08-25
UEFA Europa Conference League,Europe,Basel,2,CSKA,0,2022-08-25
UEFA Europa Conference League,Europe,CFR,1,Maribor,0,2022-08-25
UEFA Europa Conference League,Europe,Fehérvár,0,Köln,3,2022-08-25
UEFA Europa Conference League,Europe,H Be'er Sheva,1,U Craiova,1,2022-08-25
UEFA Europa Conference League,Europe,Slavia,2,Raków,0,2022-08-25
UEFA Europa Conference League,Europe,Twente,0,Fiorentina,0,2022-08-25
UEFA Europa Conference League,Europe,Viborg,0,West Ham,3,2022-08-25
UEFA Europa Conference League,Europe,Viking,1,FCSB,3,2022-08-25
UEFA Europa Conference League,Europe,WAC,0,Molde,4,2022-08-25
UEFA Europa Conference League,Europe,Anderlecht,0,Young Boys,1,2022-08-25
UEFA Europa Conference League,Europe,Ballkani,1,Shkupi,0,2022-08-25
UEFA Europa Conference League,Europe,Hamrun,3,Partizan,3,2022-08-25
UEFA Europa Conference League,Europe,Nice,2,Maccabi TA,0,2022-08-25
UEFA Europa Conference League,Europe,Dudelange,1,Lech,1,2022-08-25
UEFA Europa Conference League,Europe,Slovan,2,Zrinjski,1,2022-08-25
UEFA Europa Conference League,Europe,Antwerp,1,Başakşehir,3,2022-08-25
UEFA Europa Conference League,Europe,Linfield,1,RFS,1,2022-08-25
UEFA Europa Conference League,Europe,Gil Vicente,1,AZ,2,2022-08-25
UEFA Europa Conference League,Europe,Hajduk,0,Villarreal,2,2022-08-25
UEFA Europa Conference League,Europe,Rapid,0,Vaduz,1,2022-08-25
Liga MX,Mexico,Pumas,1,Tigres,1,2022-08-25
Copa do Brasil,Brazil,Fluminense,2,Corinthians,2,2022-08-25
Copa do Brasil,Brazil,São Paulo,1,Flamengo,3,2022-08-25
AFC Champions League,Asia,Jeonbuk Motors,2,Urawa,2,2022-08-25
Premier League,Ukraine,Inhulets',1,Oleksandria,2,2022-08-25
Primera Nacional,Argentina,Quilmes,0,Belgrano,0,2022-08-25
Torneo Federal A,Argentina,Paraná,2,Unión Sun,1,2022-08-25
Torneo Federal A,Argentina,Peñarol,2,Circulo Dep.,1,2022-08-25
Torneo Federal A,Argentina,Villa Mitre,0,Olimpo,3,2022-08-25
Torneo Federal A,Argentina,Las Parejas,0,De. Pro.,0,2022-08-25
Torneo Federal A,Argentina,Cipolletti,0,Estudiantes SL,0,2022-08-25
Torneo Federal A,Argentina,Gim Concepción,0,S Resistencia,1,2022-08-25
Torneo Federal A,Argentina,Racing Córdoba,2,Belgrano,1,2022-08-25
Torneo Federal A,Argentina,Juv Antoniana,1,Central Norte,0,2022-08-25
New South Wales NPL Women,Australia,Sydney Olympic,3,Bankstown City,1,2022-08-25
New South Wales NPL Women,Australia,Illawarra St.,4,NSW Institute,1,2022-08-25
Primera División,Bolivia,Universitario,2,Palmaflor,1,2022-08-25
Primera División,Bolivia,The Strongest,3,Blooming,1,2022-08-25
Primera División,Bolivia,Always Ready,2,Wilstermann,1,2022-08-25
Primera B,Chile,U. Concepción,3,Santa Cruz,2,2022-08-25
Primera B,Chile,Cobreloa,1,Melipilla,0,2022-08-25
Copa Colombia,Colombia,Junior,0,Magdalena,1,2022-08-25
Copa Colombia,Colombia,Medellín,0,Millonarios,2,2022-08-25
Ykkönen,Finland,KPV,1,TPS,1,2022-08-25
Persian Gulf Pro League,Iran,Esteghlal,1,Mes Kerman,0,2022-08-25
Persian Gulf Pro League,Iran,Zob Ahan,0,Rafsanjan,0,2022-08-25
Persian Gulf Pro League,Iran,Naft MIS,1,Paykan,2,2022-08-25
Persian Gulf Pro League,Iran,Nassaji,2,Malavan,2,2022-08-25
Liga de Expansión MX,Mexico,Celaya,3,Cimarrones,1,2022-08-25
Liga de Expansión MX,Mexico,Venados FC,2,Pumas Tabasco,0,2022-08-25
Liga de Expansión MX,Mexico,Dorados,2,Durango,2,2022-08-25
Concacaf League,N/C America,Motagua,2,Cibao,0,2022-08-25
Concacaf League,N/C America,Alianza,5,Verdes,1,2022-08-25
Saudi League,Saudi Arabia,Feiha,0,Damak,1,2022-08-25
Saudi League,Saudi Arabia,Khaleej,0,Hilal,2,2022-08-25
Super Liga,Serbia,Radnik,1,Vojvodina,1,2022-08-25
Copa Andalucía Femenina,Spain,Betis,4,Málaga,0,2022-08-25
Copa Andalucía Femenina,Spain,Huelva,0,Pozoalbense,3,2022-08-25
Copa Andalucía Femenina,Spain,Granada,4,Córdoba,0,2022-08-25
USL Championship,USA,Tulsa,1,Hartford Ath,2,2022-08-25
USL Championship,USA,SD Loyal,1,Roots,3,2022-08-25
USL League One,USA,Forward,0,North Carolina,0,2022-08-25
MLS Next Pro,USA,NYCFC II,1,Union II,2,2022-08-25
NWSL,USA,Courage,3,Thorns,1,2022-08-25
