Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
UEFA Champions League,Europe,Atlético,0,Club Brugge,0,2022-10-12
UEFA Champions League,Europe,Napoli,4,Ajax,2,2022-10-12
UEFA Champions League,Europe,Barcelona,3,Inter,3,2022-10-12
UEFA Champions League,Europe,Leverkusen,0,Porto,3,2022-10-12
UEFA Champions League,Europe,Rangers,1,Liverpool,7,2022-10-12
UEFA Champions League,Europe,Sporting,0,Marseille,2,2022-10-12
UEFA Champions League,Europe,Tottenham,3,Frankfurt,2,2022-10-12
UEFA Champions League,Europe,Viktoria Plzeň,2,Bayern München,4,2022-10-12
Championship,England,Bristol City,2,Preston,1,2022-10-12
Liga Profesional Argentina,Argentina,Aldosivi,0,Banfield,1,2022-10-12
Liga Profesional Argentina,Argentina,Gimn La Plata,0,San Lorenzo,1,2022-10-12
Liga Profesional Argentina,Argentina,Sarmiento,0,Boca Juniors,1,2022-10-12
J1 League,Japan,F Marinos,0,Júbilo,1,2022-10-12
J1 League,Japan,Kawasaki,3,Kyoto,1,2022-10-12
J1 League,Japan,Tokyo,4,Cerezo,0,2022-10-12
J1 League,Japan,Vissel Kobe,1,Shonan,0,2022-10-12
J1 League,Japan,Urawa,1,Consadole,1,2022-10-12
Primera A,Colombia,Patriotas,1,Pasto,1,2022-10-12
Primera A,Colombia,Equidad,1,Cortuluá,1,2022-10-12
Primera A,Colombia,Pereira,0,Envigado,2,2022-10-12
Primera División,Uruguay,Cerro Largo,2,Rentistas,1,2022-10-12
Primera División,Uruguay,Plaza Colonia,0,City Torque,2,2022-10-12
Cup,Albania,Apolonia,1,Besëlidhja,1,2022-10-12
Cup,Albania,Egnatia,3,Shkumbini,0,2022-10-12
Cup,Albania,Erzeni,4,Turbina,0,2022-10-12
Cup,Albania,Korabi,3,Besa,0,2022-10-12
Cup,Albania,Kukësi,2,Labëria,0,2022-10-12
Cup,Albania,Oriku,0,Partizani,2,2022-10-12
Cup,Albania,Skënderbeu,3,Maliqi,0,2022-10-12
Cup,Albania,Tirana,2,Veleçiku,2,2022-10-12
Cup,Albania,Tomori,4,Burreli,0,2022-10-12
Cup,Albania,Vllaznia,3,Flamurtari,0,2022-10-12
Cup,Albania,Vora,0,Kastrioti,0,2022-10-12
Primera Nacional,Argentina,Ferro,2,Almagro,0,2022-10-12
Torneo Federal A,Argentina,Juventud UU,2,Cipolletti,2,2022-10-12
Primera División,Bolivia,Nacional,6,Palmaflor,1,2022-10-12
Primera División,Bolivia,Guabirá,1,Universitario,0,2022-10-12
Serie B,Brazil,Guarani,1,CRB,0,2022-10-12
Serie B,Brazil,Sampaio Corrêa,2,Chapecoense,1,2022-10-12
First League,Bulgaria,Slavia Sofia,2,Levski,1,2022-10-12
Cup,Croatia,Tehničar 1974,1,Hajduk,5,2022-10-12
DBU Pokalen,Denmark,BSF,0,Nordsjælland,5,2022-10-12
DBU Pokalen,Denmark,AB,0,AGF,3,2022-10-12
Cup,Estonia,Flora,6,Elva,0,2022-10-12
Premier League International Cup,Europe,Blackburn,4,Wolfsburg,3,2022-10-12
Premier League International Cup,Europe,Stoke,1,Braga,5,2022-10-12
UEFA Youth League,Europe,Viktoria,3,Bayern,3,2022-10-12
UEFA Youth League,Europe,Atl. Madrid,1,Brugge,2,2022-10-12
UEFA Youth League,Europe,Bayer,1,Porto,3,2022-10-12
UEFA Youth League,Europe,Napoli,1,Ajax,1,2022-10-12
UEFA Youth League,Europe,Spurs,2,Frankfurt,3,2022-10-12
UEFA Youth League,Europe,Barcelona,2,Inter,0,2022-10-12
UEFA Youth League,Europe,Rangers,3,Liverpool,4,2022-10-12
UEFA Youth League,Europe,Sporting CP,1,Marseille,1,2022-10-12
UEFA Youth League,Europe,Borac BB U19,0,Ashdod,3,2022-10-12
Ykkönen,Finland,Jaro,2,EIF,1,2022-10-12
National 1,France,Avranches,1,Martigues,1,2022-10-12
National 1,France,Châteauroux,3,Nancy,1,2022-10-12
National 1,France,Cholet,2,Bastia-Borgo,1,2022-10-12
National 1,France,Paris 13,1,Le Puy F. 43,1,2022-10-12
National 1,France,Red Star,0,Bourg,1,2022-10-12
National 1,France,Sedan,2,Orléans,1,2022-10-12
National 1,France,Stade Briochin,1,Concarneau,2,2022-10-12
National 1,France,Versailles,2,Le Mans,1,2022-10-12
National 1,France,Villefranche,0,Dunkerque,2,2022-10-12
Indian Super League,India,East Bengal,1,Goa,2,2022-10-12
Serie C,Italy,Vicenza,2,Juventus II,0,2022-10-12
K League 1,Korea Republic,Seoul,1,Gimcheon,1,2022-10-12
K League 1,Korea Republic,Suwon,1,Daegu,2,2022-10-12
K League 1,Korea Republic,Suwon,2,Seongnam,1,2022-10-12
Liga de Expansión MX,Mexico,Raya2,2,Pumas Tabasco,2,2022-10-12
Liga de Expansión MX,Mexico,Cancún,1,Tepa,2,2022-10-12
Liga de Expansión MX,Mexico,Dorados,2,Alebrijes,0,2022-10-12
Concacaf League,N/C America,Alajuelense,2,Real España,2,2022-10-12
Concacaf League,N/C America,Olimpia,1,Motagua,0,2022-10-12
2. Division,Norway,Odd II,0,Ullern,0,2022-10-12
NM Cupen,Norway,Viking,1,Kristiansund,0,2022-10-12
Division Profesional,Paraguay,Tacuary,0,Caballero JLM,3,2022-10-12
Cup,Poland,Lechia ZG,3,Jagiellonia,1,2022-10-12
Cup,Serbia,Inđija,0,Napredak,2,2022-10-12
Super Liga,Slovakia,Zemplín,1,Podbrezová,0,2022-10-12
Segunda División,Spain,Villarreal II,2,Ponferradina,2,2022-10-12
Segunda División,Spain,FC Andorra,0,Burgos,1,2022-10-12
Segunda División,Spain,Leganés,1,Málaga,0,2022-10-12
Segunda División,Spain,Alavés,0,Albacete,0,2022-10-12
Segunda División,Spain,Real Oviedo,0,Huesca,1,2022-10-12
Segunda División,Spain,Tenerife,0,Cartagena,0,2022-10-12
Segunda División,Spain,Lugo,0,Las Palmas,1,2022-10-12
Segunda División,Spain,Santander,1,Zaragoza,0,2022-10-12
Thai League 1,Thailand,BGPU,3,Police Tero,1,2022-10-12
League Cup,United Arab Emirates,Ajman,3,Al Dhafra,1,2022-10-12
League Cup,United Arab Emirates,Al Nasr,2,Al Bataeh,0,2022-10-12
League Cup,United Arab Emirates,Khorfakkan,2,Al Wasl,3,2022-10-12
U17 Women's World Cup,World,Canada,1,France,1,2022-10-12
U17 Women's World Cup,World,Mexico,1,China PR U17,2,2022-10-12
U17 Women's World Cup,World,Japan,4,Tanzania,0,2022-10-12
U17 Women's World Cup,World,Spain,1,Colombia,0,2022-10-12
