Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
UEFA Champions League,Europe,Benfica,0,Inter,2,2023-04-11
UEFA Champions League,Europe,Man City,3,Bayern München,0,2023-04-11
Copa do Brasil,Brazil,Volta Redonda,1,Bahia,2,2023-04-11
Liga Profesional Argentina,Argentina,Barracas C,1,Platense,0,2023-04-11
Superliga,Denmark,Silkeborg,1,Horsens,2,2023-04-11
Primera A,Colombia,Atl. Nacional,0,Junior,1,2023-04-11
Primera A,Colombia,Dep. Tolima,3,Pasto,1,2023-04-11
Primera División,Uruguay,La Luz,2,Boston River,1,2023-04-11
Championship,Scotland,Dundee,3,Raith Rovers,1,2023-04-11
Championship,Scotland,Inverness,2,Arbroath,0,2023-04-11
Championship,Scotland,Morton,2,Hamilton,0,2023-04-11
League One,Scotland,Montrose,1,Falkirk,2,2023-04-11
League One,Scotland,Peterhead,0,Dunfermline,2,2023-04-11
League Two,Scotland,Elgin,1,Stenhousemuir,1,2023-04-11
Ligue 1,Algeria,NC Magra,0,MC Alger,1,2023-04-11
Primera Nacional,Argentina,Defensores Bel,2,Patronato,0,2023-04-11
Primera Nacional,Argentina,Estudiantes RC,1,Gim Mendoza,1,2023-04-11
Primera Nacional,Argentina,Temperley,1,Def Unidos,0,2023-04-11
Premier League,Armenia,Noah,3,Shirak,3,2023-04-11
Premier League,Armenia,Urartu,1,Pyunik,3,2023-04-11
Primera División,Bolivia,Real Tomayapo,2,Aurora,1,2023-04-11
Primera B,Colombia,Patriotas,0,Valledupar,0,2023-04-11
Primera B,Colombia,Barranquilla,0,Llaneros,1,2023-04-11
Primera B,Colombia,Quindío,4,Atlético,2,2023-04-11
Primera División,Costa Rica,Guadalupe,1,Grecia,1,2023-04-11
1. Division,Cyprus,Omonia,0,Aris Limassol,3,2023-04-11
1. Division,Cyprus,Pafos,4,AEK,0,2023-04-11
Liga Pro,Ecuador,Barcelona,4,Cumbayá,1,2023-04-11
Premier League Cup,England,Blackburn,6,Nottingham,1,2023-04-11
U18 Premier League,England,Newcastle,0,Liverpool,4,2023-04-11
Cup,Estonia,Kuressaare,1,Flora,1,2023-04-11
Cup,Estonia,Phoenix,1,Tammeka,6,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Belarus,3,Slovenia,0,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Czechia,1,Switzerland,0,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Poland,3,Serbia,4,2023-04-11
UEFA U19 Championship Women Qualification,Europe,England,0,Spain,1,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Bosnia,0,Greece,4,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Iceland,2,Ukraine,2,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Italy,1,Austria,2,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Sweden,0,Denmark,2,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Portugal,1,France,2,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Romania,2,Hungary,4,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Croatia,1,Eire,4,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Germany,2,Norway,0,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Bulgaria,0,Belgium,5,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Finland,0,Netherlands,2,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Azerbaijan,0,Slovakia,4,2023-04-11
UEFA U19 Championship Women Qualification,Europe,Liechtenstein,0,Albania,2,2023-04-11
Regionalliga,Germany,TeBe,0,Lok Leipzig,2,2023-04-11
Liga 1,Indonesia,Persebaya,1,Arema,0,2023-04-11
Virsliga,Latvia,Daugavpils,1,Valmiera,1,2023-04-11
Virsliga,Latvia,Super Nova,0,Metta,3,2023-04-11
Premiership,Northern Ireland,Cliftonville,0,Larne,2,2023-04-11
Premiership,Northern Ireland,Crusaders,3,Coleraine,1,2023-04-11
Premiership,Northern Ireland,Carrick,2,Dungannon,0,2023-04-11
Premiership,Northern Ireland,Glenavon,3,Ballymena Utd,2,2023-04-11
Premiership,Northern Ireland,Portadown,0,Newry City,1,2023-04-11
2. Division,Norway,Strømmen,1,Brann II,2,2023-04-11
2. Division,Norway,Grorud,0,Aalesund II,0,2023-04-11
2. Division,Norway,Vålerenga II,1,Fløy-Flekkerøy,0,2023-04-11
2. Division,Norway,Godset II,2,Bærum,4,2023-04-11
Division Profesional,Paraguay,Sportivo Amel.,2,Libertad,5,2023-04-11
Division Profesional,Paraguay,Guaraní,3,Caballero JLM,1,2023-04-11
Primera División,Peru,César Vallejo,3,Deportivo G.,0,2023-04-11
I Liga,Poland,GKS Katowice,0,Odra,2,2023-04-11
I Liga,Poland,Górnik Łęczna,1,ŁKS Łódź,1,2023-04-11
Emir Cup,Qatar,Umm Salal,1,Sadd,3,2023-04-11
Saudi League,Saudi Arabia,Khaleej,2,Shabab,3,2023-04-11
Highland / Lowland,Scotland,Hearts,2,Broomhill,3,2023-04-11
Super Liga,Serbia,Vojvodina,2,Novi Pazar,0,2023-04-11
Super Liga,Serbia,Voždovac,1,TSC,3,2023-04-11
Premier League,Singapore,Young Lions,2,DPMM,2,2023-04-11
CONMEBOL U17,South America,Argentina,2,Chile,0,2023-04-11
1. Lig,Turkey,Keçiörengücü,2,Göztepe,3,2023-04-11
1. Lig,Turkey,Bodrumspor,2,Pendik,2,2023-04-11
1. Lig,Turkey,Samsunspor,1,Tuzla,0,2023-04-11
2. Lig,Turkey,Şanlıurfa,2,Erokspor,1,2023-04-11
V.League 1,Vietnam,HAGL,1,Sanna,1,2023-04-11
V.League 1,Vietnam,Nam Dinh,1,SLNA,0,2023-04-11
Friendlies Women,World,Korea Republic,5,Zambia,0,2023-04-11
Friendlies Women,World,New Zealand,0,Nigeria,3,2023-04-11
Friendlies Women,World,Italy,2,Colombia,1,2023-04-11
Friendlies Women,World,Denmark,1,Japan,0,2023-04-11
Friendlies Women,World,Germany,1,Brazil,2,2023-04-11
Friendlies Women,World,Spain,3,China PR,0,2023-04-11
Friendlies Women,World,Portugal,1,Wales,1,2023-04-11
Friendlies Women,World,Sweden,3,Norway,3,2023-04-11
Friendlies Women,World,Belgium,2,Slovenia,2,2023-04-11
Friendlies Women,World,Netherlands,4,Poland,1,2023-04-11
Friendlies Women,World,Scotland,4,Costa Rica,0,2023-04-11
Friendlies Women,World,England,0,Australia,2,2023-04-11
Friendlies Women,World,France,2,Canada,1,2023-04-11
