Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
La Liga,Spain,Girona,6,Almería,2,2023-02-17
Serie A,Italy,Sassuolo,0,Napoli,2,2023-02-17
Bundesliga,Germany,Augsburg,1,Hoffenheim,0,2023-02-17
Ligue 1,France,Auxerre,2,Lyon,1,2023-02-17
Championship,England,Cardiff,1,Reading,0,2023-02-17
CONMEBOL Libertadores,South America,Zamora,0,Boston River,1,2023-02-17
Eredivisie,Netherlands,Waalwijk,3,Fortuna,1,2023-02-17
A-League Men,Australia,Western United,0,Wellington,3,2023-02-17
Liga MX,Mexico,Mazatlán,2,Pachuca,3,2023-02-17
First Division A,Belgium,Mechelen,2,Genk,2,2023-02-17
Primeira Liga,Portugal,Gil Vicente,1,Vizela,1,2023-02-17
J1 League,Japan,Kawasaki,1,F Marinos,2,2023-02-17
Superliga,Denmark,AaB,0,AGF,1,2023-02-17
Primera División,Chile,Curicó Unido,1,Copiapó,2,2023-02-17
2. Bundesliga,Germany,Braunschweig,2,Holstein,3,2023-02-17
2. Bundesliga,Germany,Paderborn,1,Kaiserslautern,0,2023-02-17
Ekstraklasa,Poland,Cracovia,2,Stal Mielec,1,2023-02-17
Ekstraklasa,Poland,Widzew,1,Śląsk,0,2023-02-17
Serie B,Italy,Pisa,1,Venezia,1,2023-02-17
Championship,Scotland,Morton,1,Dundee,0,2023-02-17
Championship,Scotland,Queen's Park,1,Raith Rovers,1,2023-02-17
CAF Champions League,Africa,Merreikh,0,Zamalek,0,2023-02-17
CAF Champions League,Africa,Cotonsport,1,Mamelodi,3,2023-02-17
CAF Champions League,Africa,Kabylie,1,Wydad AC,0,2023-02-17
Ligue 1,Algeria,ASO Chlef,4,HBCL,0,2023-02-17
Queensland NPL Women,Australia,Souths Utd NPL,0,Eastern Sub,0,2023-02-17
Victoria NPL,Australia,Bentleigh,1,North Geelong,3,2023-02-17
Victoria NPL,Australia,Heidelberg,0,Dandenong,1,2023-02-17
Victoria NPL,Australia,Oakleigh,3,Green Gully,1,2023-02-17
New South Wales NPL,Australia,Wolves,0,Stallions,4,2023-02-17
Premier League,Bangladesh,Abahani Dhaka,1,Kings,2,2023-02-17
Premier League,Bangladesh,Jamal,3,Uttara,3,2023-02-17
Paulista A1,Brazil,Mirassol,1,Ituano,0,2023-02-17
Paulista A1,Brazil,Santo André,1,Santos,1,2023-02-17
Paulista A1,Brazil,Corinthians,2,Palmeiras,2,2023-02-17
Carioca Série A,Brazil,Vasco,2,Botafogo,0,2023-02-17
Gaúcho 1,Brazil,Novo Hamburgo,1,Caxias,1,2023-02-17
Gaúcho 1,Brazil,Internacional,2,São José RS,0,2023-02-17
Gaúcho 1,Brazil,Juventude,2,Aimoré,1,2023-02-17
Paranaense 1,Brazil,Cianorte,0,Maringá,3,2023-02-17
Paranaense 1,Brazil,Paranaense,1,Cascavel,0,2023-02-17
Catarinense 1,Brazil,Atlético SC,0,Avaí,2,2023-02-17
Cearense 1,Brazil,Pacajus,1,Barbalha,2,2023-02-17
Sergipano 1,Brazil,Itabaiana,1,Lagarto,0,2023-02-17
Paraibano 1,Brazil,Queimadense,1,CSP,2,2023-02-17
First League,Bulgaria,Arda,5,Loko Plovdiv,0,2023-02-17
Copa Colombia,Colombia,Boca,0,Magdalena,1,2023-02-17
Copa Colombia,Colombia,Barranquilla,3,Cali,3,2023-02-17
Superliga,Colombia,Atl. Nacional,4,Pereira,3,2023-02-17
HNL,Croatia,Slaven,0,Šibenik,1,2023-02-17
1. Division,Cyprus,Karmiotissa,1,Enosis,1,2023-02-17
1. Division,Denmark,Helsingør,1,HB Køge,4,2023-02-17
Primera Division,El Salvador,Jocoro,2,FAS,1,2023-02-17
Premier League 2,England,Arsenal,1,West Ham,1,2023-02-17
Premier League 2,England,Everton,1,Spurs,1,2023-02-17
Premier League 2,England,Fulham,2,Man City,2,2023-02-17
Premier League 2 Division Two,England,Norwich,0,Nottingham,3,2023-02-17
National 1,France,Avranches,0,Sedan,1,2023-02-17
National 1,France,Bourg,0,Châteauroux,2,2023-02-17
National 1,France,Concarneau,2,Bastia-Borgo,1,2023-02-17
National 1,France,Dunkerque,1,Versailles,2,2023-02-17
National 1,France,Le Mans,0,Nancy,1,2023-02-17
National 1,France,Le Puy F. 43,0,Stade Briochin,0,2023-02-17
National 1,France,Orléans,2,Cholet,0,2023-02-17
3. Liga,Germany,Wiesbaden,1,Aue,2,2023-02-17
Regionalliga,Germany,Holstein II,1,Lübeck,4,2023-02-17
Regionalliga,Germany,Kickers Emden,1,HSV II,2,2023-02-17
Regionalliga,Germany,BAK,0,Erfurt,2,2023-02-17
Regionalliga,Germany,Lok Leipzig,3,Greifswald,1,2023-02-17
Regionalliga,Germany,Luckenwalde,0,Altglienicke,1,2023-02-17
Regionalliga,Germany,Drochtersen,1,BW Lohne,0,2023-02-17
Regionalliga,Germany,Hannover II,6,Jeddeloh,1,2023-02-17
Regionalliga,Germany,Fortuna Köln,2,Wiedenbrück,0,2023-02-17
Regionalliga,Germany,RW Oberhausen,0,Rödinghausen,2,2023-02-17
Liga Nacional,Honduras,Marathón,1,Honduras,0,2023-02-17
NB I,Hungary,Kisvárda,2,Újpest,1,2023-02-17
Indian Super League,India,NorthEast Utd,1,Odisha,3,2023-02-17
I-League,India,TRAU,3,Aizawl,1,2023-02-17
Liga 1,Indonesia,PSIS,1,Persis,1,2023-02-17
Liga 1,Indonesia,PSS,1,Dewa United,3,2023-02-17
Liga de Expansión MX,Mexico,Mineros,2,Raya2,3,2023-02-17
Concacaf U17,N/C America,Cuba,4,Guadeloupe,0,2023-02-17
Concacaf U17,N/C America,El Salvador,4,Suriname,0,2023-02-17
Concacaf U17,N/C America,Costa Rica,2,Jamaica,2,2023-02-17
Concacaf U17,N/C America,Honduras,1,Haiti,0,2023-02-17
Eerste Divisie,Netherlands,ADO,3,Zwolle,1,2023-02-17
Eerste Divisie,Netherlands,Almere,0,Helmond,0,2023-02-17
Eerste Divisie,Netherlands,AZ II,3,Den Bosch,1,2023-02-17
Eerste Divisie,Netherlands,Dordrecht,1,VVV,2,2023-02-17
Eerste Divisie,Netherlands,Heracles,1,Willem II,1,2023-02-17
Eerste Divisie,Netherlands,Telstar,1,PSV II,1,2023-02-17
Eerste Divisie,Netherlands,TOP Oss,2,Eindhoven,0,2023-02-17
Premiership,Northern Ireland,Ballymena Utd,1,Glentoran,3,2023-02-17
Premiership,Northern Ireland,Newry City,0,Dungannon,2,2023-02-17
I Liga,Poland,Tychy,0,Nieciecza,1,2023-02-17
I Liga,Poland,Puszcza,0,Ruch,1,2023-02-17
Segunda Liga,Portugal,Tondela,1,Viseu,1,2023-02-17
Premier Division,Republic of Ireland,Cork,1,Bohemians,2,2023-02-17
Premier Division,Republic of Ireland,Dundalk,1,UCD,1,2023-02-17
Premier Division,Republic of Ireland,Shelbourne,0,Drogheda,0,2023-02-17
Premier Division,Republic of Ireland,St Pat's,1,Derry,1,2023-02-17
First Division,Republic of Ireland,Kerry,0,Cobh,2,2023-02-17
First Division,Republic of Ireland,Treaty United,0,Bray,1,2023-02-17
First Division,Republic of Ireland,Finn Harps,1,Galway Utd,2,2023-02-17
First Division,Republic of Ireland,Wexford,0,Waterford,3,2023-02-17
Liga I,Romania,Chindia,2,U Cluj,2,2023-02-17
Liga I,Romania,Mioveni,0,Rapid,0,2023-02-17
Saudi League,Saudi Arabia,Nassr,2,Taawon,1,2023-02-17
Saudi League,Saudi Arabia,Wehda,2,Raed,2,2023-02-17
Highland / Lowland,Scotland,East Stirling,3,Edinburgh U,0,2023-02-17
