Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
League Cup,England,Southampton,0,Newcastle,1,2023-01-24
Serie A,Italy,Lazio,4,Milan,0,2023-01-24
Bundesliga,Germany,Schalke 04,1,Leipzig,6,2023-01-24
Bundesliga,Germany,Bayern München,1,Köln,1,2023-01-24
Bundesliga,Germany,Hertha BSC,0,Wolfsburg,5,2023-01-24
Bundesliga,Germany,Hoffenheim,2,Stuttgart,2,2023-01-24
FA Cup,England,Accrington,1,Boreham Wood,0,2023-01-24
Eredivisie,Netherlands,Emmen,1,PSV,0,2023-01-24
Eredivisie,Netherlands,Sparta,0,Waalwijk,0,2023-01-24
Primera División,Chile,U. de Chile,1,Huachipato,3,2023-01-24
League One,England,Bolton,1,Forest Green,0,2023-01-24
League One,England,Fleetwood,0,Portsmouth,2,2023-01-24
League One,England,Ipswich,4,Morecambe,0,2023-01-24
League One,England,MK Dons,0,Shrewsbury,1,2023-01-24
League One,England,Port Vale,1,Derby,2,2023-01-24
League One,England,Wycombe,2,Oxford,0,2023-01-24
League Two,England,Carlisle,3,Hartlepool,1,2023-01-24
League Two,England,Colchester,1,Salford,1,2023-01-24
League Two,England,Stockport,0,Bradford,0,2023-01-24
National League,England,Bromley,1,Dag & Red,1,2023-01-24
National League,England,Chesterfield,1,Altrincham,0,2023-01-24
National League,England,Gateshead,0,Wrexham,3,2023-01-24
National League,England,Maidstone Utd,0,Aldershot,3,2023-01-24
National League,England,Oldham,2,York,0,2023-01-24
CAF African Nations Championship,Africa,Mauritania,1,Mali,0,2023-01-24
CAF African Nations Championship,Africa,Niger,1,Cameroon,0,2023-01-24
Challenger Pro League,Belgium,Dender,0,Genk II,1,2023-01-24
Mineiro 1,Brazil,Democrata GV,1,Democrata SL,0,2023-01-24
Pernambucano 1,Brazil,Íbis,0,Salgueiro,0,2023-01-24
Paraibano 1,Brazil,CSP,0,SP Crystal,1,2023-01-24
Premier League,Egypt,Future,1,Masry,1,2023-01-24
Premier League,Egypt,Ghazl,2,Zamalek,1,2023-01-24
Premier League,Egypt,Ahly,1,National Bank,0,2023-01-24
Premier League,Egypt,Smouha,1,Pyramids,2,2023-01-24
Premier League International Cup,Europe,Man Utd,2,Feyenoord,1,2023-01-24
3. Liga,Germany,Dortmund II,1,Osnabrück,2,2023-01-24
Super League 2,Greece,Olympiakos II,4,Irodotos,0,2023-01-24
NB I,Hungary,ZTE,1,Ferencváros,2,2023-01-24
I-League,India,Churchill,0,Real Kashmir,0,2023-01-24
Liga 1,Indonesia,Persik,2,Madura Utd,0,2023-01-24
Eerste Divisie,Netherlands,Telstar,5,MVV,3,2023-01-24
Eredivisie Women,Netherlands,Heerenveen,1,Excelsior,0,2023-01-24
NPFL,Nigeria,Rivers Utd,2,Tornadoes,1,2023-01-24
Premiership,Northern Ireland,Coleraine,1,Carrick,0,2023-01-24
Premiership,Northern Ireland,Crusaders,2,Linfield,0,2023-01-24
Premiership,Northern Ireland,Glenavon,1,Cliftonville,3,2023-01-24
Premiership,Northern Ireland,Glentoran,6,Dungannon,0,2023-01-24
Premiership,Northern Ireland,Larne,2,Portadown,0,2023-01-24
Premiership,Northern Ireland,Ballymena Utd,0,Newry City,0,2023-01-24
Taça da Liga,Portugal,Arouca,1,Sporting,2,2023-01-24
Stars League,Qatar,Qatar,4,Umm Salal,1,2023-01-24
Stars League,Qatar,Wakrah,5,Sailiya,0,2023-01-24
Stars League,Qatar,Gharafa,2,Rayyan,2,2023-01-24
FA Cup,Scotland,Elgin,2,Drumchapel,1,2023-01-24
FA Cup,Scotland,Linlithgow,0,Raith Rovers,2,2023-01-24
Challenge Cup,Scotland,Dundee,4,Dunfermline,2,2023-01-24
PSL,South Africa,TS Galaxy,1,Mamelodi,2,2023-01-24
CONMEBOL U20,South America,Paraguay,1,Peru,0,2023-01-24
CONMEBOL U20,South America,Argentina,1,Brazil,3,2023-01-24
Primera División Femenina,Spain,Athletic Club,0,Levante,3,2023-01-24
Primera División Femenina,Spain,Betis,1,Alhama,2,2023-01-24
Primera División Femenina,Spain,Valencia,2,Villarreal,0,2023-01-24
