Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
League Cup,England,Man Utd,3,Charlton,0,2023-01-10
League Cup,England,Newcastle,2,Leicester,0,2023-01-10
AFF Championship,Asia,Thailand,3,Malaysia,0,2023-01-10
A-League Men,Australia,Perth,2,Brisbane,1,2023-01-10
Liga MX,Mexico,Pachuca,5,Puebla,1,2023-01-10
Coppa Italia,Italy,Inter,2,Parma,1,2023-01-10
League Two,England,Bradford,1,Rochdale,2,2023-01-10
National League,England,Wrexham,2,Bromley,1,2023-01-10
National League,England,Aldershot,0,Dag & Red,2,2023-01-10
National League,England,Notts,1,Boreham Wood,1,2023-01-10
Ligue 2,France,Amiens,1,Guingamp,1,2023-01-10
Ligue 2,France,Caen,2,Bordeaux,2,2023-01-10
Ligue 2,France,Le Havre,1,Sochaux,0,2023-01-10
Ligue 2,France,Nîmes,1,Metz,4,2023-01-10
Ligue 2,France,Paris,2,Dijon,1,2023-01-10
Ligue 2,France,Pau,0,Grenoble,0,2023-01-10
Ligue 2,France,QRM,1,Bastia,1,2023-01-10
Ligue 2,France,Rodez,1,Niort,1,2023-01-10
Ligue 2,France,Saint-Étienne,1,Laval,0,2023-01-10
Ligue 2,France,Valenciennes,2,Annecy,2,2023-01-10
Club Friendlies,World,Dortmund,5,Düsseldorf,1,2023-01-10
Gulf Cup of Nations,Asia,UAE,0,Kuwait,1,2023-01-10
Gulf Cup of Nations,Asia,Qatar,1,Bahrain,2,2023-01-10
EFL Trophy,England,Lincoln,2,Accrington,2,2023-01-10
EFL Trophy,England,Bolton,1,Portsmouth,0,2023-01-10
EFL Trophy,England,Bristol Rovers,0,Plymouth,2,2023-01-10
EFL Trophy,England,Cheltenham,3,Salford,1,2023-01-10
Cup,Greece,Kallithea,1,Lamia,2,2023-01-10
Cup,Greece,PAOK,2,Kalamata,0,2023-01-10
Liga 1,Indonesia,Barito,1,PSM,1,2023-01-10
KNVB Beker,Netherlands,Twente,3,Telstar,1,2023-01-10
KNVB Beker,Netherlands,Kozakken Boys,1,ADO,3,2023-01-10
KNVB Beker,Netherlands,NAC,2,Eindhoven,1,2023-01-10
KNVB Beker,Netherlands,Quick,1,De Graafschap,4,2023-01-10
KNVB Beker,Netherlands,Sparta,1,PSV,2,2023-01-10
Premiership,Northern Ireland,Cliftonville,1,Linfield,0,2023-01-10
Premiership,Northern Ireland,Glenavon,4,Crusaders,2,2023-01-10
Premiership,Northern Ireland,Newry City,1,Coleraine,2,2023-01-10
Taça de Portugal,Portugal,Leixões,1,Famalicão,2,2023-01-10
Taça de Portugal,Portugal,Varzim,0,Benfica,2,2023-01-10
Saudi League,Saudi Arabia,Raed,1,Hilal,1,2023-01-10
Highland / Lowland,Scotland,Rangers,3,Strollers,1,2023-01-10
Challenge Cup,Scotland,Hamilton,3,Clyde,2,2023-01-10
Challenge Cup,Scotland,Queen South,0,Kelty Hearts,0,2023-01-10
PSL,South Africa,Mamelodi,2,Chippa Utd,1,2023-01-10
Copa de la Reina,Spain,Granada,1,Alavés,0,2023-01-10
Copa de la Reina,Spain,Villarreal,0,Sevilla,1,2023-01-10
Copa de la Reina,Spain,Osasuna,0,Barcelona,9,2023-01-10
Premier League,Wales,Airbus,0,Caernarfon,3,2023-01-10
Premier League,Wales,Bala,0,Connah's Quay,0,2023-01-10
Premier League,Wales,Flint Town Utd,1,TNS,8,2023-01-10
Premier League,Wales,Aberystwyth,0,Penybont,3,2023-01-10
