Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Friendlies,World,Uzbekistan,1,Costa Rica,2,2022-09-27
Friendlies,World,Korea Rep,1,Cameroon,0,2022-09-27
Friendlies,World,Japan,0,Ecuador,0,2022-09-27
Friendlies,World,Vietnam,3,India,0,2022-09-27
Friendlies,World,Indonesia,2,Curaçao,1,2022-09-27
Friendlies,World,Senegal,1,Iran,1,2022-09-27
Friendlies,World,UAE,0,Venezuela,4,2022-09-27
Friendlies,World,Bahrain,0,Panama,2,2022-09-27
Friendlies,World,Canada,0,Uruguay,2,2022-09-27
Friendlies,World,South Africa,1,Botswana,0,2022-09-27
Friendlies,World,Libya,2,Tanzania,1,2022-09-27
Friendlies,World,Qatar,2,Chile,2,2022-09-27
Friendlies,World,Côte d'Ivoire,3,Guinea,1,2022-09-27
Friendlies,World,Egypt,3,Liberia,0,2022-09-27
Friendlies,World,Nicaragua,0,Ghana,1,2022-09-27
Friendlies,World,Saudi Arabia,0,United States,0,2022-09-27
Friendlies,World,Brazil,5,Tunisia,1,2022-09-27
Friendlies,World,Algeria,2,Nigeria,1,2022-09-27
Friendlies,World,Paraguay,0,Morocco,0,2022-09-27
Friendlies,World,Malta,2,Israel,1,2022-09-27
UEFA Nations League,Europe,Portugal,0,Spain,1,2022-09-27
UEFA Nations League,Europe,Switzerland,2,Czechia,1,2022-09-27
UEFA Nations League,Europe,Albania,1,Iceland,1,2022-09-27
UEFA Nations League,Europe,Ireland,3,Armenia,2,2022-09-27
UEFA Nations League,Europe,Norway,0,Serbia,2,2022-09-27
UEFA Nations League,Europe,Russia,N/A,Israel,N/A,2022-09-27
UEFA Nations League,Europe,Sweden,1,Slovenia,1,2022-09-27
UEFA Nations League,Europe,Ukraine,0,Scotland,0,2022-09-27
UEFA Nations League,Europe,Greece,3,N. Ireland,1,2022-09-27
UEFA Nations League,Europe,Kosovo,5,Cyprus,1,2022-09-27
Cup,Turkey,İnegöl,1,Ağrı 1970,2,2022-09-27
Cup,Turkey,Ankaraspor,5,Kepez BS,2,2022-09-27
Cup,Turkey,Zonguldak,0,Gümüşhane,1,2022-09-27
Cup,Turkey,Kocaelispor,1,Ayvalıkgücü BS,4,2022-09-27
Cup,Turkey,Soma,2,Efeler 09 Spor,2,2022-09-27
Cup,Turkey,Balıkesirspor,2,Hacettepe 1945,1,2022-09-27
Primera A,Colombia,Cali,1,Equidad,2,2022-09-27
Primera A,Colombia,Jaguares,0,Águilas D,0,2022-09-27
Primera A,Colombia,Atl. Nacional,1,Patriotas,0,2022-09-27
League Two,England,Grimsby,1,Carlisle,2,2022-09-27
Africa Cup of Nations Qualification,Africa,Burundi,N/A,Kenya,N/A,2022-09-27
Africa Cup of Nations Qualification,Africa,Zimbabwe,N/A,Morocco,N/A,2022-09-27
Primera Nacional,Argentina,Santamarina,0,Gim Mendoza,2,2022-09-27
Primera Nacional,Argentina,Ferro,0,Estudiantes RC,0,2022-09-27
Torneo Federal A,Argentina,Unión Sun,2,Juventud UG,1,2022-09-27
Copa Argentina,Argentina,Banfield,1,Godoy Cruz,1,2022-09-27
Serie B,Brazil,CSA,2,Tombense,0,2022-09-27
Primera B,Chile,Temuco,1,San Luis,0,2022-09-27
China League One,China PR,Jiading,3,West Coast,2,2022-09-27
China League One,China PR,Pingguo Haliao,0,Lushan,1,2022-09-27
Primera B,Colombia,Boca,0,Atlético,0,2022-09-27
Primera División,Costa Rica,Grecia,1,Herediano,2,2022-09-27
Cup,Croatia,Borinci,0,Dinamo Zagreb,4,2022-09-27
UEFA U21 Championship Qualification,Europe,Ukraine,3,Slovakia,0,2022-09-27
UEFA U21 Championship Qualification,Europe,Czechia,0,Iceland,0,2022-09-27
UEFA U21 Championship Qualification,Europe,Denmark,2,Croatia,1,2022-09-27
UEFA U21 Championship Qualification,Europe,Israel,0,Eire,0,2022-09-27
UEFA U19 Championship Qualification,Europe,Denmark,2,England,4,2022-09-27
UEFA U19 Championship Qualification,Europe,Estonia,3,Bosnia,2,2022-09-27
UEFA U19 Championship Qualification,Europe,Montenegro,3,Georgia,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Poland,0,Italy,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Lithuania,0,Latvia,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Romania,2,Austria,0,2022-09-27
UEFA U19 Championship Qualification,Europe,Armenia,1,Belarus,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Belgium,0,Spain,0,2022-09-27
UEFA U19 Championship Qualification,Europe,Bulgaria,1,Turkey,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Luxembourg,1,Azerbaijan,0,2022-09-27
UEFA U19 Championship Qualification,Europe,Slovakia,0,Germany,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Andorra,0,Switzerland,2,2022-09-27
UEFA U19 Championship Qualification,Europe,Greece,1,Czech,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Gibraltar,2,Wales,9,2022-09-27
UEFA U19 Championship Qualification,Europe,Hungary,0,Eire,1,2022-09-27
UEFA U19 Championship Qualification,Europe,Moldova,0,N. Ireland,2,2022-09-27
UEFA U19 Championship Qualification,Europe,Slovenia,0,Netherlands,0,2022-09-27
Virsliga,Latvia,Daugavpils,1,RFS,3,2022-09-27
A Lyga,Lithuania,Žalgiris,1,Sūduva,0,2022-09-27
Primera División,Peru,Alianza Lima,5,Uni San Martín,0,2022-09-27
Cupa României,Romania,Dumbrăviţa,0,Iaşi,0,2022-09-27
Cupa României,Romania,Ripensia,0,U Craiova 1948,4,2022-09-27
Cupa României,Romania,Șoimii Lipova,2,Buzău,4,2022-09-27
Cupa României,Romania,CSA Steaua,1,Chindia,2,2022-09-27
Cupa României,Romania,Axiopolis,4,Minaur BM,5,2022-09-27
