Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
UEFA Champions League,Europe,Struga,1,Žalgiris,2,2023-07-18
UEFA Champions League,Europe,Flora,0,Raków,3,2023-07-18
UEFA Champions League,Europe,M Haifa,2,Hamrun,1,2023-07-18
UEFA Champions League,Europe,Sheriff,3,Farul,0,2023-07-18
UEFA Champions League,Europe,BATE,2,Partizani,0,2023-07-18
UEFA Champions League,Europe,TNS,0,Häcken,2,2023-07-18
UEFA Champions League,Europe,Zrinjski,2,Urartu,3,2023-07-18
UEFA Champions League,Europe,Breidablik,2,Shamrock,1,2023-07-18
UEFA Europa Conference League,Europe,Balzan,1,Domžale,3,2023-07-18
Serie A,Brazil,Goiás,0,Atl. Mineiro,0,2023-07-18
Liga Profesional Argentina,Argentina,Arsenal,0,Instituto,2,2023-07-18
Liga Profesional Argentina,Argentina,Tigre,0,Barracas C,1,2023-07-18
Liga Profesional Argentina,Argentina,NOB,0,Atl. Tucumán,0,2023-07-18
Primera A,Colombia,Pereira,0,Cali,2,2023-07-18
Primera División,Uruguay,Maldonado,1,Cerro,2,2023-07-18
Primera División,Chile,Unión Española,3,U. de Chile,0,2023-07-18
Club Friendlies,World,Tottenham,2,West Ham,3,2023-07-18
Club Friendlies,World,Ajax,3,Shakhtar D,0,2023-07-18
Club Friendlies,World,Alanyaspor,3,Konyaspor,1,2023-07-18
Club Friendlies,World,Beşiktaş,4,Mezőkövesd,0,2023-07-18
Club Friendlies,World,Sturm,2,Galatasaray,0,2023-07-18
Primera Nacional,Argentina,Atlanta,1,Maipú,3,2023-07-18
Prim B Metro,Argentina,Comunicaciones,1,A Quilmes,1,2023-07-18
Australia Cup,Australia,Perth,0,Macarthur,4,2023-07-18
Primera División,Bolivia,The Strongest,2,Independiente,0,2023-07-18
Primera División,Bolivia,O. Petrolero,1,Universitario,1,2023-07-18
Serie B,Brazil,Botafogo SP,1,Criciúma,0,2023-07-18
Serie C,Brazil,Paysandu,1,Remo,0,2023-07-18
Serie D,Brazil,Democrata GV,2,Resende,0,2023-07-18
Primera B,Chile,La Serena,0,Santa Cruz,3,2023-07-18
UEFA U19 Championship Women,Europe,Czechia,0,France,1,2023-07-18
UEFA U19 Championship Women,Europe,Germany,6,Austria,0,2023-07-18
UEFA U19 Championship Women,Europe,Belgium,0,Netherlands,3,2023-07-18
UEFA U19 Championship Women,Europe,Iceland,0,Spain,3,2023-07-18
Úrvalsdeild,Iceland,Fylkir,0,HK,0,2023-07-18
Úrvalsdeild,Iceland,KR,1,FH,0,2023-07-18
K League 2,Korea Republic,Bucheon,0,Cheongju,0,2023-07-18
K League 2,Korea Republic,Seoul E-Land,0,Gimpo,1,2023-07-18
K League 2,Korea Republic,Anyang,1,Cheonan City,1,2023-07-18
A Lyga,Lithuania,Banga,1,Kauno Žalgiris,1,2023-07-18
Division Profesional,Paraguay,Guaireña,2,Luqueño,2,2023-07-18
Division Profesional,Paraguay,Nacional,1,Tacuary,1,2023-07-18
League Cup,Scotland,Alloa Athletic,1,Stirling,2,2023-07-18
League Cup,Scotland,Ayr Utd,1,Stenhousemuir,0,2023-07-18
League Cup,Scotland,Bonnyrigg RA,0,Dundee,1,2023-07-18
League Cup,Scotland,Cove Rangers,5,Clyde,2,2023-07-18
League Cup,Scotland,Dumbarton,2,Inverness,1,2023-07-18
League Cup,Scotland,Dundee Utd,1,Partick,2,2023-07-18
League Cup,Scotland,Dunfermline,4,Annan,0,2023-07-18
League Cup,Scotland,East Fife,3,Elgin,1,2023-07-18
League Cup,Scotland,Hamilton,1,Brechin,0,2023-07-18
League Cup,Scotland,Montrose,1,Forfar,2,2023-07-18
League Cup,Scotland,Morton,3,Stranraer,0,2023-07-18
League Cup,Scotland,Queen South,3,Motherwell,3,2023-07-18
League Cup,Scotland,Raith Rovers,2,Albion,0,2023-07-18
League Cup,Scotland,Spartans,1,Falkirk,2,2023-07-18
Friendlies Women,World,Finland,1,Scotland,2,2023-07-18
Friendlies Women,World,Czechia,0,N. Ireland,2,2023-07-18
Friendlies Women,World,Austria,0,Iceland,1,2023-07-18
