Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,West Ham,2,Arsenal,2,2023-04-16
Premier League,England,Nottm Forest,0,Man Utd,2,2023-04-16
La Liga,Spain,Girona,2,Elche,0,2023-04-16
La Liga,Spain,Getafe,0,Barcelona,0,2023-04-16
La Liga,Spain,Atlético,2,Almería,1,2023-04-16
La Liga,Spain,Valencia,0,Sevilla,2,2023-04-16
Serie A,Italy,Lecce,1,Sampdoria,1,2023-04-16
Serie A,Italy,Torino,1,Salernitana,1,2023-04-16
Serie A,Italy,Sassuolo,1,Juventus,0,2023-04-16
Serie A,Italy,Roma,3,Udinese,0,2023-04-16
Bundesliga,Germany,Bremen,1,Freiburg,2,2023-04-16
Bundesliga,Germany,Union Berlin,1,Bochum,1,2023-04-16
Bundesliga,Germany,Wolfsburg,0,Leverkusen,0,2023-04-16
Ligue 1,France,Lille,2,Montpellier,1,2023-04-16
Ligue 1,France,Auxerre,2,Nantes,1,2023-04-16
Ligue 1,France,Brest,1,Nice,0,2023-04-16
Ligue 1,France,Clermont,2,Angers,1,2023-04-16
Ligue 1,France,Strasbourg,3,Ajaccio,1,2023-04-16
Ligue 1,France,Monaco,3,Lorient,1,2023-04-16
Ligue 1,France,Marseille,3,Troyes,1,2023-04-16
MLS,USA,Charlotte,2,Colorado,2,2023-04-16
MLS,USA,Columbus,1,New England,1,2023-04-16
MLS,USA,Montréal,0,DC United,1,2023-04-16
MLS,USA,NYCFC,2,Nashville,1,2023-04-16
MLS,USA,Toronto,2,Atlanta United,2,2023-04-16
MLS,USA,New York,1,Houston,1,2023-04-16
MLS,USA,Austin,0,Whitecaps,0,2023-04-16
MLS,USA,Chicago,2,Philadelphia,2,2023-04-16
MLS,USA,Dallas,2,Salt Lake,1,2023-04-16
MLS,USA,Minnesota,1,Orlando,2,2023-04-16
MLS,USA,Earthquakes,3,Sporting KC,0,2023-04-16
MLS,USA,Portland,4,Sounders,1,2023-04-16
MLS,USA,St. Louis,5,Cincinnati,1,2023-04-16
MLS,USA,Galaxy,2,Los Angeles,3,2023-04-16
Eredivisie,Netherlands,NEC,1,Vitesse,4,2023-04-16
Eredivisie,Netherlands,Utrecht,1,Twente,0,2023-04-16
Eredivisie,Netherlands,Volendam,2,PSV,3,2023-04-16
Eredivisie,Netherlands,Cambuur,0,Feyenoord,3,2023-04-16
Eredivisie,Netherlands,Ajax,3,Emmen,1,2023-04-16
Eredivisie,Netherlands,Fortuna,0,AZ,3,2023-04-16
A-League Men,Australia,Wellington,2,Brisbane,2,2023-04-16
A-League Men,Australia,Sydney,4,Perth,1,2023-04-16
A-League Men,Australia,Adelaide Utd,0,Western United,1,2023-04-16
Süper Lig,Turkey,Giresun,1,Sivasspor,0,2023-04-16
Süper Lig,Turkey,Gaziantep,0,Konyaspor,3,2023-04-16
Süper Lig,Turkey,Hatay,0,Fatih,3,2023-04-16
Süper Lig,Turkey,Trabzonspor,0,Beşiktaş,0,2023-04-16
Premiership,Scotland,Kilmarnock,1,Celtic,4,2023-04-16
Liga MX,Mexico,Atlas,4,Pachuca,1,2023-04-16
Liga MX,Mexico,León,0,Chivas,2,2023-04-16
Liga MX,Mexico,Cruz Azul,1,América,3,2023-04-16
Liga MX,Mexico,Pumas,3,Toluca,1,2023-04-16
First Division A,Belgium,Genk,5,Anderlecht,2,2023-04-16
First Division A,Belgium,Mechelen,1,Gent,1,2023-04-16
First Division A,Belgium,Antwerp,1,Kortrijk,0,2023-04-16
First Division A,Belgium,R. Union SG,2,Seraing,1,2023-04-16
Serie A,Brazil,Botafogo,2,São Paulo,1,2023-04-16
Serie A,Brazil,Fortaleza,1,Internacional,1,2023-04-16
Serie A,Brazil,Paranaense,2,Goiás,0,2023-04-16
Serie A,Brazil,RB Bragantino,2,Bahia,1,2023-04-16
Serie A,Brazil,Atl. Mineiro,1,Vasco,2,2023-04-16
Serie A,Brazil,Corinthians,2,Cruzeiro,1,2023-04-16
Serie A,Brazil,Flamengo,3,Coritiba,0,2023-04-16
Liga Profesional Argentina,Argentina,Boca Juniors,0,Estudiantes,1,2023-04-16
Liga Profesional Argentina,Argentina,Gimn La Plata,0,Belgrano,2,2023-04-16
Liga Profesional Argentina,Argentina,Huracán,0,Argentinos,0,2023-04-16
Liga Profesional Argentina,Argentina,Unión,0,Tigre,0,2023-04-16
Liga Profesional Argentina,Argentina,Vélez,0,Barracas C,0,2023-04-16
Liga Profesional Argentina,Argentina,Independiente,1,Racing Club,1,2023-04-16
Primeira Liga,Portugal,Rio Ave,1,Casa Pia,1,2023-04-16
Primeira Liga,Portugal,Braga,1,Gil Vicente,0,2023-04-16
Primeira Liga,Portugal,Sporting,1,Arouca,1,2023-04-16
Superliga,Denmark,Lyngby,2,Horsens,1,2023-04-16
Superliga,Denmark,OB,2,Silkeborg,0,2023-04-16
Superliga,Denmark,København,2,Viborg,1,2023-04-16
Superliga,Denmark,Brøndby,1,AGF,0,2023-04-16
Primera A,Colombia,Cali,2,Magdalena,1,2023-04-16
Primera A,Colombia,Pereira,2,Santa Fe,2,2023-04-16
Primera A,Colombia,Bucaramanga,1,Medellín,2,2023-04-16
Primera División,Uruguay,Plaza Colonia,2,Cerro Largo,0,2023-04-16
Primera División,Uruguay,Boston River,1,Def. Sporting,0,2023-04-16
Primera División,Uruguay,River Plate,1,Wanderers,2,2023-04-16
Primera División,Chile,Copiapó,1,Huachipato,1,2023-04-16
Primera División,Chile,Audax,1,U. de Chile,2,2023-04-16
Bundesliga,Austria,Aus Klagenfurt,0,Sturm,2,2023-04-16
Bundesliga,Austria,Salzburg,0,LASK,0,2023-04-16
Bundesliga,Austria,Rapid,3,Austria,3,2023-04-16
Premier League,Ukraine,Shakhtar D,2,Lviv,0,2023-04-16
Premier League,Ukraine,Chornomorets,0,Vorskla,1,2023-04-16
2. Bundesliga,Germany,Düsseldorf,1,Darmstadt 98,0,2023-04-16
2. Bundesliga,Germany,Karlsruhe,4,Bielefeld,2,2023-04-16
2. Bundesliga,Germany,St. Pauli,1,Braunschweig,2,2023-04-16
Ekstraklasa,Poland,Piast,1,Wisła Płock,0,2023-04-16
Ekstraklasa,Poland,Raków,2,Widzew,0,2023-04-16
Ekstraklasa,Poland,Legia,2,Lech,2,2023-04-16
Eliteserien,Norway,Bodø/Glimt,4,Stabæk,0,2023-04-16
Eliteserien,Norway,Haugesund,3,HamKam,2,2023-04-16
Eliteserien,Norway,Molde,1,Rosenborg,1,2023-04-16
Eliteserien,Norway,Odd,2,Brann,0,2023-04-16
Eliteserien,Norway,Sandefjord,0,Tromsø,0,2023-04-16
Eliteserien,Norway,Strømsgodset,1,Aalesund,0,2023-04-16
Eliteserien,Norway,Vålerenga,0,Sarpsborg,2,2023-04-16
Allsvenskan,Sweden,AIK,2,Hammarby,0,2023-04-16
Allsvenskan,Sweden,Norrköping,2,Värnamo,1,2023-04-16
Allsvenskan,Sweden,Halmstad,2,Djurgården,0,2023-04-16
Allsvenskan,Sweden,Mjällby,2,Degerfors,0,2023-04-16
Super League,Switzerland,St.Gallen,2,Winterthur,3,2023-04-16
Super League,Switzerland,Basel,1,Young Boys,1,2023-04-16
Super League,Switzerland,GC Zürich,1,Sion,3,2023-04-16
Serie B,Italy,Ternana,2,Pisa,1,2023-04-16
Superliga,Albania,Kukësi,0,Vllaznia,0,2023-04-16
Superliga,Albania,Laçi,3,Partizani,2,2023-04-16
Superliga,Albania,Tirana,2,Egnatia,1,2023-04-16
Primera Nacional,Argentina,Guillermo Br,1,Almagro,1,2023-04-16
Primera Nacional,Argentina,Def Unidos,3,San Telmo,2,2023-04-16
Primera Nacional,Argentina,Güemes,0,Defensores Bel,0,2023-04-16
Primera Nacional,Argentina,Est Caseros,0,Dep Madryn,3,2023-04-16
Primera Nacional,Argentina,Quilmes,0,Maipú,2,2023-04-16
Primera Nacional,Argentina,Alvarado,1,Nueva Chicago,0,2023-04-16
Primera Nacional,Argentina,Gim Mendoza,0,All Boys,0,2023-04-16
Primera Nacional,Argentina,San Martín SJ,3,Temperley,1,2023-04-16
Torneo Federal A,Argentina,Santamarina,1,Ger Rawson,1,2023-04-16
Torneo Federal A,Argentina,Villa Mitre,1,Sol de Mayo,0,2023-04-16
Torneo Federal A,Argentina,Juventud UU,1,Peñarol,0,2023-04-16
Torneo Federal A,Argentina,Las Heras,0,Argentino MM,1,2023-04-16
Torneo Federal A,Argentina,Gim Concepción,3,Def Belgrano,1,2023-04-16
Torneo Federal A,Argentina,Ind Chivilcoy,4,De. Pro.,0,2023-04-16
Torneo Federal A,Argentina,Atenas,3,Estudiantes SL,3,2023-04-16
Torneo Federal A,Argentina,SM Mendoza,1,Ciudad Bolívar,1,2023-04-16
