Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
UEFA Champions League,Europe,Ajax,4,Rangers,0,2022-09-07
UEFA Champions League,Europe,Frankfurt,0,Sporting,3,2022-09-07
UEFA Champions League,Europe,Atlético,2,Porto,1,2022-09-07
UEFA Champions League,Europe,Barcelona,5,Viktoria Plzeň,1,2022-09-07
UEFA Champions League,Europe,Club Brugge,1,Leverkusen,0,2022-09-07
UEFA Champions League,Europe,Inter,0,Bayern München,2,2022-09-07
UEFA Champions League,Europe,Napoli,4,Liverpool,1,2022-09-07
UEFA Champions League,Europe,Tottenham,2,Marseille,0,2022-09-07
Ligue 1,France,Lorient,3,Lyon,1,2022-09-07
CONMEBOL Libertadores,South America,Palmeiras,2,Paranaense,2,2022-09-07
Liga MX,Mexico,León,1,Juárez,0,2022-09-07
Liga MX,Mexico,Santos Laguna,3,Necaxa,1,2022-09-07
Liga MX,Mexico,América,3,San Luis,0,2022-09-07
Liga MX,Mexico,Monterrey,3,Cruz Azul,2,2022-09-07
Serie A,Brazil,Atl. Mineiro,1,RB Bragantino,1,2022-09-07
J1 League,Japan,F Marinos,3,Shonan,0,2022-09-07
Primera A,Colombia,Envigado,0,Águilas D,1,2022-09-07
Primera División,Chile,U. de Chile,0,Coquimbo,0,2022-09-07
Torneo Federal A,Argentina,Racing Córdoba,3,Douglas Haig,0,2022-09-07
Torneo Federal A,Argentina,Cipolletti,1,Juventud UU,3,2022-09-07
Copa Argentina,Argentina,Quilmes,1,Dep Madryn,1,2022-09-07
AFC Cup,Asia,Mohun Bagan,1,Kuala Lumpur,3,2022-09-07
Primera División,Bolivia,Universitario,4,Independiente,1,2022-09-07
Primera División,Bolivia,Always Ready,2,Guabirá,1,2022-09-07
Serie B,Brazil,Vila Nova,2,Guarani,1,2022-09-07
Primera B,Chile,Fernández Vial,1,Magallanes,1,2022-09-07
Primera B,Chile,Santa Cruz,2,Rangers,1,2022-09-07
Primera B,Chile,Iquique,0,Copiapó,0,2022-09-07
Primera B,Chile,Temuco,1,San Felipe,0,2022-09-07
Primera B,Chile,Barnechea,0,Cobreloa,1,2022-09-07
China League One,China PR,Heilongjiang,1,Pingguo Haliao,1,2022-09-07
China League One,China PR,Dongwu,3,Tianshan,0,2022-09-07
China League One,China PR,Jiuniu,2,Shijiazhuang,0,2022-09-07
Primera B,Colombia,Fortaleza,3,Barranquilla,0,2022-09-07
Primera B,Colombia,Atlético,4,Leones,0,2022-09-07
Primera B,Colombia,Orsomarso,2,Llaneros,2,2022-09-07
Primera B,Colombia,Real Santander,1,Valledupar,0,2022-09-07
FNL,Czech Republic,Příbram,2,Prostějov,2,2022-09-07
UEFA Youth League,Europe,Frankfurt,1,Sporting CP,1,2022-09-07
UEFA Youth League,Europe,Ajax,2,Rangers,1,2022-09-07
UEFA Youth League,Europe,Barcelona,3,Viktoria,0,2022-09-07
UEFA Youth League,Europe,Napoli,1,Liverpool,2,2022-09-07
UEFA Youth League,Europe,Spurs,3,Marseille,0,2022-09-07
UEFA Youth League,Europe,Atl. Madrid,1,Porto,0,2022-09-07
UEFA Youth League,Europe,Brugge,4,Bayer,1,2022-09-07
UEFA Youth League,Europe,Inter,2,Bayern,2,2022-09-07
Regionalliga,Germany,St. Pauli II,2,Teutonia Ott.,0,2022-09-07
Úrvalsdeild,Iceland,Víkingur R,9,Leiknir R,0,2022-09-07
Toto Cup Ligat Al,Israel,Ashdod,2,Beitar,2,2022-09-07
Emperor Cup,Japan,Cerezo,1,Sanfrecce,2,2022-09-07
Emperor Cup,Japan,Avispa,1,Ventforet,2,2022-09-07
Emperor Cup,Japan,Kyoto,2,Tokyo Verdy,1,2022-09-07
Emperor Cup,Japan,Vissel Kobe,0,Kashima,1,2022-09-07
K League 1,Korea Republic,Jeonbuk Motors,0,Seoul,0,2022-09-07
K League 1,Korea Republic,Daegu,1,Seongnam,0,2022-09-07
K League 1,Korea Republic,Ulsan,1,Suwon,0,2022-09-07
A Lyga,Lithuania,Kauno Žalgiris,5,Džiugas,1,2022-09-07
A Lyga,Lithuania,Jonava,0,Banga,5,2022-09-07
A Lyga,Lithuania,Panevėžys,0,Riteriai,1,2022-09-07
Premier League,Malta,Hamrun,1,Marsaxlokk,0,2022-09-07
Liga de Expansión MX,Mexico,Leones Negros,3,Cancún,0,2022-09-07
Liga de Expansión MX,Mexico,Correcaminos,1,Pumas Tabasco,0,2022-09-07
Tweede Divisie,Netherlands,AFC,1,Katwijk,0,2022-09-07
Tweede Divisie,Netherlands,Maassluis,3,TEC,0,2022-09-07
Tweede Divisie,Netherlands,OFC,2,HFC,1,2022-09-07
Tweede Divisie,Netherlands,Treffers,5,HHC,2,2022-09-07
Tweede Divisie,Netherlands,Volendam II,1,Spakenburg,3,2022-09-07
Stars League,Qatar,Rayyan,1,Markhiya,2,2022-09-07
Stars League,Qatar,Ahli,2,Wakrah,2,2022-09-07
Stars League,Qatar,Al Duhail,3,Qatar,0,2022-09-07
PSL,South Africa,Chippa Utd,0,Mamelodi,1,2022-09-07
Friendlies Women,World,United States,2,Nigeria,1,2022-09-07
Friendlies Women,World,New Zealand,2,Philippines,1,2022-09-07
Friendlies Women,World,Colombia,2,Costa Rica,0,2022-09-07
