Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Serie A,Brazil,Goiás,0,Cuiabá,1,2023-06-05
Serie A,Brazil,Palmeiras,3,Coritiba,1,2023-06-05
Liga Profesional Argentina,Argentina,Lanús,2,Atl. Tucumán,1,2023-06-05
Concacaf Champions Cup,N/C America,Los Angeles,0,León,1,2023-06-05
Primera A,Colombia,Águilas D,0,Atl. Nacional,1,2023-06-05
Primera A,Colombia,Petrolera,1,Pasto,0,2023-06-05
Bundesliga,Austria,WAC,1,A Lustenau,2,2023-06-05
Allsvenskan,Sweden,Varberg,0,Häcken,2,2023-06-05
Allsvenskan,Sweden,Malmö,5,Degerfors,0,2023-06-05
Primera Nacional,Argentina,Aldosivi,1,Ferro,2,2023-06-05
Primera Nacional,Argentina,SM Tucumán,3,Defensores Bel,1,2023-06-05
Primera Nacional,Argentina,Mitre SdE,1,Dep Madryn,0,2023-06-05
Primera Nacional,Argentina,Atlanta,1,Brown Adrogué,2,2023-06-05
Premier League,Armenia,L. Artsakh,0,Shirak,1,2023-06-05
Premier League,Armenia,BKMA,2,Ararat-Armenia,5,2023-06-05
Primera División,Bolivia,The Strongest,1,Wilstermann,0,2023-06-05
Primera División,Bolivia,O. Petrolero,2,Always Ready,0,2023-06-05
Primera División,Bolivia,Guabirá,1,Universitario,0,2023-06-05
Serie B,Brazil,Londrina,1,Sport,2,2023-06-05
Serie C,Brazil,Confiança,2,Amazonas,3,2023-06-05
Serie C,Brazil,Erechim,0,Aparecidense,1,2023-06-05
Serie D,Brazil,Novo Hamburgo,0,Caxias,2,2023-06-05
Serie D,Brazil,São Francisco,1,Humaitá,4,2023-06-05
First League,Bulgaria,Hebar 1918,3,Beroe,1,2023-06-05
First League,Bulgaria,Pirin,2,Spartak Varna,0,2023-06-05
First League,Bulgaria,Septemvri,3,Botev Vratsa,1,2023-06-05
Primera B,Chile,Wanderers,1,Iquique,1,2023-06-05
Primera B,Chile,Santa Cruz,1,Temuco,1,2023-06-05
China League Two,China PR,Qisheng,0,Zhixing,4,2023-06-05
China League Two,China PR,Jiangcheng,1,Tai'an,0,2023-06-05
China League Two,China PR,Lanhang,2,Yukun,1,2023-06-05
China League Two,China PR,Quanzhou,0,Jiangxi DHJ,0,2023-06-05
China League Two,China PR,Tongliang Long,2,Star,1,2023-06-05
China U21 League,China PR,Rongcheng,3,Shenzhen,1,2023-06-05
China U21 League,China PR,Port,1,Guoan,1,2023-06-05
China U21 League,China PR,Zhejiang,0,Henan,1,2023-06-05
Primera B,Colombia,Fortaleza,0,Llaneros,1,2023-06-05
Liga Pro,Ecuador,Gualaceo,3,El Nacional,4,2023-06-05
Premier League,Egypt,Zamalek,2,Ittihad,1,2023-06-05
Play-offs 1/2,Germany,Hamburg,1,Stuttgart,3,2023-06-05
Super League 2,Greece,Makedonikos N.,1,Diagoras,0,2023-06-05
Cup,Iceland,Thór,1,Víkingur R,2,2023-06-05
Cup,Iceland,Breidablik,3,FH,1,2023-06-05
Virsliga,Latvia,Daugavpils,1,Liepāja,2,2023-06-05
Virsliga,Latvia,Jelgava,2,Valmiera,0,2023-06-05
NPFL,Nigeria,Lobi Stars,0,Enyimba,1,2023-06-05
NPFL,Nigeria,Rivers Utd,2,Remo Stars,2,2023-06-05
NPFL,Nigeria,Bendel Ins.,1,Sunshine,1,2023-06-05
2. Division,Norway,Brann II,2,TUIL,3,2023-06-05
2. Division,Norway,Levanger,4,Godset II,1,2023-06-05
Division Profesional,Paraguay,Resistencia,0,Guaireña,2,2023-06-05
Primera División,Peru,César Vallejo,3,UTC Cajamarca,1,2023-06-05
Premier Division,Republic of Ireland,Cork,2,Bohemians,1,2023-06-05
Premier Division,Republic of Ireland,Dundalk,4,UCD,1,2023-06-05
Premier Division,Republic of Ireland,Sligo,0,Shamrock,3,2023-06-05
Premier Division,Republic of Ireland,St Pat's,4,Derry,1,2023-06-05
Premier Division,Republic of Ireland,Shelbourne,3,Drogheda,2,2023-06-05
First Division,Republic of Ireland,Kerry,0,Waterford,6,2023-06-05
First Division,Republic of Ireland,Cobh,1,Longford,0,2023-06-05
