Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,Arsenal,5,Wolves,0,2023-05-28
Premier League,England,Aston Villa,2,Brighton,1,2023-05-28
Premier League,England,Brentford,1,Man City,0,2023-05-28
Premier League,England,Chelsea,1,Newcastle,1,2023-05-28
Premier League,England,Crystal Palace,1,Nottm Forest,1,2023-05-28
Premier League,England,Everton,1,Bournemouth,0,2023-05-28
Premier League,England,Leeds,1,Tottenham,4,2023-05-28
Premier League,England,Leicester,2,West Ham,1,2023-05-28
Premier League,England,Man Utd,2,Fulham,1,2023-05-28
Premier League,England,Southampton,4,Liverpool,4,2023-05-28
La Liga,Spain,Almería,0,Valladolid,0,2023-05-28
La Liga,Spain,Athletic Club,0,Elche,1,2023-05-28
La Liga,Spain,Atlético,2,Real Sociedad,1,2023-05-28
La Liga,Spain,Barcelona,3,Mallorca,0,2023-05-28
La Liga,Spain,Cádiz,1,Celta Vigo,0,2023-05-28
La Liga,Spain,Getafe,2,Osasuna,1,2023-05-28
La Liga,Spain,Girona,1,Betis,2,2023-05-28
La Liga,Spain,Valencia,2,Espanyol,2,2023-05-28
La Liga,Spain,Vallecano,2,Villarreal,1,2023-05-28
Serie A,Italy,Verona,1,Empoli,1,2023-05-28
Serie A,Italy,Bologna,2,Napoli,2,2023-05-28
Serie A,Italy,Monza,0,Lecce,1,2023-05-28
Serie A,Italy,Lazio,3,Cremonese,2,2023-05-28
Serie A,Italy,Juventus,0,Milan,1,2023-05-28
MLS,USA,Montréal,1,Inter Miami,0,2023-05-28
MLS,USA,New England,3,Chicago,3,2023-05-28
MLS,USA,NYCFC,1,Philadelphia,3,2023-05-28
MLS,USA,Orlando,1,Atlanta United,1,2023-05-28
MLS,USA,Toronto,2,DC United,1,2023-05-28
MLS,USA,Houston,2,Austin,1,2023-05-28
MLS,USA,Minnesota,1,Salt Lake,1,2023-05-28
MLS,USA,St. Louis,3,Whitecaps,1,2023-05-28
MLS,USA,Colorado,0,Cincinnati,1,2023-05-28
MLS,USA,Earthquakes,1,Dallas,1,2023-05-28
MLS,USA,Galaxy,0,Charlotte,1,2023-05-28
MLS,USA,Sounders,1,New York,0,2023-05-28
MLS,USA,Sporting KC,4,Portland,1,2023-05-28
Eredivisie,Netherlands,AZ,1,PSV,2,2023-05-28
Eredivisie,Netherlands,Cambuur,4,Waalwijk,0,2023-05-28
Eredivisie,Netherlands,Feyenoord,0,Vitesse,1,2023-05-28
Eredivisie,Netherlands,Fortuna,1,NEC,1,2023-05-28
Eredivisie,Netherlands,Groningen,0,Sparta,5,2023-05-28
Eredivisie,Netherlands,Heerenveen,2,Go Ahead,0,2023-05-28
Eredivisie,Netherlands,Twente,3,Ajax,1,2023-05-28
Eredivisie,Netherlands,Utrecht,3,Emmen,2,2023-05-28
Eredivisie,Netherlands,Volendam,3,Excelsior,2,2023-05-28
Premiership,Scotland,Kilmarnock,3,Ross County,1,2023-05-28
Premiership,Scotland,Motherwell,3,Dundee Utd,2,2023-05-28
Premiership,Scotland,St. Johnstone,2,Livingston,0,2023-05-28
First Division A,Belgium,Antwerp,1,R. Union SG,1,2023-05-28
First Division A,Belgium,Club Brugge,1,Genk,3,2023-05-28
Serie A,Brazil,Cuiabá,1,Coritiba,1,2023-05-28
Serie A,Brazil,Flamengo,1,Cruzeiro,1,2023-05-28
Serie A,Brazil,São Paulo,2,Goiás,1,2023-05-28
Serie A,Brazil,Corinthians,2,Fluminense,0,2023-05-28
Serie A,Brazil,Internacional,2,Bahia,0,2023-05-28
Liga Profesional Argentina,Argentina,Platense,1,Belgrano,0,2023-05-28
Liga Profesional Argentina,Argentina,Independiente,1,Lanús,1,2023-05-28
Liga Profesional Argentina,Argentina,Barracas C,1,San Lorenzo,0,2023-05-28
Liga Profesional Argentina,Argentina,Def y Justicia,1,Racing Club,1,2023-05-28
Liga Profesional Argentina,Argentina,Talleres,1,Argentinos,0,2023-05-28
J1 League,Japan,Albirex,1,Gamba,3,2023-05-28
J1 League,Japan,Cerezo,2,Yokohama,0,2023-05-28
J1 League,Japan,F Marinos,2,Avispa,0,2023-05-28
J1 League,Japan,Kawasaki,2,Kashiwa,0,2023-05-28
Primera A,Colombia,Millonarios,1,Boyacá Chicó,0,2023-05-28
Primera A,Colombia,Águilas D,0,Pasto,0,2023-05-28
Bundesliga,Austria,LASK,3,Austria,1,2023-05-28
Bundesliga,Austria,Rapid,3,Sturm,2,2023-05-28
Bundesliga,Austria,Salzburg,3,Aus Klagenfurt,2,2023-05-28
Premier League,Ukraine,Oleksandria,0,Zorya,2,2023-05-28
Premier League,Ukraine,Shakhtar D,3,Dnipro-1,0,2023-05-28
2. Bundesliga,Germany,Greuther Fürth,4,Darmstadt 98,0,2023-05-28
2. Bundesliga,Germany,Hannover,1,Holstein,5,2023-05-28
2. Bundesliga,Germany,Kaiserslautern,0,Düsseldorf,3,2023-05-28
2. Bundesliga,Germany,Magdeburg,4,Bielefeld,0,2023-05-28
