Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
La Liga,Spain,Valladolid,1,Almería,0,2022-09-05
Serie A,Italy,Monza,0,Atalanta,2,2022-09-05
Serie A,Italy,Salernitana,2,Empoli,2,2022-09-05
Serie A,Italy,Torino,1,Lecce,0,2022-09-05
Championship,England,Middlesbrough,1,Sunderland,0,2022-09-05
MLS,USA,Portland,2,Atlanta United,1,2022-09-05
MLS,USA,DC United,0,Colorado,0,2022-09-05
MLS,USA,Toronto,3,Montréal,4,2022-09-05
MLS,USA,Galaxy,2,Sporting KC,2,2022-09-05
MLS,USA,New England,3,NYCFC,0,2022-09-05
MLS,USA,Sounders,2,Houston,1,2022-09-05
MLS,USA,Earthquakes,2,Whitecaps,0,2022-09-05
MLS,USA,Los Angeles,2,Salt Lake,0,2022-09-05
Süper Lig,Turkey,Galatasaray,2,Gaziantep,1,2022-09-05
Liga MX,Mexico,Toluca,0,Chivas,0,2022-09-05
Serie A,Brazil,Atlético GO,0,Atl. Mineiro,2,2022-09-05
Serie A,Brazil,Cuiabá,1,São Paulo,1,2022-09-05
Liga Profesional Argentina,Argentina,Colón,1,Boca Juniors,2,2022-09-05
Liga Profesional Argentina,Argentina,River Plate,2,Barracas C,0,2022-09-05
Primeira Liga,Portugal,Boavista,1,Paços Ferreira,0,2022-09-05
Primeira Liga,Portugal,Chaves,1,Rio Ave,1,2022-09-05
Superliga,Denmark,AGF,2,Nordsjælland,3,2022-09-05
Primera A,Colombia,Magdalena,2,Junior,1,2022-09-05
Primera A,Colombia,Medellín,4,Atl. Nacional,3,2022-09-05
Primera A,Colombia,América,1,Cali,0,2022-09-05
Primera División,Uruguay,Cerro Largo,1,Boston River,1,2022-09-05
Primera División,Uruguay,Cerrito,1,River Plate,5,2022-09-05
Primera División,Uruguay,Fénix,0,Plaza Colonia,1,2022-09-05
Premier League,Ukraine,Minai,1,Kolos,1,2022-09-05
Premier League,Ukraine,Oleksandria,1,FK Metalist,3,2022-09-05
Ekstraklasa,Poland,Piast,2,Miedź,1,2022-09-05
Ekstraklasa,Poland,Wisła Płock,1,Górnik,1,2022-09-05
Allsvenskan,Sweden,Kalmar,1,Varberg,0,2022-09-05
Allsvenskan,Sweden,Mjällby,1,IFK Göteborg,4,2022-09-05
Allsvenskan,Sweden,Värnamo,3,Helsingborg,2,2022-09-05
Allsvenskan,Sweden,Norrköping,4,Hammarby,1,2022-09-05
Ligue 2,France,Pau,2,Saint-Étienne,2,2022-09-05
Primera Nacional,Argentina,Belgrano,4,Tristán Suárez,1,2022-09-05
Primera Nacional,Argentina,Riestra,0,SM Tucumán,0,2022-09-05
Torneo Federal A,Argentina,Juv Antoniana,1,De. Pro.,2,2022-09-05
Torneo Federal A,Argentina,Las Parejas,1,Gimnasia Tiro,1,2022-09-05
Prim B Metro,Argentina,Dock Sud,2,Acassuso,0,2022-09-05
Prim B Metro,Argentina,Fénix,1,Cañuelas,1,2022-09-05
AFC Cup,Asia,Arabi,1,Seeb,2,2022-09-05
Primera División,Bolivia,Blooming,4,Nacional,0,2022-09-05
Primera División,Bolivia,Bolívar,3,Always Ready,0,2022-09-05
Serie C,Brazil,Volta Redonda,1,Mirassol,2,2022-09-05
First League,Bulgaria,Septemvri,0,Cherno more,0,2022-09-05
First League,Bulgaria,Levski,2,Arda,0,2022-09-05
Canadian Premier League,Canada,Wanderers,0,Cavalry,0,2022-09-05
Primera B,Colombia,Cúcuta,3,Orsomarso,0,2022-09-05
Primera División,Costa Rica,Puntarenas,0,Saprissa,1,2022-09-05
Primera División,Costa Rica,Grecia,2,Pérez Zeledón,3,2022-09-05
1. Division,Cyprus,Nea Salamis,2,Akritas,1,2022-09-05
Liga Pro,Ecuador,LDU Quito,1,Orense,2,2022-09-05
Liga Pro,Ecuador,Universidad,1,Aucas,2,2022-09-05
Premier League 2,England,Wolves,1,Fulham,1,2022-09-05
Veikkausliiga,Finland,HJK,2,HIFK,1,2022-09-05
National 1,France,Paris 13,0,Sedan,0,2022-09-05
National 1,France,Le Mans,0,Red Star,0,2022-09-05
3. Liga,Germany,Saarbrücken,2,Wiesbaden,2,2022-09-05
Liga Nacional,Guatemala,Antigua,2,Malacateco,1,2022-09-05
Liga Nacional,Honduras,Olancho,3,Real España,1,2022-09-05
Liga Nacional,Honduras,Marathón,1,UPNFM,1,2022-09-05
Liga Nacional,Honduras,Olimpia,1,Honduras,1,2022-09-05
Úrvalsdeild,Iceland,Breidablik,1,Valur,0,2022-09-05
Persian Gulf Pro League,Iran,Aluminium Arak,0,Tractor,2,2022-09-05
Persian Gulf Pro League,Iran,Havadar,1,Persepolis,3,2022-09-05
Persian Gulf Pro League,Iran,Nassaji,2,Mes Kerman,0,2022-09-05
Persian Gulf Pro League,Iran,Zob Ahan,1,Sepahan,1,2022-09-05
Persian Gulf Pro League,Iran,Gol Gohar,1,Malavan,0,2022-09-05
Persian Gulf Pro League,Iran,Foolad,0,Rafsanjan,0,2022-09-05
Persian Gulf Pro League,Iran,Sanat Naft,1,Naft MIS,2,2022-09-05
Ligat Ha'al,Israel,M Netanya,0,Hapoel TA,2,2022-09-05
Serie C,Italy,Ancona,1,Siena,1,2022-09-05
K League 2,Korea Republic,Seoul E-Land,2,Gyeongnam,1,2022-09-05
