Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Liga MX,Mexico,Mazatlán,0,Monterrey,3,2023-07-15,https://www.goal.com/en/match/mazatlan-vs-monterrey/dbixbawdw3wy4w4nr5ziiaihg
Liga MX,Mexico,Tijuana,2,Cruz Azul,1,2023-07-15,https://www.goal.com/en/match/tijuana-vs-cruz-azul/dbsh8j0yufmmi9y8jiygp4glw
Copa do Brasil,Brazil,Corinthians,3,América MG,2,2023-07-15,https://www.goal.com/en/match/corinthians-vs-america-mineiro/4z55tubpd1f4i37otoandv8k4
Liga Profesional Argentina,Argentina,Godoy Cruz,2,Def y Justicia,2,2023-07-15,https://www.goal.com/en/match/godoy-cruz-vs-defensa-y-justicia/2jmgqz4hsts9yskstner2ao0k
Liga Profesional Argentina,Argentina,Sarmiento,1,Vélez,1,2023-07-15,https://www.goal.com/en/match/sarmiento-vs-velez-sarsfield/2jgb512ox8i6q0if5za7t7z10
Liga Profesional Argentina,Argentina,Huracán,0,Talleres,1,2023-07-15,https://www.goal.com/en/match/huracan-vs-talleres-de-cordoba/2j9cqaqxhpo93nunwzj8b84yc
Liga Profesional Argentina,Argentina,Unión,0,Platense,0,2023-07-15,https://www.goal.com/en/match/union-vs-platense/2jcvfy9nijh4grl66g1y90dn8
Liga Profesional Argentina,Argentina,Racing Club,1,R. Central,1,2023-07-15,https://www.goal.com/en/match/racing-club-vs-rosario-central/2kalj9fnhxlx4abc4z8do1jpw
J1 League,Japan,Consadole,0,Albirex,1,2023-07-15,https://www.goal.com/en/match/consadole-sapporo-vs-albirex-niigata/1p08lt7k7pxa9gmxntqrhkxzo
J1 League,Japan,F Marinos,0,Kawasaki,1,2023-07-15,https://www.goal.com/en/match/yokohama-f-marinos-vs-kawasaki-frontale/1p3nyi2otimx64fvvx25br2tw
Primera A,Colombia,Envigado,1,Bucaramanga,3,2023-07-15,https://www.goal.com/en/match/envigado-vs-atletico-bucaramanga/5af0s45y1qw5ye60a4zx5mwb8
Primera A,Colombia,Huila,2,Magdalena,1,2023-07-15,https://www.goal.com/en/match/atletico-huila-vs-union-magdalena/59mk2fiidtor5wig04w7fgnis
Primera División,Uruguay,Def. Sporting,2,Danubio,1,2023-07-15,https://www.goal.com/en/match/defensor-sporting-vs-danubio/czmke89gbjdv73kmeu3azarro
Primera División,Uruguay,Liverpool,2,Plaza Colonia,2,2023-07-15,https://www.goal.com/en/match/liverpool-vs-plaza-colonia/d97403rpwu6phsbe1jpux6az8
Primera División,Uruguay,Cerro Largo,2,Racing,0,2023-07-15,https://www.goal.com/en/match/cerro-largo-vs-racing/d8vo98mz9h24spc0aj1vtyxas
Primera División,Chile,Cobresal,2,Huachipato,0,2023-07-15,https://www.goal.com/en/match/cobresal-vs-huachipato/bujurzci6oppdckzf3u7313bo
Primera División,Chile,Colo Colo,2,O'Higgins,0,2023-07-15,https://www.goal.com/en/match/colo-colo-vs-o-higgins/buc2uzokg0jfmdc9xcyqxlel0
Eliteserien,Norway,Vålerenga,0,Molde,4,2023-07-15,https://www.goal.com/en/match/valerenga-vs-molde/h6ixd3jv7oz7up0tw3xb9638
Allsvenskan,Sweden,Halmstad,2,Värnamo,2,2023-07-15,https://www.goal.com/en/match/halmstad-vs-vaernamo/3llh5vyjsf2noqr8llppior9w
Allsvenskan,Sweden,Degerfors,0,Sirius,3,2023-07-15,https://www.goal.com/en/match/degerfors-vs-sirius/3ls7htj57v77z8nv7atdrih3o
Allsvenskan,Sweden,Häcken,4,Brommapojkarna,2,2023-07-15,https://www.goal.com/en/match/haecken-vs-brommapojkarna/3lg82bbgr4vfbly1tgxhidces
