Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
FIFA Women's World Cup,World,Spain,1,England,0,2023-08-20,https://www.goal.com/en/match/spain-vs-england/6z53uiy4g6j2pq7wauz4tfuok
Premier League,England,Aston Villa,4,Everton,0,2023-08-20,https://www.goal.com/en/match/aston-villa-vs-everton/c6oe7sw0ernomi4nmhfa9erys
Premier League,England,West Ham,3,Chelsea,1,2023-08-20,https://www.goal.com/en/match/west-ham-united-vs-chelsea/c8ow08cuo1jq6wzcxapl29tzo
La Liga,Spain,Girona,3,Getafe,0,2023-08-20,https://www.goal.com/en/match/girona-vs-getafe/eriflg0glyjiq8ercu1fjc5jo
La Liga,Spain,Barcelona,2,Cádiz,0,2023-08-20,https://www.goal.com/en/match/barcelona-vs-cadiz/epprs9aul7hsst166ebrvhyxg
La Liga,Spain,Betis,0,Atlético,0,2023-08-20,https://www.goal.com/en/match/real-betis-vs-atletico-madrid/er0gmemgomx88wbpe2gk9w104
Serie A,Italy,Roma,2,Salernitana,2,2023-08-20,https://www.goal.com/en/match/roma-vs-salernitana/86n48axpmvrfthm8jxhapiq6s
Serie A,Italy,Sassuolo,0,Atalanta,2,2023-08-20,https://www.goal.com/en/match/sassuolo-vs-atalanta/86ysf9u4q7doe27mu4sc2e5n8
Serie A,Italy,Lecce,2,Lazio,1,2023-08-20,https://www.goal.com/en/match/lecce-vs-lazio/86bcjnjdvf1qy31x7l7exlkwk
Serie A,Italy,Udinese,0,Juventus,3,2023-08-20,https://www.goal.com/en/match/udinese-vs-juventus/87m80rp7z9qy4mmjm9ao5zndg
Bundesliga,Germany,Union Berlin,4,Mainz 05,1,2023-08-20,https://www.goal.com/en/match/union-berlin-vs-mainz-05/56vdvgcoaw6wwq7lea0iz10yc
Bundesliga,Germany,Frankfurt,1,Darmstadt 98,0,2023-08-20,https://www.goal.com/en/match/eintracht-frankfurt-vs-darmstadt-98/57kn7g4fqyuph2ik75rj3845w
Ligue 1,France,Lille,2,Nantes,0,2023-08-20,https://www.goal.com/en/match/lille-vs-nantes/f52f796bfqv2m5fssgz4semms
Ligue 1,France,Le Havre,1,Brest,2,2023-08-20,https://www.goal.com/en/match/le-havre-vs-brest/ji6ychirylznl95rbde1ous
Ligue 1,France,Lorient,1,Nice,1,2023-08-20,https://www.goal.com/en/match/lorient-vs-nice/f4jvhwbdgqmm419csws0w5h5g
Ligue 1,France,Reims,2,Clermont,0,2023-08-20,https://www.goal.com/en/match/reims-vs-clermont/tta0dsshh2ew622blu7eac
Ligue 1,France,Monaco,3,Strasbourg,0,2023-08-20,https://www.goal.com/en/match/monaco-vs-strasbourg/f4t4okx43uep795il4lo4dfys
Ligue 1,France,Lens,1,Rennes,1,2023-08-20,https://www.goal.com/en/match/lens-vs-rennes/a3r4p6u0irvraauk8tcjvh0
Championship,England,Norwich,3,Millwall,1,2023-08-20,https://www.goal.com/en/match/norwich-city-vs-millwall/8d3lrnlz6662vawwaqwudw4yc
Eredivisie,Netherlands,Utrecht,0,Heerenveen,2,2023-08-20,https://www.goal.com/en/match/utrecht-vs-heerenveen/3zi3dmvuv50h1jy27vr5evd3o
Eredivisie,Netherlands,Sparta,2,Feyenoord,2,2023-08-20,https://www.goal.com/en/match/sparta-rotterdam-vs-feyenoord/40vtmo5kis8le0wgjjet9p5p0
Eredivisie,Netherlands,Twente,3,Zwolle,1,2023-08-20,https://www.goal.com/en/match/twente-vs-pec-zwolle/415a3laazyr9hu39vii1u5444
Eredivisie,Netherlands,Waalwijk,1,AZ,3,2023-08-20,https://www.goal.com/en/match/rkc-waalwijk-vs-az/41exyhd94rx2koxkvdtrp6l90
Süper Lig,Turkey,Başakşehir,0,Fatih,2,2023-08-20,https://www.goal.com/en/match/istanbul-basaksehir-vs-fatih-karaguemruek/duun2y9bx6dygbny3gzv0dnv8
Süper Lig,Turkey,Beşiktaş,1,Pendik,1,2023-08-20,https://www.goal.com/en/match/besiktas-vs-pendikspor/dvf9ccpt35273qmo92kamnklw
Süper Lig,Turkey,Gaziantep,1,Sivasspor,3,2023-08-20,https://www.goal.com/en/match/gaziantep-fk-vs-sivasspor/dukb301gbam3oeq0ewc8mjr4k
First Division A,Belgium,Anderlecht,2,Westerlo,1,2023-08-20,https://www.goal.com/en/match/anderlecht-vs-westerlo/3os8gpbcuieha9jysvsmur4lw
First Division A,Belgium,Genk,0,Charleroi,0,2023-08-20,https://www.goal.com/en/match/genk-vs-sporting-charleroi/3o9upmtppiga3g272srotahw4
First Division A,Belgium,Gent,2,Sint-Truiden,2,2023-08-20,https://www.goal.com/en/match/gent-vs-sint-truiden/3p1bgdgxcq8xgjilqaq13v2ms
First Division A,Belgium,Club Brugge,7,RWDM,1,2023-08-20,https://www.goal.com/en/match/club-brugge-vs-rwdm/3pak07bl1grthg7mi7sfdokd0
First Division A,Belgium,Kortrijk,1,Eupen,3,2023-08-20,https://www.goal.com/en/match/kortrijk-vs-as-eupen/3plin2z3rtr3m35yj5urhyn10
Serie A,Brazil,Cuiabá,0,Palmeiras,2,2023-08-20,https://www.goal.com/en/match/cuiaba-vs-palmeiras/cq0y017xea3ivelvaquzqvs44
Serie A,Brazil,Fluminense,3,América MG,1,2023-08-20,https://www.goal.com/en/match/fluminense-vs-america-mineiro/cnpb1ly6qzx5qvok4ttlj7ggk
Serie A,Brazil,Cruzeiro,1,Corinthians,1,2023-08-20,https://www.goal.com/en/match/cruzeiro-vs-corinthians/cozufta45bf47icwqs1wholxw
Serie A,Brazil,Vasco,1,Atl. Mineiro,0,2023-08-20,https://www.goal.com/en/match/vasco-da-gama-vs-atletico-mineiro/cnyj2labj4u0gqdxh03bnid5g
Serie A,Brazil,Bahia,4,RB Bragantino,0,2023-08-20,https://www.goal.com/en/match/bahia-vs-rb-bragantino/cprqbw1hg3bytq2x1hg2krmdw
Serie A,Brazil,Coritiba,2,Flamengo,3,2023-08-20,https://www.goal.com/en/match/coritiba-vs-flamengo/cpiarliagagbyoyjzycjipbtg
Serie A,Brazil,Santos,2,Grêmio,1,2023-08-20,https://www.goal.com/en/match/santos-vs-gremio/coh2lcvntai9mlt57vz4z36dw
Liga Profesional Argentina,Argentina,Gimn La Plata,0,Talleres,3,2023-08-20,https://www.goal.com/en/match/gimnasia-la-plata-vs-talleres-de-cordoba/as2nina30ddz9hs5cw6xfm87o
Liga Profesional Argentina,Argentina,Vélez,1,Barracas C,0,2023-08-20,https://www.goal.com/en/match/velez-sarsfield-vs-barracas-central/arcwtz8bi6jrmtfz7mi8wi49g
Liga Profesional Argentina,Argentina,Arsenal,0,Instituto,1,2023-08-20,https://www.goal.com/en/match/arsenal-vs-instituto/arnj9z3gn0awe1j8ub53mb66s
Liga Profesional Argentina,Argentina,Sarmiento,2,Tigre,0,2023-08-20,https://www.goal.com/en/match/sarmiento-vs-tigre/asc3uw29x64e5apqsxz1n0bo4
Liga Profesional Argentina,Argentina,R. Central,0,Atl. Tucumán,0,2023-08-20,https://www.goal.com/en/match/rosario-central-vs-atletico-tucuman/arsblhzgj4ue7qdkccan5lg5w
Primeira Liga,Portugal,Estoril,2,Rio Ave,0,2023-08-20,https://www.goal.com/en/match/estoril-vs-rio-ave/9yg3ueplltalc1qykkccc13x0
Primeira Liga,Portugal,Porto,2,Farense,1,2023-08-20,https://www.goal.com/en/match/porto-vs-farense/9xb1cke7ne71ow5nmhpgwvq50
Primeira Liga,Portugal,Vizela,2,Arouca,2,2023-08-20,https://www.goal.com/en/match/vizela-vs-arouca/9wrf6umzv3cmdrl8riba5uyac
J1 League,Japan,Yokohama,0,Cerezo,1,2023-08-20,https://www.goal.com/en/match/yokohama-vs-cerezo-osaka/1smzfbdv9tlmnzpt941cdm9ec
Superliga,Denmark,Silkeborg,2,Nordsjælland,0,2023-08-20,https://www.goal.com/en/match/silkeborg-vs-nordsjaelland/9lesrxfgvhrgl5i21tuqn7ris
Superliga,Denmark,Lyngby,1,Randers,0,2023-08-20,https://www.goal.com/en/match/lyngby-vs-randers/9logok8puw7ns36cp8aqmar6c
Superliga,Denmark,Midtjylland,0,Brøndby,1,2023-08-20,https://www.goal.com/en/match/midtjylland-vs-brondby/9ly6nntsar1fhkj7tbs7mxn9w
Superliga,Denmark,OB,1,AGF,1,2023-08-20,https://www.goal.com/en/match/ob-vs-agf/9m7v4etcwg5cpjt8l6xvj7l78
Primera A,Colombia,Pereira,3,Jaguares,0,2023-08-20,https://www.goal.com/en/match/deportivo-pereira-vs-jaguares-de-cordoba/5eqrbxccs7xl0xk0xs5cddhck
Primera A,Colombia,Magdalena,2,Santa Fe,2,2023-08-20,https://www.goal.com/en/match/union-magdalena-vs-independiente-santa-fe/5fhtdce9x0z94ohvwmdhiv95g
Primera A,Colombia,Equidad,0,Junior,0,2023-08-20,https://www.goal.com/en/match/la-equidad-vs-junior/5f0sht30oyz3o54f6aypm4mqc
Primera División,Uruguay,Wanderers,0,La Luz,1,2023-08-20,https://www.goal.com/en/match/wanderers-vs-la-luz/62p6nmcqqgn9gr8617bs9kpas
Primera División,Uruguay,Boston River,1,Racing,0,2023-08-20,https://www.goal.com/en/match/boston-river-vs-racing/60dgmj9i2pfl3zbkje3vd4aac
Primera División,Uruguay,Danubio,0,City Torque,1,2023-08-20,https://www.goal.com/en/match/danubio-vs-city-torque/61x6vhgmzopdcqw3gb7a72hw4
Primera División,Uruguay,Liverpool,0,Nacional,0,2023-08-20,https://www.goal.com/en/match/liverpool-vs-nacional/61j3zq798v431hof4akkjeexg
Bundesliga,Austria,Austria,0,WAC,0,2023-08-20,https://www.goal.com/en/match/austria-wien-vs-wolfsberger-ac/f0vou63lox13vwcqa12gpbu38
Bundesliga,Austria,BW Linz,0,Rapid,5,2023-08-20,https://www.goal.com/en/match/blau-weiss-linz-vs-rapid-wien/f154lg71nyvfr4fef6u51q2vo
Bundesliga,Austria,Hartberg,1,Salzburg,5,2023-08-20,https://www.goal.com/en/match/hartberg-vs-salzburg/f1eoid878b897y5ms4fcppvro
Premier League,Ukraine,Dnipro-1,1,Obolon' Kyiv,2,2023-08-20,https://www.goal.com/en/match/dnipro-1-vs-obolon-kyiv/ce0uk970g9jcsupgsfv4f2xp0
Premier League,Ukraine,Chornomorets,3,Dynamo Kyiv,2,2023-08-20,https://www.goal.com/en/match/chornomorets-vs-dynamo-kyiv/cehwxqlfp495kbf8u76iggxlg
Premier League,Ukraine,Kryvbas KR,3,Shakhtar D,3,2023-08-20,https://www.goal.com/en/match/kryvbas-kr-vs-shakhtar-donetsk/cf0tuazfetn3jbncnldnjmihg
2. Bundesliga,Germany,Braunschweig,1,Schalke 04,0,2023-08-20,https://www.goal.com/en/match/eintracht-braunschweig-vs-schalke-04/4fqo0xn9lgz2ycgscpx9hi9lg
2. Bundesliga,Germany,Holstein,2,Magdeburg,4,2023-08-20,https://www.goal.com/en/match/holstein-kiel-vs-magdeburg/4eo7ej4nh3rc1nxsxyjaqd3pw
2. Bundesliga,Germany,Osnabrück,2,Nürnberg,3,2023-08-20,https://www.goal.com/en/match/osnabrueck-vs-nuernberg/4g061lax5qbgm65hyck4j2tqs
Ekstraklasa,Poland,ŁKS Łódź,1,Pogoń,0,2023-08-20,https://www.goal.com/en/match/lks-lodz-vs-pogon-szczecin/cm3k7ag4rqmfmvsedptz2gwes
Ekstraklasa,Poland,Śląsk,3,Lech,1,2023-08-20,https://www.goal.com/en/match/slask-wroclaw-vs-lech-poznan/cmd4kyobbdq2rqssyl9gapvkk
Ekstraklasa,Poland,Legia,1,Kielce,0,2023-08-20,https://www.goal.com/en/match/legia-warszawa-vs-korona-kielce/cl16oglxrvb5mvfu9gn20ic5w
Eliteserien,Norway,Brann,5,Aalesund,1,2023-08-20,https://www.goal.com/en/match/brann-vs-aalesund/la16cioqsy4pee1ecp5ndel0
Eliteserien,Norway,HamKam,3,Rosenborg,0,2023-08-20,https://www.goal.com/en/match/hamkam-vs-rosenborg/ldvqxoajea6dnujafjpxmkgk
Eliteserien,Norway,Haugesund,1,Bodø/Glimt,3,2023-08-20,https://www.goal.com/en/match/haugesund-vs-bodo-glimt/lhl4jgc07ghd5jnnitj2gwes
Eliteserien,Norway,Tromsø,1,Sandefjord,0,2023-08-20,https://www.goal.com/en/match/tromso-vs-sandefjord/lw69h3y8c7c4dik7u0gsaexg
Eliteserien,Norway,Viking,1,Stabæk,0,2023-08-20,https://www.goal.com/en/match/viking-vs-stabaek/m1rhnth50o8p49vbdbj86iac
Eliteserien,Norway,Strømsgodset,1,Lillestrøm,2,2023-08-20,https://www.goal.com/en/match/stromsgodset-vs-lillestrom/lsg6ba5musm529kxmbvc5vdg
Allsvenskan,Sweden,Häcken,3,Sirius,2,2023-08-20,https://www.goal.com/en/match/haecken-vs-sirius/3qx92xay58yg3fll1b82f2jh0
Allsvenskan,Sweden,Malmö,0,Djurgården,0,2023-08-20,https://www.goal.com/en/match/malmoe-ff-vs-djurgarden/3qnave1st7y80npn4p8wjdg5w
Allsvenskan,Sweden,Elfsborg,2,Mjällby,0,2023-08-20,https://www.goal.com/en/match/elfsborg-vs-mjaellby/3qtxr0mjrivs1kzia0gv5t6ac
Allsvenskan,Sweden,Kalmar,0,Hammarby,0,2023-08-20,https://www.goal.com/en/match/kalmar-vs-hammarby/3r0hmbg882daoy4yyh4p4yr6c
Super League 1,Greece,Giannina,3,Kifisia,0,2023-08-20,https://www.goal.com/en/match/pas-giannina-vs-kifisia/c381kf503ziohtbcd4fi0eh3o
Super League 1,Greece,OFI,3,Aris,2,2023-08-20,https://www.goal.com/en/match/ofi-vs-aris/c22zfosn7qb1bmr3ydn4dy784
Super League 1,Greece,PAOK,3,Asteras,0,2023-08-20,https://www.goal.com/en/match/paok-vs-asteras-tripolis/c2uboghd7ep5e6ap36g45dfro
