Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Premier League,England,Arsenal,3,Southampton,3,2023-04-21,https://www.goal.com/en/match/arsenal-vs-southampton/8627gttl9s44j98l1784aufx0
La Liga,Spain,Espanyol,0,Cádiz,0,2023-04-21,https://www.goal.com/en/match/espanyol-vs-cadiz/a0sz25e7sp10ytxr0yyg8duz8
Serie A,Italy,Verona,2,Bologna,1,2023-04-21,https://www.goal.com/en/match/hellas-verona-vs-bologna/5f7qaxjlh8lihdm1586qnefpw
Bundesliga,Germany,Augsburg,1,Stuttgart,1,2023-04-21,https://www.goal.com/en/match/augsburg-vs-stuttgart/e1b6fs77o8f239zxtf4xv77ro
Ligue 1,France,Angers,1,PSG,2,2023-04-21,https://www.goal.com/en/match/angers-sco-vs-psg/1e81ovgpav4s8apyn4znnbs44
CONMEBOL Libertadores,South America,Racing Club,3,Aucas,2,2023-04-21,https://www.goal.com/en/match/racing-club-vs-aucas/7m7fn83cz4m3j8t4bhk4mcgt0
CONMEBOL Libertadores,South America,Atl. Nacional,3,Melgar,1,2023-04-21,https://www.goal.com/en/match/atletico-nacional-vs-melgar/aq60i7k7j50esarhvizw9rzmc
CONMEBOL Libertadores,South America,Palmeiras,2,Cerro Porteño,1,2023-04-21,https://www.goal.com/en/match/palmeiras-vs-cerro-porteno/dbwrkyexdynbizcj2dcv8kwlw
CONMEBOL Libertadores,South America,Libertad,1,Alianza Lima,2,2023-04-21,https://www.goal.com/en/match/libertad-vs-alianza-lima/li4akmkilp0e6t7jspfnjuvo
CONMEBOL Sudamericana,South America,Peñarol,0,Millonarios,2,2023-04-21,https://www.goal.com/en/match/penarol-vs-millonarios/a8rpzpf8iq6ilb5eqk70wtslw
CONMEBOL Sudamericana,South America,San Lorenzo,0,Fortaleza,2,2023-04-21,https://www.goal.com/en/match/san-lorenzo-vs-fortaleza/66a4n5r7exq2miui4nwl7wno
CONMEBOL Sudamericana,South America,Santos,0,Audax,0,2023-04-21,https://www.goal.com/en/match/santos-vs-audax-italiano/7iq2onx611d8r8fb72spz23o4
CONMEBOL Sudamericana,South America,Botafogo,4,César Vallejo,0,2023-04-21,https://www.goal.com/en/match/botafogo-vs-cesar-vallejo/cjaid71i9xcikjfddcxnhh990
CONMEBOL Sudamericana,South America,Dep. Tolima,1,Tigre,2,2023-04-21,https://www.goal.com/en/match/deportes-tolima-vs-tigre/3rwbk903i08aulsnoq2330h78
CONMEBOL Sudamericana,South America,Emelec,1,Huracán,0,2023-04-21,https://www.goal.com/en/match/emelec-vs-huracan/1zxoq7w9rmuc32rtaupmh2pec
CONMEBOL Sudamericana,South America,Universitario,2,Goiás,2,2023-04-21,https://www.goal.com/en/match/universitario-vs-goias/er95ks4pd1nurlmn5ivihe7f8
Eredivisie,Netherlands,Volendam,2,Cambuur,0,2023-04-21,https://www.goal.com/en/match/volendam-vs-cambuur/3v30ssqhdxm6o14iyw81euntg
A-League Men,Australia,Wanderers,4,Wellington,0,2023-04-21,https://www.goal.com/en/match/western-sydney-wanderers-vs-wellington-phoenix/2r1jppxei9isgxen0lg5tidjo
Liga MX,Mexico,Tigres,1,Puebla,0,2023-04-21,https://www.goal.com/en/match/tigres-uanl-vs-puebla/1rol0yyoj2wia9i7h98pjfj84
Primeira Liga,Portugal,Casa Pia,0,Braga,1,2023-04-21,https://www.goal.com/en/match/casa-pia-vs-sporting-braga/c2l7dwr7ktpydm1k7urh8vu38
Superliga,Denmark,Silkeborg,2,AaB,2,2023-04-21,https://www.goal.com/en/match/silkeborg-vs-aab/79vpoxv4q9ws4wr20smkr9a1g
Bundesliga,Austria,WAC,2,Hartberg,2,2023-04-21,https://www.goal.com/en/match/wolfsberger-ac-vs-hartberg/ew1zsch915jlvynwufyyf56ac
Premier League,Ukraine,Kolos,0,Zorya,1,2023-04-21,https://www.goal.com/en/match/kolos-kovalivka-vs-zorya/1ajoscegkk1fmm5raikvkrifo
2. Bundesliga,Germany,Darmstadt 98,2,Karlsruhe,1,2023-04-21,https://www.goal.com/en/match/darmstadt-98-vs-karlsruher-sc/4jul68ee71192axfoheu443dg
2. Bundesliga,Germany,Hamburg,4,St. Pauli,3,2023-04-21,https://www.goal.com/en/match/hamburger-sv-vs-st-pauli/4jr2t755il2g87dqi1cashx5g
Ekstraklasa,Poland,Wisła Płock,2,Jagiellonia,4,2023-04-21,https://www.goal.com/en/match/wisla-plock-vs-jagiellonia-bialystok/dxjx18q3achjbcckrvaemj3f8
Ekstraklasa,Poland,Warta Poznań,1,Legia,0,2023-04-21,https://www.goal.com/en/match/warta-poznan-vs-legia-warszawa/dxblxmmcwcauh7q8e4vyd18gk
Serie B,Italy,Reggina,1,Brescia,2,2023-04-21,https://www.goal.com/en/match/reggina-vs-brescia/bmk78qezrhex7egz1r7eyhas
Championship,Scotland,Ayr Utd,0,Queen's Park,0,2023-04-21,https://www.goal.com/en/match/ayr-united-vs-queen-s-park/b8351yvgeyjfxw846aohujor8
Premier League,Armenia,Van,4,L. Artsakh,0,2023-04-21,https://www.goal.com/en/match/van-vs-lernayin-artsakh/1n7xha9rsis0c9x9i7p2e4qok
Premier League,Armenia,Alashkert,3,Noah,0,2023-04-21,https://www.goal.com/en/match/alashkert-vs-noah/1n3s5irfbuzj0uqb9mqp9fevo
Victoria NPL,Australia,Heidelberg,1,North Geelong,1,2023-04-21,https://www.goal.com/en/match/heidelberg-united-vs-north-geelong-warriors/sl2x7nfcp3r5ry5norg4d3bo
Victoria NPL,Australia,Oakleigh,5,Altona Magic,1,2023-04-21,https://www.goal.com/en/match/oakleigh-cannons-vs-altona-magic/si5zr8tiju3gz19begvs3xuc
New South Wales NPL,Australia,Sydney,0,Western Sydney,1,2023-04-21,https://www.goal.com/en/match/sydney-ii-vs-western-sydney-w-ii/9uvjat5z1erl6koqciuqfsiz8
