Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
FIFA World Cup,World,France,3,Poland,1,2022-12-04,https://www.goal.com/en/match/france-vs-poland/21c4pmd61gkqhqo8uxwrk7nfu
FIFA World Cup,World,England,3,Senegal,0,2022-12-04,https://www.goal.com/en/match/england-vs-senegal/3yowhdtoklrukfkubuqxm3gx6
League One,England,Wycombe,2,Portsmouth,0,2022-12-04,https://www.goal.com/en/match/wycombe-wanderers-vs-portsmouth/7ustb6ccv32vrpklr78cszfo4
Serie B,Italy,SPAL,2,Modena,3,2022-12-04,https://www.goal.com/en/match/spal-vs-modena/ewl3buovixr3fr0o6lmn34ydw
Serie B,Italy,Ascoli,3,Como,3,2022-12-04,https://www.goal.com/en/match/ascoli-vs-como/evv3sz9mk3ty21tfwclfujn6c
Serie B,Italy,Bari,0,Pisa,0,2022-12-04,https://www.goal.com/en/match/bari-vs-pisa/evysk5nmzr638b7qx9sk4wxlg
Serie B,Italy,Brescia,0,Reggina,2,2022-12-04,https://www.goal.com/en/match/brescia-vs-reggina/ew6cnd3nubu3lrf6ayxhu6978
Serie B,Italy,Cosenza,0,Perugia,0,2022-12-04,https://www.goal.com/en/match/cosenza-vs-perugia/ewdur92mwubx74tfafk2suql0
Serie B,Italy,Genoa,0,Cittadella,1,2022-12-04,https://www.goal.com/en/match/genoa-vs-cittadella/ewhfjdkux342lery6f6m28ufo
Serie B,Italy,Südtirol,1,Frosinone,1,2022-12-04,https://www.goal.com/en/match/suedtirol-vs-frosinone/ewoq264p8m4rb552o5eq0qoes
Serie B,Italy,Benevento,0,Palermo,1,2022-12-04,https://www.goal.com/en/match/benevento-vs-palermo/ew2kab5du0gntdk3gmq1e4hzo
Club Friendlies,World,Ümraniye,2,Partizani,2,2022-12-04,https://www.goal.com/en/match/uemraniyespor-vs-partizani-tirana/9i57owb301wkz7cfj2sy9045w
Club Friendlies,World,Demirspor,3,Maccabi TA,6,2022-12-04,https://www.goal.com/en/match/adana-demirspor-vs-maccabi-tel-aviv/4mgbyfeqs2p0carq3xjf03tw4
Premier League,Armenia,Alashkert,0,Ararat,1,2022-12-04,https://www.goal.com/en/match/alashkert-vs-ararat/1iaxclmzpaqpque15aa19prtg
Premier League,Armenia,Shirak,2,Urartu,3,2022-12-04,https://www.goal.com/en/match/shirak-vs-urartu/1ij9rudmngtgcgg4279hxp0yc
A-League Women,Australia,Adelaide,1,Western United,2,2022-12-04,https://www.goal.com/en/match/adelaide-united-vs-western-united/6wdit9gxi5zae93uzgjgm94pg
A-League Women,Australia,Victory,1,Wellington,0,2022-12-04,https://www.goal.com/en/match/melbourne-victory-vs-wellington-phoenix/6wgu58pi7fagnm7bos2r862hg
Challenger Pro League,Belgium,Dender,2,Beerschot,3,2022-12-04,https://www.goal.com/en/match/dender-vs-beerschot/bnj7pbfaknt9175325e3t3huc
Challenger Pro League,Belgium,Deinze,1,SK Beveren,4,2022-12-04,https://www.goal.com/en/match/deinze-vs-sk-beveren/bnn6v0mh685i7uucdjusnf3f8
Cup,Bulgaria,Ludogorets,2,Levski,1,2022-12-04,https://www.goal.com/en/match/ludogorets-vs-levski-sofia/4kcn7hw7lousys4anl8o33vo4
CSL,China PR,Cangzhou,0,Three Towns,4,2022-12-04,https://www.goal.com/en/match/cangzhou-mighty-lions-vs-wuhan-three-towns/gxf63eqqzjuccm8e5bg2d3pw
CSL,China PR,Guangzhou City,1,Port,2,2022-12-04,https://www.goal.com/en/match/guangzhou-city-vs-shanghai-port/h1r804hj9u0ptnwpd33qbbpw
CSL,China PR,Wuhan Yangtze,1,Changchun,1,2022-12-04,https://www.goal.com/en/match/wuhan-yangtze-vs-changchun-yatai/hws79vjx0tgz90mdvobxvx1w
China League One,China PR,Dongwu,0,BSU,0,2022-12-04,https://www.goal.com/en/match/suzhou-dongwu-vs-beijing-bsu/59bd0ht4wbfia8k9y57ssrg2c
China League One,China PR,Nanjing City,1,Jiading,3,2022-12-04,https://www.goal.com/en/match/nanjing-city-vs-shanghai-jiading/598gbc4cfue6xzzwj1yrgwd1w
China League One,China PR,West Coast,2,Tianshan,1,2022-12-04,https://www.goal.com/en/match/qingdao-west-coast-vs-xinjiang-tianshan/59pmc84t5cq5t4ka7p2hq1mhg
China League One,China PR,Zibo Cuju,1,Lushan,2,2022-12-04,https://www.goal.com/en/match/zibo-cuju-vs-jiangxi-lushan/59k1ben4xftbcnc0l8lefz76c
1. Division,Cyprus,Anorthosis,0,Aris Limassol,2,2022-12-04,https://www.goal.com/en/match/anorthosis-vs-aris-limassol/22erchlr30xhsjrll8pp0sd90
1. Division,Cyprus,Apollon,N/A,AEL,N/A,2022-12-04,https://www.goal.com/en/match/apollon-vs-ael/21rhaahyn3svvtqz5iwwfzlec
Women's Super League,England,Reading,1,Spurs,0,2022-12-04,https://www.goal.com/en/match/reading-vs-tottenham-hotspur/e8zsytfcom6evyxacdrtpbzmc
Women's Super League,England,Liverpool,2,West Ham,0,2022-12-04,https://www.goal.com/en/match/liverpool-vs-west-ham-united/e8nruv9sxm83v6r3zsph7qkno
Women's Super League,England,Man City,3,Brighton,1,2022-12-04,https://www.goal.com/en/match/manchester-city-vs-brighton-and-hove-albion/e8rsej6bm21oo0qzpfdki1ij8
Women's Championship,England,Durham,1,Bristol City,1,2022-12-04,https://www.goal.com/en/match/durham-vs-bristol-city/dmfwg631e9k28wgtkso0v9iqc
Women's Championship,England,Blackburn,0,Birmingham,2,2022-12-04,https://www.goal.com/en/match/blackburn-rovers-vs-birmingham-city/dp7v5vbvpzrvce4o5fkjqtul0
Women's Championship,England,Charlton,1,Sheff Utd,0,2022-12-04,https://www.goal.com/en/match/charlton-athletic-vs-sheffield-united/dm99x54q7gng73rf0zp80tyxg
Women's Championship,England,Coventry Utd,0,Sunderland,5,2022-12-04,https://www.goal.com/en/match/coventry-united-vs-sunderland/dmcne2jl1x06rcwk3xiwp5v6c
Women's Championship,England,Lewes,0,Crystal Palace,1,2022-12-04,https://www.goal.com/en/match/lewes-vs-crystal-palace/dmj7pxy65yjk1cl9zg0fkvq50
Women's Championship,England,London City,1,Southampton,1,2022-12-04,https://www.goal.com/en/match/london-city-lionesses-vs-southampton/dmmk330h9wt0ch1mz3adcx1jo
Feminine Division 1,France,Paris,0,PSG,1,2022-12-04,https://www.goal.com/en/match/paris-fc-vs-psg/37rozx0vdnyuo84f65m80b9qs
