Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Friendlies,World,Ireland,3,Latvia,2,2023-03-22,https://www.goal.com/en/match/republic-of-ireland-vs-latvia/f198t27umbzgwnpzlq4rup34k
Liga Profesional Argentina,Argentina,Vélez,4,Córdoba SdE,0,2023-03-22,https://www.goal.com/en/match/velez-sarsfield-vs-central-cordoba-sde/1v2buu23ne9nvaop04es1k4r8
Primera A,Colombia,Santa Fe,3,Cali,0,2023-03-22,https://www.goal.com/en/match/independiente-santa-fe-vs-deportivo-cali/a95pg5wulyg01wmktchvv7itw
League Two,England,Mansfield Town,0,Grimsby,0,2023-03-22,https://www.goal.com/en/match/mansfield-town-vs-grimsby-town/9qur0npisjpbc2m71fqt4ha8k
Africa Cup of Nations Qualification,Africa,Benin,1,Rwanda,1,2023-03-22,https://www.goal.com/en/match/benin-vs-rwanda/6nnitlh0j3s3aix4tv8fupclw
Africa Cup of Nations Qualification,Africa,Sierra Leone,2,São Tomé,2,2023-03-22,https://www.goal.com/en/match/sierra-leone-vs-sao-tome-e-principe/3uc2o8dbh1o004b83pu2ga9ec
Catarinense 1,Brazil,Criciúma,0,Avaí,0,2023-03-22,https://www.goal.com/en/match/criciuma-vs-avai/embdpap251mvjfsdqheucgowk
Piauiense,Brazil,FAC,0,Altos,3,2023-03-22,https://www.goal.com/en/match/ferroviario-pi-vs-altos/66fksic42cyvd9vqh35gnfg2c
Paulista A2,Brazil,Ponte Preta,3,Comercial,0,2023-03-22,https://www.goal.com/en/match/ponte-preta-vs-comercial/2f0gx4o3ynfoifdkrg0cvc2dw
Paulista A2,Brazil,Noroeste,0,Velo,0,2023-03-22,https://www.goal.com/en/match/noroeste-vs-velo-clube/2fdp0303825am5fpzcu0l2djo
Primera B,Chile,Wanderers,3,San Felipe,2,2023-03-22,https://www.goal.com/en/match/santiago-wanderers-vs-union-san-felipe/30ad2nsmke112j3ms3nrmu4us
