Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
FIFA World Cup,World,Croatia,1,Brazil,1,2022-12-09,https://www.goal.com/en/match/croatia-vs-brazil/6pjywulo227g9olkreqoforxm
FIFA World Cup,World,Netherlands,2,Argentina,2,2022-12-09,https://www.goal.com/en/match/netherlands-vs-argentina/8eu2695b9d7eztjmikxp446lm
A-League Men,Australia,Brisbane,1,Adelaide Utd,1,2022-12-09,https://www.goal.com/en/match/brisbane-roar-vs-adelaide-united/2eclel9a0ylicxneyr6zbk3kk
League Two,England,Crawley,0,Hartlepool,2,2022-12-09,https://www.goal.com/en/match/crawley-town-vs-hartlepool-united/9p057gtn1u2q4ewts4i7qt8gk
Club Friendlies,World,Kayseri,5,Giresun,3,2022-12-09,https://www.goal.com/en/match/kayserispor-vs-giresunspor/ejgy4kjv8dvrlqwpx43anko44
Club Friendlies,World,Tottenham,4,Motherwell,0,2022-12-09,https://www.goal.com/en/match/tottenham-hotspur-vs-motherwell/acutnu9u3m8sy6yf5oo07jhg4
Premier League,Armenia,Ararat-Armenia,1,L. Artsakh,0,2022-12-09,https://www.goal.com/en/match/ararat-armenia-vs-lernayin-artsakh/1gpx6d4ehrb4jl70tbaux67tg
Premier League,Armenia,Pyunik,0,Urartu,3,2022-12-09,https://www.goal.com/en/match/pyunik-vs-urartu/1gy69g83nmb11wslqfxdgyihg
Premier League,Bangladesh,Abahani Dhaka,1,Fortis,1,2022-12-09,https://www.goal.com/en/match/abahani-dhaka-vs-fortis/1qex1pxofwywfjgnr8nyk5l3o
Premier League,Bangladesh,Kings,3,Uttara,0,2022-12-09,https://www.goal.com/en/match/bashundhara-kings-vs-afc-uttara/1q9l2yj7k8569oxb1bpc1v3tg
Premier League,Bangladesh,Jamal,2,Rahmatgonj,2,2022-12-09,https://www.goal.com/en/match/sheikh-jamal-vs-rahmatgonj-mfs/1qjkgeqhptq5cdg781kp3fz10
Challenger Pro League,Belgium,Genk II,1,Club Brugge II,2,2022-12-09,https://www.goal.com/en/match/krc-genk-ii-vs-club-brugge-ii/bojlqyyatotv82ld0ho5lq590
Challenger Pro League,Belgium,SK Beveren,4,Anderlecht II,1,2022-12-09,https://www.goal.com/en/match/sk-beveren-vs-rsc-anderlecht-ii/bo2qo9a6tf4g1jsn3nh21gxec
