Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Premier League,England,Aston Villa,2,Leeds,1,2023-01-13,https://www.goal.com/en/match/aston-villa-vs-leeds-united/7sy9ww366i17um5nbre7pgrv8
La Liga,Spain,Celta Vigo,1,Villarreal,1,2023-01-13,https://www.goal.com/en/match/celta-de-vigo-vs-villarreal/9lzizure5nnyeey6akd9txnh0
Serie A,Italy,Napoli,5,Juventus,1,2023-01-13,https://www.goal.com/en/match/napoli-vs-juventus/51x851gpcx8jfpvpup943hkpg
AFF Championship,Asia,Vietnam,2,Thailand,2,2023-01-13,https://www.goal.com/en/match/vietnam-vs-thailand/4a1qws7t194mlsxjvp9qhq590
A-League Men,Australia,Macarthur,1,Central Coast,2,2023-01-13,https://www.goal.com/en/match/macarthur-vs-central-coast-mariners/2htj1tliwgi36mpro58cjwums
Süper Lig,Turkey,Kayseri,4,Sivasspor,1,2023-01-13,https://www.goal.com/en/match/kayserispor-vs-sivasspor/t4wnlkvdfeyr17sfkmsnqolw
Süper Lig,Turkey,Galatasaray,4,Hatay,0,2023-01-13,https://www.goal.com/en/match/galatasaray-vs-hatayspor/sbgpm8bqbzmq6bj9ur97af4k
Premiership,Scotland,Hearts,1,St. Mirren,0,2023-01-13,https://www.goal.com/en/match/hearts-vs-st-mirren/9m3r4ofdyrlx5gwk1q844t2j8
Liga MX,Mexico,Atlas,2,Mazatlán,1,2023-01-13,https://www.goal.com/en/match/atlas-vs-mazatlan/6v45oz5zm84mv98wk2cgs6jv8
First Division A,Belgium,Westerlo,1,OHL,2,2023-01-13,https://www.goal.com/en/match/westerlo-vs-oh-leuven/dlnn04m3bhefdkjof0qemprmc
Primeira Liga,Portugal,Portimonense,0,Santa Clara,0,2023-01-13,https://www.goal.com/en/match/portimonense-vs-santa-clara/bpytfcieqtw8zhqb3lpdprytw
Ligue 2,France,Annecy,2,Paris,0,2023-01-13,https://www.goal.com/en/match/annecy-vs-paris-fc/akxwg3wjk7m01sv5cjyu89c7o
Ligue 2,France,Bastia,1,Pau,0,2023-01-13,https://www.goal.com/en/match/bastia-vs-pau/alc65wc9579ytuc2322lmyx3o
Ligue 2,France,Bordeaux,1,Amiens,1,2023-01-13,https://www.goal.com/en/match/bordeaux-vs-amiens-sc/172pxrfsxjeouxctj0s111250
Ligue 2,France,Dijon,2,Valenciennes,1,2023-01-13,https://www.goal.com/en/match/dijon-vs-valenciennes/alfufpzfegyp2tvuiov05kmxg
Ligue 2,France,Guingamp,2,Grenoble,4,2023-01-13,https://www.goal.com/en/match/guingamp-vs-grenoble-foot-38/alodxde2ez6o7xkiv57h7ozro
Ligue 2,France,Laval,3,Rodez,1,2023-01-13,https://www.goal.com/en/match/laval-vs-rodez/al1iz36x7xg5e25r678neb7ro
Ligue 2,France,Le Havre,3,Nîmes,1,2023-01-13,https://www.goal.com/en/match/le-havre-vs-nimes/alkw4nrzsgzeisj9he4jl6ivo
Ligue 2,France,Metz,2,QRM,0,2023-01-13,https://www.goal.com/en/match/metz-vs-quevilly-rouen/akubw8706zmtcge3x8srgrmdw
Club Friendlies,World,Bayern München,4,Salzburg,4,2023-01-13,https://www.goal.com/en/match/bayern-muenchen-vs-salzburg/3v0p6mtfb7jts0chgimvpa9zo
CAF African Nations Championship,Africa,Algeria,1,Libya,0,2023-01-13,https://www.goal.com/en/match/algeria-vs-libya/2d2u16psohsrrudo59nap9rtg
Superliga,Albania,Bylis,0,Kukësi,0,2023-01-13,https://www.goal.com/en/match/bylis-vs-kukesi/axl01qb8g7ft486e65slh53is
Superliga,Albania,Laçi,1,Tirana,2,2023-01-13,https://www.goal.com/en/match/laci-vs-tirana/axor1110tafqecnkai2l949hw
Superliga,Albania,Partizani,1,Vllaznia,2,2023-01-13,https://www.goal.com/en/match/partizani-tirana-vs-vllaznia-shkoder/axshbbbqi4oga9a6ejx6etxqs
Gulf Cup of Nations,Asia,Bahrain,1,Kuwait,1,2023-01-13,https://www.goal.com/en/match/bahrain-vs-kuwait/3j4ysudmtpyh1g92yz06u6238
Gulf Cup of Nations,Asia,Qatar,1,UAE,1,2023-01-13,https://www.goal.com/en/match/qatar-vs-uae/3j1eur884talsc9tjgyb1b76c
Premier League,Bangladesh,Abahani Dhaka,5,Abahani Chitta,1,2023-01-13,https://www.goal.com/en/match/abahani-dhaka-vs-abahani-chittagong/1shhnbdkhfcleujkodeix0idw
Premier League,Bangladesh,Uttara,0,Muktijoddha,1,2023-01-13,https://www.goal.com/en/match/afc-uttara-vs-muktijoddha-skc/1skyfyumo0rfaopfx4u9bjytw
Premier League,Bangladesh,Kings,1,Bangladesh Pol,0,2023-01-13,https://www.goal.com/en/match/bashundhara-kings-vs-bangladesh-police/1se0j1wuhum6yg17wkkldkx78
