Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Friendlies,World,United States,1,Serbia,2,2023-01-26,https://www.goal.com/en/match/united-states-vs-serbia/87lb58bsmcp8ei1sy41f8cus
Eredivisie,Netherlands,Groningen,0,Cambuur,1,2023-01-26,https://www.goal.com/en/match/groningen-vs-cambuur/3jelpk334bvy8sidz5moo2cyc
Eredivisie,Netherlands,Ajax,1,Volendam,1,2023-01-26,https://www.goal.com/en/match/ajax-vs-volendam/3jkare323syeqi01dz79f65uc
A-League Men,Australia,Mel Victory,1,Sydney,2,2023-01-26,https://www.goal.com/en/match/melbourne-victory-vs-sydney/2j868mlyrlgklehpz16h999n8
Primeira Liga,Portugal,Paços Ferreira,0,Benfica,2,2023-01-26,https://www.goal.com/en/match/pacos-de-ferreira-vs-benfica/btueuxbsns07jnopndskqc3dg
Copa del Rey,Spain,Osasuna,2,Sevilla,1,2023-01-26,https://www.goal.com/en/match/osasuna-vs-sevilla/1goeo228oeo1ie0rpzk0zgis4
Copa del Rey,Spain,Valencia,1,Athletic Club,3,2023-01-26,https://www.goal.com/en/match/valencia-vs-athletic-club/65uhxzdo7yon7qsgi2nz3x1qs
Copa del Rey,Spain,Real Madrid,3,Atlético,1,2023-01-26,https://www.goal.com/en/match/real-madrid-vs-atletico-madrid/ei9zbielt2rnhga5jren5pnv8
Primera A,Colombia,Águilas D,1,Junior,1,2023-01-26,https://www.goal.com/en/match/aguilas-doradas-vs-junior/23jasudu5z0acioa49hy0gems
Superliga,Albania,Egnatia,1,Kukësi,2,2023-01-26,https://www.goal.com/en/match/egnatia-rrogozhine-vs-kukesi/aykvwtbryumqimkz7o4i3mmfo
Superliga,Albania,Partizani,0,Teuta,2,2023-01-26,https://www.goal.com/en/match/partizani-tirana-vs-teuta-durres/ayzpetpxhrq1re3hheq7d8etw
Superliga,Albania,Erzeni,0,Tirana,2,2023-01-26,https://www.goal.com/en/match/erzeni-shijak-vs-tirana/ayoo3xhe81rxvn47n766p045w
A-League Women,Australia,Victory,3,Sydney,6,2023-01-26,https://www.goal.com/en/match/melbourne-victory-vs-sydney/70ed9ebmd5coyuvxtab9hctn8
Paulista A1,Brazil,RB Bragantino,2,Ferroviária,0,2023-01-26,https://www.goal.com/en/match/rb-bragantino-vs-ferroviaria/cdynwenir7pbcuf3gge6g70gk
Paulista A1,Brazil,Ituano,1,Palmeiras,3,2023-01-26,https://www.goal.com/en/match/ituano-vs-palmeiras/cdshoypnjd9cj4vdwqei77od0
Paulista A1,Brazil,Santo André,1,Botafogo SP,1,2023-01-26,https://www.goal.com/en/match/santo-andre-vs-botafogo-sp/cdpayj3e38z4jvgggp88jckk4
Paulista A1,Brazil,Santos,0,Água Santa,0,2023-01-26,https://www.goal.com/en/match/santos-vs-agua-santa/ce1my9tet3519k7tfd23fwd90
Paulista A1,Brazil,São Bento,1,Inter Limeira,0,2023-01-26,https://www.goal.com/en/match/sao-bento-vs-inter-de-limeira/ce53b6d9jsbjfsxu05pjrgl5g
Carioca Série A,Brazil,Volta Redonda,5,Resende,1,2023-01-26,https://www.goal.com/en/match/volta-redonda-vs-resende/7c3t4zbx4zfadvdunh90o2mfo
Carioca Série A,Brazil,Portuguesa,0,Vasco,2,2023-01-26,https://www.goal.com/en/match/portuguesa-rj-vs-vasco-da-gama/7bqm7yl4a13jtxl076ikydzbo
Gaúcho 1,Brazil,Avenida,1,Internacional,1,2023-01-26,https://www.goal.com/en/match/avenida-vs-internacional/b76q0tilq6h389102uigfep78
Gaúcho 1,Brazil,Grêmio,1,Brasil Pelotas,0,2023-01-26,https://www.goal.com/en/match/gremio-vs-brasil-de-pelotas/b7iwp1mv6x60g6qjin0misy6s
Paranaense 1,Brazil,Azuriz,1,Independente,1,2023-01-26,https://www.goal.com/en/match/azuriz-vs-independente-fsj/7nww8f3luh0mmch4xpj066eqc
Paranaense 1,Brazil,Cascavel,1,Cianorte,1,2023-01-26,https://www.goal.com/en/match/cascavel-vs-cianorte/7o2kgot9ni7icz7fuuq7t43ys
Paranaense 1,Brazil,Paranaense,3,Foz Iguaçu,1,2023-01-26,https://www.goal.com/en/match/athletico-paranaense-vs-foz-do-iguacu/7nzt67104iuk8yka13bzldmvo
Paranaense 1,Brazil,Maringá,0,Coritiba,1,2023-01-26,https://www.goal.com/en/match/maringa-vs-coritiba/7o5ecohzvc91c09qlxz5vlyqc
Catarinense 1,Brazil,Hercílio,1,Avaí,0,2023-01-26,https://www.goal.com/en/match/hercilio-luz-vs-avai/78pw8uwknpxo52qisv1t5mt5g
Catarinense 1,Brazil,Camboriú,1,Concórdia,1,2023-01-26,https://www.goal.com/en/match/camboriu-vs-concordia/791xcerh4bhhhwpmahraxkm50
Catarinense 1,Brazil,Figueirense,0,Chapecoense,1,2023-01-26,https://www.goal.com/en/match/figueirense-vs-chapecoense/78lpwovp7edn01c50uoglsjdg
Catarinense 1,Brazil,Barra,1,Atlético SC,0,2023-01-26,https://www.goal.com/en/match/barra-vs-atletico-catarinense/78y44zajrvmd2o2or29r3vn6c
Cearense 1,Brazil,Barbalha,0,Maracanã,1,2023-01-26,https://www.goal.com/en/match/barbalha-vs-maracana/4skjrfciioj059hxslnzj105w
Cearense 1,Brazil,Ceará,4,Pacajus,0,2023-01-26,https://www.goal.com/en/match/ceara-vs-pacajus/4sodew714466ms1pxx4j4dgr8
Goiano 1,Brazil,CRAC,3,Goiás,3,2023-01-26,https://www.goal.com/en/match/crac-vs-goias/109z3g111af94puuh1m3rfspg
Goiano 1,Brazil,Atlético GO,1,Anápolis,2,2023-01-26,https://www.goal.com/en/match/atletico-goianiense-vs-anapolis/1062wy95dtk2ja64znf2s3310
Goiano 1,Brazil,Goianésia,1,G Anapolis,0,2023-01-26,https://www.goal.com/en/match/goianesia-vs-gremio-anapolis/10ds3b8mb8txd14x6u4f7i9zo
Goiano 1,Brazil,Morrinhos,4,Goiânia,0,2023-01-26,https://www.goal.com/en/match/morrinhos-vs-goiania/10hm2k1vgkoiwn5rekspr9vdg
Goiano 1,Brazil,Aparecidense,2,Inhumas,0,2023-01-26,https://www.goal.com/en/match/aparecidense-vs-inhumas/1029t4ig9sbwoq05zzgwrkff8
Goiano 1,Brazil,Vila Nova,3,Iporá,0,2023-01-26,https://www.goal.com/en/match/vila-nova-vs-ipora/10n082pf4mh06cipxtvrimfis
Baiano 1,Brazil,Alagoinhas,0,Jacuipense,1,2023-01-26,https://www.goal.com/en/match/atletico-alagoinhas-vs-jacuipense/6qaa1qgj6af2xv149aqquifpw
Baiano 1,Brazil,Jacobinense,1,Bahia,0,2023-01-26,https://www.goal.com/en/match/jacobinense-vs-bahia/6qdnw52nqi1o1wp5xcg2mx89g
Pernambucano 1,Brazil,Retrô,1,Náutico,1,2023-01-26,https://www.goal.com/en/match/retro-vs-nautico/580o6h7x3fbax96121y1xti50
Alagoano 1,Brazil,Aliança AL,0,Cruzeiro,5,2023-01-26,https://www.goal.com/en/match/alianca-al-vs-cruzeiro-arapiraca/4v83yujhw9wyjes2t7vdpfi1g
Alagoano 1,Brazil,ASA,1,CSE,1,2023-01-26,https://www.goal.com/en/match/asa-vs-cse/4v1mrctzjgagj8qu9sfaibe38
Alagoano 1,Brazil,CRB,1,Coruripe,1,2023-01-26,https://www.goal.com/en/match/crb-vs-coruripe/4v4vpjz5bc1xkstp34rywiihg
