Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
La Liga,Spain,Cádiz,2,Mallorca,0,2023-01-28,https://www.goal.com/en/match/cadiz-vs-mallorca/9o5db1yrfm6oug7viq5q1as5w
La Liga,Spain,Girona,0,Barcelona,1,2023-01-28,https://www.goal.com/en/match/girona-vs-barcelona/9oq751x53toiwwu0jwnz76c5w
La Liga,Spain,Sevilla,3,Elche,0,2023-01-28,https://www.goal.com/en/match/sevilla-vs-elche/9oxjyxp38ch3y6xxcgjukm6fo
La Liga,Spain,Getafe,0,Betis,1,2023-01-28,https://www.goal.com/en/match/getafe-vs-real-betis/9otwomk8yk3lwwk84zf9kyr6c
Serie A,Italy,Empoli,2,Torino,2,2023-01-28,https://www.goal.com/en/match/empoli-vs-torino/53qbx4ks7oa1dca960ryo0aok
Serie A,Italy,Cremonese,1,Inter,2,2023-01-28,https://www.goal.com/en/match/cremonese-vs-internazionale/53mvgmap8kgkmf3a1gl4j9rf8
Serie A,Italy,Atalanta,2,Sampdoria,0,2023-01-28,https://www.goal.com/en/match/atalanta-vs-sampdoria/53g18d7e6trs2ksu0tw40mf4k
Bundesliga,Germany,Bremen,2,Wolfsburg,1,2023-01-28,https://www.goal.com/en/match/werder-bremen-vs-wolfsburg/dpo8f8posuq8hgjhuoramta1g
Bundesliga,Germany,Freiburg,3,Augsburg,1,2023-01-28,https://www.goal.com/en/match/freiburg-vs-augsburg/dp34f3v68ti9ik2nvr0446y38
Bundesliga,Germany,Hertha BSC,0,Union Berlin,2,2023-01-28,https://www.goal.com/en/match/hertha-bsc-vs-union-berlin/dpfo8oq8lelt9eqcez5jzesd0
Bundesliga,Germany,Hoffenheim,1,M'gladbach,4,2023-01-28,https://www.goal.com/en/match/hoffenheim-vs-borussia-m-gladbach/dpbpou7zxrlyp8xcpqggw9ous
Bundesliga,Germany,Mainz 05,5,Bochum,2,2023-01-28,https://www.goal.com/en/match/mainz-05-vs-bochum/dp7hdcie6fa19i6cdnifbsm50
Bundesliga,Germany,Bayern München,1,Frankfurt,1,2023-01-28,https://www.goal.com/en/match/bayern-muenchen-vs-eintracht-frankfurt/dorcjs7pf1sg256u11i5utyj8
Ligue 1,France,Troyes,1,Lens,1,2023-01-28,https://www.goal.com/en/match/troyes-vs-lens/11uxw41bt1zwh59vob265qk9g
Ligue 1,France,Marseille,1,Monaco,1,2023-01-28,https://www.goal.com/en/match/olympique-marseille-vs-monaco/11ekrw9r60srebpdwu8ndb1n8
Championship,England,Coventry,2,Huddersfield,0,2023-01-28,https://www.goal.com/en/match/coventry-city-vs-huddersfield-town/5g4so966emxic2iegjganphxw
Championship,England,Hull,3,QPR,0,2023-01-28,https://www.goal.com/en/match/hull-city-vs-queens-park-rangers/69dr9za9dzfsonnupyerer3tg
Championship,England,Middlesbrough,2,Watford,0,2023-01-28,https://www.goal.com/en/match/middlesbrough-vs-watford/69kluqssat3wg8f0wkdtil5p0
Friendlies,World,Guatemala,N/A,Venezuela,N/A,2023-01-28,https://www.goal.com/en/match/guatemala-vs-venezuela/7m5gtwqsqmm98c85xxrg4l638
FA Cup,England,Accrington,1,Leeds,3,2023-01-28,https://www.goal.com/en/match/accrington-stanley-vs-leeds-united/7k1oxfbvw939daem7wk37ebro
FA Cup,England,Walsall,0,Leicester,1,2023-01-28,https://www.goal.com/en/match/walsall-vs-leicester-city/39o4mjjcl4wpkw2o9hlcaedjo
FA Cup,England,Blackburn,2,Birmingham,2,2023-01-28,https://www.goal.com/en/match/blackburn-rovers-vs-birmingham-city/n9s7xq4uibtm8bkstiu1n8yc
FA Cup,England,Bristol City,3,West Bromwich,0,2023-01-28,https://www.goal.com/en/match/bristol-city-vs-west-bromwich-albion/driegr02w962qqu3k6yvx6dck
FA Cup,England,Fulham,1,Sunderland,1,2023-01-28,https://www.goal.com/en/match/fulham-vs-sunderland/6on6ckp89w0lwh602w7vgemms
FA Cup,England,Ipswich,0,Burnley,0,2023-01-28,https://www.goal.com/en/match/ipswich-town-vs-burnley/e2t81cgig4n14mmphwnitrhg4
FA Cup,England,Luton,2,Grimsby,2,2023-01-28,https://www.goal.com/en/match/luton-town-vs-grimsby-town/j3jxr37h8jmuoxz0jh2lahw4
FA Cup,England,Sheff Wed,1,Fleetwood,1,2023-01-28,https://www.goal.com/en/match/sheffield-wednesday-vs-fleetwood-town/3mhx2l781fiuwj8g4ghbrnfo4
FA Cup,England,Southampton,2,Blackpool,1,2023-01-28,https://www.goal.com/en/match/southampton-vs-blackpool/cqqixvakibc3f7oui8mr7xafo
FA Cup,England,Preston,0,Tottenham,3,2023-01-28,https://www.goal.com/en/match/preston-north-end-vs-tottenham-hotspur/dv7kqf39fgpmn8bntlxpwk45w
FA Cup,England,Man Utd,3,Reading,1,2023-01-28,https://www.goal.com/en/match/manchester-united-vs-reading/eobaysq00te7399ijdvaiqhp0
Eredivisie,Netherlands,PSV,2,Go Ahead,0,2023-01-28,https://www.goal.com/en/match/psv-vs-go-ahead-eagles/3js5uez5jvab3zmhft9b6fndg
Eredivisie,Netherlands,Waalwijk,2,Emmen,0,2023-01-28,https://www.goal.com/en/match/rkc-waalwijk-vs-emmen/3jodsuqwtb69jnawvt58a6ql0
Eredivisie,Netherlands,Heerenveen,1,Vitesse,3,2023-01-28,https://www.goal.com/en/match/heerenveen-vs-vitesse/3jzmgm8xrvlo5zg68kuaav6s4
Eredivisie,Netherlands,NEC,1,Sparta,1,2023-01-28,https://www.goal.com/en/match/nec-vs-sparta-rotterdam/3jvsipfz4tfk18zchqsqldkic
Eredivisie,Netherlands,AZ,5,Utrecht,5,2023-01-28,https://www.goal.com/en/match/az-vs-utrecht/3k3c8ppr0t616c1ywl42b4bh0
A-League Men,Australia,Wellington,2,Perth,2,2023-01-28,https://www.goal.com/en/match/wellington-phoenix-vs-perth-glory/2jfy3zljnxsx275yw464lorh0
A-League Men,Australia,Macarthur,2,Western United,2,2023-01-28,https://www.goal.com/en/match/macarthur-vs-western-united/2jk3se0f1v8lgi62p7rp6q1w4
A-League Men,Australia,Central Coast,2,Wanderers,2,2023-01-28,https://www.goal.com/en/match/central-coast-mariners-vs-western-sydney-wanderers/2jodt3m53e6w1f598gevksqok
Süper Lig,Turkey,Sivasspor,1,Demirspor,2,2023-01-28,https://www.goal.com/en/match/sivasspor-vs-adana-demirspor/v9lzz0naescwzqsoqlqvgl5g
Süper Lig,Turkey,Ankaragücü,0,Gaziantep,2,2023-01-28,https://www.goal.com/en/match/ankaraguecue-vs-gaziantep-fk/v4fxwdj17fide0wgt96t89as
Süper Lig,Turkey,Hatay,2,Trabzonspor,1,2023-01-28,https://www.goal.com/en/match/hatayspor-vs-trabzonspor/uzdrwi6svwtvgjf0ktzkl0k4
Süper Lig,Turkey,Antalyaspor,3,Ümraniye,2,2023-01-28,https://www.goal.com/en/match/antalyaspor-vs-uemraniyespor/uovd598g588t98lbzrkxvzf8
