Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Friendlies,World,Morocco,2,Brazil,1,2023-03-26,https://www.goal.com/en/match/morocco-vs-brazil/7mczuoqle93bqqkwj4pbgjt3o
Friendlies,World,New Zealand,2,China PR,1,2023-03-26,https://www.goal.com/en/match/new-zealand-vs-china-pr/wt59oewjg9ljn2l19yd3tr84
Friendlies,World,Russia,2,Iraq,0,2023-03-26,https://www.goal.com/en/match/russia-vs-iraq/24rzqq6yl1r0jqddxi8wkkn4k
MLS,USA,Charlotte,1,New York,1,2023-03-26,https://www.goal.com/en/match/charlotte-vs-new-york-rb/9lxiopcg7ue2aiyn9bdnc5iqc
MLS,USA,Columbus,6,Atlanta United,1,2023-03-26,https://www.goal.com/en/match/columbus-crew-vs-atlanta-united/9m0s9rgdh20fx0s38sjwyt2xg
MLS,USA,DC United,1,New England,2,2023-03-26,https://www.goal.com/en/match/dc-united-vs-new-england/9m4dmpqoaxtdfh67pgp1nxuz8
MLS,USA,Inter Miami,2,Chicago,3,2023-03-26,https://www.goal.com/en/match/inter-miami-vs-chicago-fire/9m7tsnl068g0o13ptyxptdzis
MLS,USA,Philadelphia,1,Orlando,2,2023-03-26,https://www.goal.com/en/match/philadelphia-union-vs-orlando-city/9mbguyo3eeqm825c809trdk44
MLS,USA,Austin,1,Colorado,1,2023-03-26,https://www.goal.com/en/match/austin-vs-colorado-rapids/9mew612jou81d5xa19rr2lgr8
MLS,USA,Houston,1,NYCFC,0,2023-03-26,https://www.goal.com/en/match/houston-dynamo-vs-new-york-city/9mik7x0gp2gnts2xfnhfm4xsk
MLS,USA,Minnesota,1,Whitecaps,1,2023-03-26,https://www.goal.com/en/match/minnesota-united-vs-vancouver-whitecaps/9ms6se768rcq7i8j4jk2bvpjo
MLS,USA,Nashville,0,Cincinnati,1,2023-03-26,https://www.goal.com/en/match/nashville-sc-vs-cincinnati/9mvwle3jjsktv0ykfhposff2s
MLS,USA,Sporting KC,1,Sounders,4,2023-03-26,https://www.goal.com/en/match/sporting-kc-vs-seattle-sounders/9mmgrfk5ia644soz0uju7dams
MLS,USA,Salt Lake,0,St. Louis,4,2023-03-26,https://www.goal.com/en/match/real-salt-lake-vs-st-louis-city/9n028mh76d7vbzj8b2i2cpqfo
MLS,USA,Earthquakes,0,Toronto,0,2023-03-26,https://www.goal.com/en/match/sj-earthquakes-vs-toronto/9n7gulmp193lg3w1wtmi07w2c
MLS,USA,Los Angeles,2,Dallas,1,2023-03-26,https://www.goal.com/en/match/los-angeles-vs-dallas/9n3xcid3wlztmw1hyd380mrro
Primera A,Colombia,Petrolera,2,Bucaramanga,0,2023-03-26,https://www.goal.com/en/match/alianza-petrolera-vs-atletico-bucaramanga/agzxye5ldh8hlaa8v807249as
Primera A,Colombia,Atl. Nacional,1,Medellín,1,2023-03-26,https://www.goal.com/en/match/atletico-nacional-vs-independiente-medellin/agw7bwj37jdbe7a90m9au20pg
Primera A,Colombia,Dep. Tolima,2,Huila,1,2023-03-26,https://www.goal.com/en/match/deportes-tolima-vs-atletico-huila/agf9anz0tpjc4gllwt9rj3tas
Primera A,Colombia,Magdalena,2,Junior,2,2023-03-26,https://www.goal.com/en/match/union-magdalena-vs-junior/agonbxl1xrybim1y4wmlml82c
Primera División,Uruguay,Wanderers,3,Cerro,0,2023-03-26,https://www.goal.com/en/match/wanderers-vs-cerro/dv48zo5lfks0ux17yjvpif3mc
Primera División,Uruguay,Fénix,0,Boston River,0,2023-03-26,https://www.goal.com/en/match/fenix-vs-boston-river/dvn4vzsgdkojz7n0m2f2pwrv8
League One,England,Forest Green,1,Sheff Wed,0,2023-03-26,https://www.goal.com/en/match/forest-green-rovers-vs-sheffield-wednesday/8gcqcohn718mu1n7ieev9ch04
Club Friendlies,World,River Plate,4,U. de Chile,3,2023-03-26,https://www.goal.com/en/match/river-plate-vs-universidad-de-chile/d048tbs9huxd91bc3jyu19wk4
Club Friendlies,World,Qarabağ,1,Galatasaray,2,2023-03-26,https://www.goal.com/en/match/qarabag-vs-galatasaray/72qokx6duq58jq06udiuh0opg
Africa Cup of Nations Qualification,Africa,Lesotho,0,Zambia,2,2023-03-26,https://www.goal.com/en/match/lesotho-vs-zambia/6y9du7t635qm2lmf7eggmbi1g
Africa Cup of Nations Qualification,Africa,São Tomé,0,Sierra Leone,2,2023-03-26,https://www.goal.com/en/match/sao-tome-e-principe-vs-sierra-leone/3ukcilecibrvju4uy5qab6fbo
Primera Nacional,Argentina,Patronato,1,Güemes,2,2023-03-26,https://www.goal.com/en/match/patronato-vs-club-atletico-gueemes/b2dxi08i4x7qo1jw56u9wls7o
Primera Nacional,Argentina,Alvarado,0,Almirante Br,1,2023-03-26,https://www.goal.com/en/match/alvarado-vs-almirante-brown/b27aziwvejsc7ujsi7uur6yac
Primera Nacional,Argentina,Villa Dálmine,2,Ferro,0,2023-03-26,https://www.goal.com/en/match/villa-dalmine-vs-ferro-carril-oeste/cb0j9aqfp2b0q7m5zotqq1c7o
Primera Nacional,Argentina,Almagro,2,Temperley,0,2023-03-26,https://www.goal.com/en/match/almagro-vs-temperley/b1mqfztggi2fmh8mdn52oiqdw
Primera Nacional,Argentina,Def Unidos,3,All Boys,1,2023-03-26,https://www.goal.com/en/match/defensores-unidos-vs-all-boys/b1x0ur0teuo7kcs7x495vst90
Primera Nacional,Argentina,Aldosivi,0,Chacarita,1,2023-03-26,https://www.goal.com/en/match/aldosivi-vs-chacarita-juniors/cahel5xc2qxwvueool7nn41zo
Primera Nacional,Argentina,Guillermo Br,0,Nueva Chicago,2,2023-03-26,https://www.goal.com/en/match/guillermo-brown-vs-nueva-chicago/b1to7fe1fkf0dk6kgp98a0ro4
Primera Nacional,Argentina,Gim Mendoza,2,Morón,2,2023-03-26,https://www.goal.com/en/match/gimnasia-mendoza-vs-deportivo-moron/b2anc6hbbolo3mpc7dstmr6z8
Primera Nacional,Argentina,Mitre SdE,0,Tristán Suárez,1,2023-03-26,https://www.goal.com/en/match/mitre-santiago-d-estero-vs-tristan-suarez/cakxoijjawbuxwnpj20n0zvh0
