Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
CONMEBOL Libertadores,South America,Internacional,3,Medellín,1,2023-06-29,https://www.goal.com/en/match/internacional-vs-independiente-medellin/3sb97ov45czdyx3s0fzzsf6dw
CONMEBOL Libertadores,South America,Nacional,1,Metropolitanos,0,2023-06-29,https://www.goal.com/en/match/nacional-vs-metropolitanos/m3v7ujlqrtbyabrr069rhrtg
CONMEBOL Libertadores,South America,Corinthians,3,Liverpool,0,2023-06-29,https://www.goal.com/en/match/corinthians-vs-liverpool/b0ehset4t1nfzdvnldbv5b02c
CONMEBOL Libertadores,South America,Flamengo,4,Aucas,0,2023-06-29,https://www.goal.com/en/match/flamengo-vs-aucas/8hvtwvi6q967612tn3lwg1m38
CONMEBOL Libertadores,South America,Ind. del Valle,3,Argentinos,2,2023-06-29,https://www.goal.com/en/match/independiente-valle-vs-argentinos-juniors/cpg3cfig0304nf1yiiav59c0k
CONMEBOL Libertadores,South America,Racing Club,4,Ñublense,0,2023-06-29,https://www.goal.com/en/match/racing-club-vs-nublense/67bjhgo3eg7aicy2p26gipqtw
CONMEBOL Sudamericana,South America,Estudiantes,4,O. Petrolero,0,2023-06-29,https://www.goal.com/en/match/estudiantes-vs-oriente-petrolero/8yp9e97nxyu9d09qh1m5gmb6c
CONMEBOL Sudamericana,South America,RB Bragantino,7,Tacuary,1,2023-06-29,https://www.goal.com/en/match/rb-bragantino-vs-tacuary/awqb84k8seva3vgafb031sr9w
CONMEBOL Sudamericana,South America,Guaraní,2,Huracán,0,2023-06-29,https://www.goal.com/en/match/club-guarani-vs-huracan/ew8oln7tmxw9jjx4azx19q7mc
CONMEBOL Sudamericana,South America,Emelec,2,Danubio,1,2023-06-29,https://www.goal.com/en/match/emelec-vs-danubio/d620t6dzaz8iarg3chdsj3ytw
CONMEBOL Sudamericana,South America,Santa Fe,1,Goiás,2,2023-06-29,https://www.goal.com/en/match/independiente-santa-fe-vs-goias/1z9rhw1fqbxi5wwpwo1amepec
CONMEBOL Sudamericana,South America,Universitario,1,Gimn La Plata,0,2023-06-29,https://www.goal.com/en/match/universitario-vs-gimnasia-la-plata/4hqp9wwdoix2ipb7yropoyal0
Concacaf Gold Cup,N/C America,Jamaica,4,Trinidad,1,2023-06-29,https://www.goal.com/en/match/jamaica-vs-trinidad-and-tobago/6b045mz7682stniuipakpwtg4
Concacaf Gold Cup,N/C America,St. Kitts,0,United States,6,2023-06-29,https://www.goal.com/en/match/st-kitts-and-nevis-vs-united-states/arsxfiaa9ju1kknrybgf0vhg4
Primera División,Chile,U. de Chile,3,Univ Católica,0,2023-06-29,https://www.goal.com/en/match/universidad-de-chile-vs-universidad-catolica/bq0mfszka9geim1gvih9uoowk
Torneo Federal A,Argentina,Villa Mitre,0,Sansinena,0,2023-06-29,https://www.goal.com/en/match/villa-mitre-vs-sansinena/3vqkag3fmlqaj16vgwz6tajh0
Torneo Federal A,Argentina,Cipolletti,1,Olimpo,0,2023-06-29,https://www.goal.com/en/match/cipolletti-vs-olimpo/3w9o35em5p9jn3gl89qgsuyhg
Torneo Federal A,Argentina,Douglas Haig,3,Linqueño,1,2023-06-29,https://www.goal.com/en/match/douglas-haig-vs-el-linqueno/elhue7k2266zt86f18ywb5xxw
Torneo Federal A,Argentina,Unión Sun,1,De. Pro.,0,2023-06-29,https://www.goal.com/en/match/union-sunchales-vs-def-de-pronunciamiento/elqutfsfmmp17xvtvzmaf85qs
Torneo Federal A,Argentina,Gim Concepción,0,Las Parejas,2,2023-06-29,https://www.goal.com/en/match/gimnasia-concepcion-vs-sportivo-las-parejas/el8sq73sqx94zkcrg6y7ut7o4
Torneo Federal A,Argentina,Juv Antoniana,0,S Resistencia,0,2023-06-29,https://www.goal.com/en/match/juventud-antoniana-vs-sarmiento-resistencia/4irp4ytyf602o8pear5pvlclw
AFC U17 Asian Cup,Asia,Iran,0,Japan,3,2023-06-29,https://www.goal.com/en/match/ir-iran-u17-vs-japan-u17/5rcuhvuxyefhhd09s67jtoh78
AFC U17 Asian Cup,Asia,Korea Republic,1,Uzbekistan,0,2023-06-29,https://www.goal.com/en/match/korea-republic-u17-vs-uzbekistan-u17/5qz9o3r0r1bjzc5cqr4mvv5sk
Serie B,Brazil,ABC,1,Atlético GO,1,2023-06-29,https://www.goal.com/en/match/abc-vs-atletico-goianiense/bpnm8z6ts9hphs1j3fndjob9w
Serie B,Brazil,Ceará,0,Avaí,0,2023-06-29,https://www.goal.com/en/match/ceara-vs-avai/bowizvlqvg627jgxjm5e01e6s
Serie B,Brazil,Guarani,2,Mirassol,1,2023-06-29,https://www.goal.com/en/match/guarani-vs-mirassol/bncw2fzyuyuk6g0f4ae34dzpw
Serie B,Brazil,Ituano,0,Ponte Preta,1,2023-06-29,https://www.goal.com/en/match/ituano-vs-ponte-preta/bo5fhew7ry2hg1azw9wh66tqs
Serie B,Brazil,Londrina,1,Juventude,2,2023-06-29,https://www.goal.com/en/match/londrina-vs-juventude/bpejxh5l5srt8t7p5pwy92xas
Serie B,Brazil,Vitória,2,Sampaio Corrêa,1,2023-06-29,https://www.goal.com/en/match/vitoria-vs-sampaio-correa/bone2cgq5mhsj7lk3epjpru38
Serie C,Brazil,CSA,0,América RN,1,2023-06-29,https://www.goal.com/en/match/csa-vs-america-rn/18tzifn9i9cgmvgb4pomcvfv8
Serie C,Brazil,Náutico,0,Amazonas,1,2023-06-29,https://www.goal.com/en/match/nautico-vs-amazonas/18awzxjslodflef4u9u5gn0gk
Serie D,Brazil,Bahia de Feira,2,Alagoinhas,1,2023-06-29,https://www.goal.com/en/match/bahia-de-feira-vs-atletico-alagoinhas/c8usnxvhoziptxqg0mnzjpxqs
Serie D,Brazil,Ferroviário,2,Atlético CE,1,2023-06-29,https://www.goal.com/en/match/ferroviario-vs-atletico-cearense/c69rj5a4g1q2u6792ka2rkwt0
Serie D,Brazil,Iguatu,3,Globo,0,2023-06-29,https://www.goal.com/en/match/iguatu-vs-globo/c8j4co2g7u3vmsx4245bf8efo
Serie D,Brazil,ASA,1,Falcon,0,2023-06-29,https://www.goal.com/en/match/asa-vs-falcon/c9u1ap6wp8le3btxkwtu6s1sk
Serie D,Brazil,Nacional,2,Campinense,1,2023-06-29,https://www.goal.com/en/match/nacional-de-patos-vs-campinense/c7k2hhdmguuq4cvjmqgymkl5g
Serie D,Brazil,Retrô,1,Jacuipense,1,2023-06-29,https://www.goal.com/en/match/retro-vs-jacuipense/c96oceohtuku83fgemwgdnnys
Serie D,Brazil,Sousa,2,Santa Cruz,1,2023-06-29,https://www.goal.com/en/match/sousa-vs-santa-cruz/c7vkvg0s0lh9di5a2kjqz9puc
Copa Chile,Chile,Huachipato,2,Temuco,2,2023-06-29,https://www.goal.com/en/match/huachipato-vs-deportes-temuco/8q01jkiq5mair7r617d15vi1g
CSL,China PR,Guoan,1,Port,2,2023-06-29,https://www.goal.com/en/match/beijing-guoan-vs-shanghai-port/edb893epwxrez53o4dlfqk0lw
CSL,China PR,Shandong,4,Changchun,1,2023-06-29,https://www.goal.com/en/match/shandong-taishan-vs-changchun-yatai/eczxzbg5m6y44d0499drzsnpw
CSL,China PR,Shenzhen,0,Rongcheng,3,2023-06-29,https://www.goal.com/en/match/shenzhen-vs-chengdu-rongcheng/edocneqy5rffcyxtzp3t56has
Premier League,Egypt,Ismaily,1,Aswan,1,2023-06-29,https://www.goal.com/en/match/ismaily-vs-aswan/9916ywxcniq21k4triw1m2ivo
Premier League,Egypt,National Bank,0,Ahly,3,2023-06-29,https://www.goal.com/en/match/national-bank-of-egypt-vs-al-ahly/99ahea4e32owr2yliuz6fnlzo
Úrvalsdeild,Iceland,Fylkir,1,Víkingur R,3,2023-06-29,https://www.goal.com/en/match/fylkir-vs-vikingur-reykjavik/5c4hofy5hljht6u9mx2bowo44
Úrvalsdeild,Iceland,Stjarnan,5,FH,0,2023-06-29,https://www.goal.com/en/match/stjarnan-vs-fh/5c0mc064qclpwsr63imz093is
1. Deild,Iceland,ÍA,4,Thór,0,2023-06-29,https://www.goal.com/en/match/ia-vs-thor/df4hzq34vd6to6ihn8mpltqtw
1. Deild,Iceland,Afturelding,4,Fjölnir,3,2023-06-29,https://www.goal.com/en/match/afturelding-vs-fjoelnir/deow3u95yvr1t5o5le0qsl2xg
Virsliga,Latvia,Valmiera,1,Liepāja,1,2023-06-29,https://www.goal.com/en/match/valmiera-vs-liepaja/4l5lqad8z5c2bw7bzygf15o2c
Virsliga,Latvia,Metta,0,Auda,1,2023-06-29,https://www.goal.com/en/match/metta-vs-auda/4ya38hhcptblp9ucen1u3179w
Svenska Cupen,Sweden,Hudiksvall,7,Gottne,0,2023-06-29,https://www.goal.com/en/match/hudiksvall-vs-gottne/au4csfum5mqa4mknpwj6zuivo
Svenska Cupen,Sweden,Jönköpings B,5,Hemgårdarnas,1,2023-06-29,https://www.goal.com/en/match/joenkoepings-bk-vs-hemga-rdarnas/axfnqftq5r41ptnmn98q3ydxw
Svenska Cupen,Sweden,Luleå,1,Skellefteå,1,2023-06-29,https://www.goal.com/en/match/ifk-lulea-vs-skelleftea/atimwk2vx5rikdoaqjljl0gt0
Damallsvenskan,Sweden,Piteå,4,Djurgården,0,2023-06-29,https://www.goal.com/en/match/pitea-vs-djurgarden/esm8ozymj1gxji72k579w1ogk
USL Championship,USA,Roots,0,RGV FC Toros,2,2023-06-29,https://www.goal.com/en/match/oakland-roots-vs-rio-grande-valley/498470uv8fkz3lfgsxwifj1n8
USL League One,USA,Tormenta,0,Forward,1,2023-06-29,https://www.goal.com/en/match/tormenta-vs-forward-madison/1cg9t3tnh22nvmb3nqy013jf8
MLS Next Pro,USA,Orlando City B,0,Union II,3,2023-06-29,https://www.goal.com/en/match/orlando-city-b-vs-philadelphia-union-ii/2cv0d2zkhc1qztru6wxu2y1hw
NWSL Challenge Cup,USA,Angel City,2,San Diego Wave,1,2023-06-29,https://www.goal.com/en/match/angel-city-vs-san-diego-wave/dfxmoad2wcz2y9pxxf5o486c4
NWSL Challenge Cup,USA,Thorns,0,Reign,1,2023-06-29,https://www.goal.com/en/match/portland-thorns-vs-ol-reign/dg9j1ay0mhr4dt4hokqxs66fo
Friendlies Women,World,Spain,7,Panama,0,2023-06-29,https://www.goal.com/en/match/spain-vs-panama/7qocjusmem7mxfjhlnt97z6dw
