Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
UEFA Europa League,Europe,Sevilla,1,Roma,1,2023-05-31,https://www.goal.com/en/match/sevilla-vs-roma/3qx1di6vjpvrw85ebadq3fc44
J1 League,Japan,Urawa,2,Sanfrecce,1,2023-05-31,https://www.goal.com/en/match/urawa-reds-vs-sanfrecce-hiroshima/1k5vudrqe77ubnmgla1r0mcr8
Ligue 1,Algeria,NC Magra,0,Belouizdad,0,2023-05-31,https://www.goal.com/en/match/nc-magra-vs-belouizdad/yshq6n19xi3jp9offdr4r8yc
Ligue 1,Algeria,Paradou,0,Bayadh,1,2023-05-31,https://www.goal.com/en/match/paradou-ac-vs-el-bayadh/z4wu9s1l7ymfgftr5v01l0d0
Ligue 1,Algeria,RC Arbaâ,0,ASO Chlef,3,2023-05-31,https://www.goal.com/en/match/rc-arbaa-vs-aso-chlef/yga6th8j2j1y53ddt7hmoduc
Ligue 1,Algeria,ES Sétif,1,Kabylie,1,2023-05-31,https://www.goal.com/en/match/es-setif-vs-kabylie/ztfos6h8yjzkbcd3lzldrok4
Ligue 1,Algeria,MC Oran,2,HBCL,0,2023-05-31,https://www.goal.com/en/match/mc-oran-vs-hb-chelghoum-laid/105tptn3nwatv7culg1qb4ems
Ligue 1,Algeria,US Biskra,3,CS Constantine,2,2023-05-31,https://www.goal.com/en/match/us-biskra-vs-cs-constantine/y43mmg97xw4jyr45wx9gdvro
Primera Nacional,Argentina,Defensores Bel,0,Nueva Chicago,0,2023-05-31,https://www.goal.com/en/match/defensores-de-belgrano-vs-nueva-chicago/bbnz8hcxkqszpfg3gvsfdzswk
Premier League,Armenia,Van,0,Alashkert,1,2023-05-31,https://www.goal.com/en/match/van-vs-alashkert/1re897j7x3giv3l3e5cdd5zx0
Premier League,Armenia,Shirak,0,Noah,2,2023-05-31,https://www.goal.com/en/match/shirak-vs-noah/1rin4wnk8y1wxiuze1xxm7pck
Primera División,Bolivia,Palmaflor,0,Always Ready,2,2023-05-31,https://www.goal.com/en/match/palmaflor-vs-always-ready/4jvq6hxwqtna7xuq3ug77hedw
Serie C,Brazil,Remo,1,Confiança,0,2023-05-31,https://www.goal.com/en/match/remo-vs-confianca/udknvx7057z9far4dkimb3tg
First League,Bulgaria,Beroe,1,Pirin,1,2023-05-31,https://www.goal.com/en/match/beroe-vs-pirin-blagoevgrad/a1mo2q8t2e4tpgeicc0apx7o4
First League,Bulgaria,Botev Vratsa,2,Hebar 1918,3,2023-05-31,https://www.goal.com/en/match/botev-vratsa-vs-hebar-1918/a1c3l209858st4czvkyhtizo4
First League,Bulgaria,Spartak Varna,1,Septemvri,0,2023-05-31,https://www.goal.com/en/match/spartak-varna-vs-septemvri-sofia/a120clftuod8tgui3hv686m8k
FA Cup,China PR,BIT,0,Nanjing City,1,2023-05-31,https://www.goal.com/en/match/beijing-bit-vs-nanjing-city/4rvvyvvdld6s29hmrnv1zbuhg
FA Cup,China PR,Billows,1,Jiading,0,2023-05-31,https://www.goal.com/en/match/hunan-billows-vs-shanghai-jiading/4pn2w7jfkibvp3h7plemdwu8k
FA Cup,China PR,Haimen,2,Liaoning,0,2023-05-31,https://www.goal.com/en/match/haimen-codion-vs-liaoning-shenyang/4suhpm0ogqta97r50sq9w4kr8
FA Cup,China PR,Jiangcheng,0,Guangzhou,0,2023-05-31,https://www.goal.com/en/match/wuhan-jiangcheng-vs-guangzhou-fc/4ol6ziawpv0l02uxgrvf7wetw
FA Cup,China PR,Lanhang,0,Wugou,2,2023-05-31,https://www.goal.com/en/match/guangxi-lanhang-vs-wuxi-wugou/4ozy7yiqbrwveu0h95ld4mzo4
FA Cup,China PR,Red Lions,1,Dongwu,1,2023-05-31,https://www.goal.com/en/match/qingdao-red-lions-vs-suzhou-dongwu/4qljzgxojbjrz30q6uuauzaj8
FA Cup,China PR,Star,1,Lushan,2,2023-05-31,https://www.goal.com/en/match/hainan-star-vs-jiangxi-lushan/4rkdd2q6p05rs4xhq3onudxqs
FA Cup,China PR,Tai'an,3,Jiuniu,3,2023-05-31,https://www.goal.com/en/match/tai-an-tiankuang-vs-sichuan-jiuniu/4t5xa9jf4rz0q4k0wl8sa5c0k
FA Cup,China PR,Istar,1,Dandong,4,2023-05-31,https://www.goal.com/en/match/hubei-istar-vs-dandong-tengyue/4s7h6gqdesmz07bk6yvutjhuc
FA Cup,China PR,Tongliang Long,3,Shijiazhuang,0,2023-05-31,https://www.goal.com/en/match/chongqing-tongliang-long-vs-shijiazhuang-gongfu/4siy8kuewt28cp5y3pz0fqjv8
China U21 League,China PR,Rongcheng,1,Guoan,1,2023-05-31,https://www.goal.com/en/match/chengdu-rongcheng-u21-vs-beijing-guoan-u21/4zjewzcpr15ilkmjb91jl04
China U21 League,China PR,Port,1,Henan,1,2023-05-31,https://www.goal.com/en/match/shanghai-port-u21-vs-henan-u21/e4rloz2rnr3lu5ibodhx0k4
China U21 League,China PR,Zhejiang,2,Shenzhen,1,2023-05-31,https://www.goal.com/en/match/zhejiang-u21-vs-shenzhen-u21/ovtxrq1j8tgu0447dyl34es
Primera B,Colombia,Llaneros,1,Cartagena,0,2023-05-31,https://www.goal.com/en/match/llaneros-vs-real-cartagena/c9a2t2bwc8kfqgsg042eau1p0
Primera B,Colombia,Quindío,0,Fortaleza,2,2023-05-31,https://www.goal.com/en/match/deportes-quindio-vs-fortaleza-ceif/c9ie2ggw9ep8125if3vevj4t0
Premier League,Egypt,National Bank,3,El Dakhleya,1,2023-05-31,https://www.goal.com/en/match/national-bank-of-egypt-vs-el-dakhleya/4s4iyqciz8kwwb9zxa32hmmtw
Premier League,Egypt,Mokawloon,2,Ismaily,2,2023-05-31,https://www.goal.com/en/match/al-mokawloon-vs-ismaily/4sgztx8b2df7gch2zqxx1eo0k
Suomen Cup,Finland,Oulu,1,Haka,1,2023-05-31,https://www.goal.com/en/match/oulu-vs-haka/c7jv5bcdqh2ugl3eondn4feac
Suomen Cup,Finland,TuRaKe,0,Mariehamn,7,2023-05-31,https://www.goal.com/en/match/turake-vs-mariehamn/c6tl7nxnye83tkcx50a7bjb4k
Suomen Cup,Finland,HooGee,0,SalPa,6,2023-05-31,https://www.goal.com/en/match/hoogee-vs-salpa/c8a10xraomnrlb6qq499oy7f8
Suomen Cup,Finland,Ilves,3,KäPa,1,2023-05-31,https://www.goal.com/en/match/ilves-vs-kaepa/c7spw494wcq3hv36zl2g4hqtw
Suomen Cup,Finland,JäPS,0,EIF,0,2023-05-31,https://www.goal.com/en/match/jaeps-vs-eif/c946n4fk7r7z4mnmmoi87v2ms
Suomen Cup,Finland,Jazz,0,VIFK,2,2023-05-31,https://www.goal.com/en/match/jazz-vs-vifk/c8iu5uh51jzaqo17reqak0xlg
Suomen Cup,Finland,JJK,0,KuPS,2,2023-05-31,https://www.goal.com/en/match/jjk-vs-kups/c5m0ta5kwc4brn3ekua4zxtec
Suomen Cup,Finland,KTP,1,Gnistan,1,2023-05-31,https://www.goal.com/en/match/ktp-vs-gnistan/c6c83tmiq49otcgn3zu2z8844
Suomen Cup,Finland,P-Iirot,5,Futura,1,2023-05-31,https://www.goal.com/en/match/p-iirot-vs-futura/c7b2wy8jhgyfb8r3o3zjuytxw
Suomen Cup,Finland,Reipas,2,Honka Akatemia,2,2023-05-31,https://www.goal.com/en/match/reipas-vs-honka-akatemia/c81bwhhpkwt7ubtg8oro1s7is
Suomen Cup,Finland,Atlantis,0,KPV,1,2023-05-31,https://www.goal.com/en/match/atlantis-vs-kpv/c5upcyrwg0z6kpfl3xwjzws9g
Play-offs 4/5,Germany,Lupo-Martini,0,Bremer SV,0,2023-05-31,https://www.goal.com/en/match/lupo-martini-vs-bremer-sv/30t37hvtlh8sjvs00hw5xeuc4
Super League 2,Greece,Panserraikos,0,PAOK II,0,2023-05-31,https://www.goal.com/en/match/panserraikos-vs-paok-ii/e47nggxuhp99g0yj5udovx4wk
Serie C,Italy,Cesena,0,Vicenza,0,2023-05-31,https://www.goal.com/en/match/cesena-vs-vicenza/83poteebl2im7vic3d8eynf2s
Serie C,Italy,Crotone,2,Foggia,2,2023-05-31,https://www.goal.com/en/match/crotone-vs-foggia/83gjkwy9iyggeh9b3tm8jjrpw
Serie C,Italy,Pordenone,1,Lecco,3,2023-05-31,https://www.goal.com/en/match/pordenone-vs-lecco/837jejhquivdz6omes4fp09p0
Serie C,Italy,Virtus,2,Pescara,3,2023-05-31,https://www.goal.com/en/match/virtus-entella-vs-pescara/82yb35wm8g99r4dsrrsfozx1w
Virsliga,Latvia,Valmiera,1,Metta,1,2023-05-31,https://www.goal.com/en/match/valmiera-vs-metta/4fpbpzu981q39cuzcmg8hvjmc
Virsliga,Latvia,Riga,5,Super Nova,1,2023-05-31,https://www.goal.com/en/match/riga-vs-super-nova/4fzj22l2l1hff3sy2p6s67mz8
Concacaf Women's U20,N/C America,USA,5,Canada,2,2023-05-31,https://www.goal.com/en/match/united-states-u20-vs-canada-u20/2xz3do52r3v7m3jxgwefzpo9g
Play-offs 1/2,Netherlands,NAC,1,Emmen,2,2023-05-31,https://www.goal.com/en/match/nac-breda-vs-emmen/cgkcqwvl9tqvwms4x1a5tlpn8
Play-offs 3/4,Netherlands,DOVO,1,VVSB,0,2023-05-31,https://www.goal.com/en/match/dovo-vs-vvsb/8h1g1ck1drjo93x0qr6cj8g0k
Play-offs 3/4,Netherlands,Groene Ster,0,GVVV,2,2023-05-31,https://www.goal.com/en/match/groene-ster-vs-gvvv/8hlswm2tsl685v5vnsp66j3f8
Play-offs 3/4,Netherlands,Hercules,6,IJsselmeervoge,0,2023-05-31,https://www.goal.com/en/match/usv-hercules-vs-ijsselmeervogels/8go3rgcgnlnmq1cjnc841wf84
