Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
CONMEBOL Libertadores,South America,Huracán,1,Boston River,0,2023-03-02,https://www.goal.com/en/match/huracan-vs-boston-river/3n6ez3wzs87r8b0gx4n8gjvh0
CONMEBOL Libertadores,South America,Medellín,2,El Nacional,1,2023-03-02,https://www.goal.com/en/match/independiente-medellin-vs-el-nacional/1tkrsp9rmx6076ddbri1uwutw
CONMEBOL Libertadores,South America,Atl. Mineiro,3,Carabobo,1,2023-03-02,https://www.goal.com/en/match/atletico-mineiro-vs-carabobo/epo25tvprl8r3zx74zsucvm6s
Copa do Brasil,Brazil,Alagoinhas,0,Atlético GO,0,2023-03-02,https://www.goal.com/en/match/atletico-alagoinhas-vs-atletico-goianiense/i7tghfh2f6mtfklvv7uo7eok
Copa do Brasil,Brazil,ASA,1,Goiás,1,2023-03-02,https://www.goal.com/en/match/asa-vs-goias/1hgmqiww7effc5a96oew2a13o
Copa do Brasil,Brazil,Bahia de Feira,1,RB Bragantino,1,2023-03-02,https://www.goal.com/en/match/bahia-de-feira-vs-rb-bragantino/j4pkqki2n0b1wni8uz5x5st0
Copa do Brasil,Brazil,Cordino,0,Brasil Pelotas,2,2023-03-02,https://www.goal.com/en/match/cordino-vs-brasil-de-pelotas/1f6pey3clu1jrjku4ikw3vspg
Copa do Brasil,Brazil,Tuntum,0,ABC,5,2023-03-02,https://www.goal.com/en/match/tuntum-vs-abc/jtds10t67imvvohn2a3k4f84
Copa do Brasil,Brazil,Athletic,1,Brasiliense,1,2023-03-02,https://www.goal.com/en/match/athletic-club-vs-brasiliense/1gpgl8alwrysar5653oije3v8
Copa do Brasil,Brazil,Camboriú,1,Manaus,0,2023-03-02,https://www.goal.com/en/match/camboriu-vs-manaus/hj36laoeaffkifqardlkfpck
Copa do Brasil,Brazil,Campinense,0,Grêmio,2,2023-03-02,https://www.goal.com/en/match/campinense-vs-gremio/1ebreibnzmjihw7e2e5u5uc5w
Copa do Brasil,Brazil,Parnahyba,0,Botafogo SP,0,2023-03-02,https://www.goal.com/en/match/parnahyba-vs-botafogo-sp/kyjurhd9qjt9821hx4orw6xg
Copa do Brasil,Brazil,São Bernardo,0,Náutico,1,2023-03-02,https://www.goal.com/en/match/sao-bernardo-vs-nautico/iwfoqv4712i809etr7599fys
Copa do Brasil,Brazil,U Rondonópolis,0,CRB,1,2023-03-02,https://www.goal.com/en/match/uniao-rondonopolis-vs-crb/1fy57zqdynnkr5pzb8u4m94pg
Copa do Brasil,Brazil,Operário,1,Operário,0,2023-03-02,https://www.goal.com/en/match/operario-fc-ms-vs-operario-pr/1g7a02zz63r5gpn7yskuiffh0
Copa do Brasil,Brazil,Princesa,1,Ituano,1,2023-03-02,https://www.goal.com/en/match/princesa-solimoes-vs-ituano/1fp037n53ahfb34jmnv4r96vo
Copa do Brasil,Brazil,Caldense,0,Ceará,3,2023-03-02,https://www.goal.com/en/match/caldense-vs-ceara/1ffu523dw8qdnz24n4lopu0b8
